frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,721,721,690,11778,10154,260875,4456,144703
1, 10- 20,666,1387,974,11778,16014,260875,6985,144703
2, 20- 30,679,2066,1080,11778,18667,260875,8144,144703
3, 30- 40,1333,3399,1177,11778,21217,260875,9449,144703
4, 40- 50,827,4226,1221,11778,22605,260875,10145,144703
5, 50- 60,803,5029,1297,11778,24274,260875,10935,144703
6, 60- 70,825,5854,1335,11778,25326,260875,11498,144703
7, 70- 80,786,6640,1353,11778,25997,260875,11887,144703
8, 80- 90,659,7299,1390,11778,26855,260875,12316,144703
9, 90-100,619,7918,1475,11778,28020,260875,12764,144703
10,100-110,782,8700,1517,11778,29336,260875,13327,144703
11,110-120,614,9314,1567,11778,30293,260875,13744,144703
12,120-130,253,9567,1588,11778,30889,260875,14010,144703
13,130-140,519,10086,1613,11778,31357,260875,14268,144703
14,140-150,502,10588,1652,11778,32256,260875,14644,144703
15,150-160,495,11083,1733,11778,34390,260875,15648,144703
16,160-170,544,11627,1797,11778,35990,260875,16377,144703
17,170-180,631,12258,1951,11778,38328,260875,17553,144703
18,180-190,899,13157,1958,11778,38707,260875,17802,144703
19,190-200,452,13609,1966,11778,38959,260875,17964,144703
20,200-210,667,14276,1971,11778,39173,260875,18128,144703
21,210-220,629,14905,1983,11778,39525,260875,18367,144703
22,220-230,394,15299,2001,11778,40116,260875,18673,144703
23,230-240,101,15400,2001,11778,40158,260875,18734,144703
24,240-250,406,15806,2010,11778,40417,260875,18860,144703
25,250-260,376,16182,2036,11778,40911,260875,19183,144703
26,260-270,354,16536,2061,11778,41178,260875,19353,144703
27,270-280,499,17035,2078,11778,41416,260875,19550,144703
28,280-290,386,17421,2091,11778,41548,260875,19670,144703
29,290-300,283,17704,2093,11778,41617,260875,19733,144703
30,300-310,367,18071,2102,11778,41779,260875,19845,144703
31,310-320,331,18402,2114,11778,41998,260875,20003,144703
32,320-330,296,18698,2117,11778,42167,260875,20106,144703
33,330-340,259,18957,2117,11778,42200,260875,20144,144703
34,340-350,374,19331,2120,11778,42306,260875,20233,144703
35,350-360,315,19646,2121,11778,42357,260875,20266,144703
36,360-370,238,19884,2124,11778,42384,260875,20280,144703
37,370-380,304,20188,2127,11778,42501,260875,20327,144703
38,380-390,364,20552,2129,11778,42618,260875,20387,144703
39,390-400,306,20858,2129,11778,42673,260875,20421,144703
40,400-410,322,21180,2260,11778,42745,260875,20809,144703
41,410-420,464,21644,2333,11778,42747,260875,20946,144703
42,420-430,377,22021,2389,11778,42750,260875,21094,144703
43,430-440,406,22427,2392,11778,42779,260875,21154,144703
44,440-450,559,22986,2526,11778,42779,260875,21299,144703
45,450-460,358,23344,2540,11778,42921,260875,21426,144703
46,460-470,240,23584,2545,11778,42968,260875,21474,144703
47,470-480,500,24084,2547,11778,43004,260875,21521,144703
48,480-490,377,24461,2550,11778,43035,260875,21577,144703
49,490-500,413,24874,2554,11778,43063,260875,21641,144703
50,500-510,240,25114,2554,11778,43097,260875,21668,144703
51,510-520,234,25348,2557,11778,43103,260875,21673,144703
52,520-530,203,25551,2560,11778,43112,260875,21694,144703
53,530-540,328,25879,2562,11778,43120,260875,21705,144703
54,540-550,223,26102,2562,11778,43121,260875,21708,144703
55,550-560,200,26302,2562,11778,43174,260875,21740,144703
56,560-570,87,26389,2562,11778,43185,260875,21750,144703
57,570-580,248,26637,2562,11778,43192,260875,21760,144703
58,580-590,230,26867,2567,11778,43302,260875,21805,144703
59,590-600,229,27096,2569,11778,43363,260875,21814,144703
60,600-610,166,27262,2590,11778,43674,260875,21923,144703
61,610-620,230,27492,2598,11778,43812,260875,22013,144703
62,620-630,172,27664,2601,11778,43882,260875,22049,144703
63,630-640,268,27932,2604,11778,43992,260875,22115,144703
64,640-650,174,28106,2605,11778,44064,260875,22146,144703
65,650-660,335,28441,2609,11778,44438,260875,22305,144703
66,660-670,136,28577,2609,11778,44438,260875,22305,144703
67,670-680,209,28786,2610,11778,44455,260875,22316,144703
68,680-690,304,29090,2611,11778,44473,260875,22320,144703
69,690-700,305,29395,2612,11778,44487,260875,22329,144703
70,700-710,173,29568,2612,11778,44487,260875,22329,144703
71,710-720,333,29901,2612,11778,44491,260875,22334,144703
72,720-730,223,30124,2612,11778,44493,260875,22336,144703
73,730-740,224,30348,2621,11778,44656,260875,22383,144703
74,740-750,196,30544,2622,11778,44656,260875,22389,144703
75,750-760,229,30773,2624,11778,44749,260875,22444,144703
76,760-770,240,31013,2625,11778,44773,260875,22461,144703
77,770-780,115,31128,2625,11778,44774,260875,22463,144703
78,780-790,91,31219,2628,11778,44821,260875,22483,144703
79,790-800,82,31301,2628,11778,44823,260875,22488,144703
80,800-810,152,31453,2632,11778,44875,260875,22504,144703
81,810-820,144,31597,2632,11778,44877,260875,22512,144703
82,820-830,99,31696,2632,11778,44877,260875,22512,144703
83,830-840,60,31756,2632,11778,44879,260875,22513,144703
84,840-850,142,31898,2632,11778,44885,260875,22515,144703
85,850-860,108,32006,2633,11778,44920,260875,22533,144703
86,860-870,91,32097,2633,11778,45005,260875,22560,144703
87,870-880,200,32297,2638,11778,45123,260875,22603,144703
88,880-890,121,32418,2643,11778,45301,260875,22680,144703
89,890-900,87,32505,2643,11778,45301,260875,22680,144703
90,900-910,192,32697,2659,11778,45856,260875,23035,144703
91,910-920,122,32819,2662,11778,45926,260875,23077,144703
92,920-930,188,33007,2663,11778,45984,260875,23123,144703
93,930-940,67,33074,2665,11778,46117,260875,23205,144703
94,940-950,185,33259,2666,11778,46397,260875,23408,144703
95,950-960,96,33355,2666,11778,46399,260875,23415,144703
96,960-970,71,33426,2669,11778,46410,260875,23423,144703
97,970-980,148,33574,2669,11778,46470,260875,23461,144703
98,980-990,171,33745,2671,11778,46558,260875,23495,144703
99,990-1000,206,33951,2671,11778,46585,260875,23519,144703
100,1000-1010,173,34124,2671,11778,46592,260875,23527,144703
101,1010-1020,68,34192,2671,11778,46593,260875,23528,144703
102,1020-1030,195,34387,2671,11778,46621,260875,23554,144703
103,1030-1040,102,34489,2671,11778,46625,260875,23559,144703
104,1040-1050,105,34594,2671,11778,46625,260875,23561,144703
105,1050-1060,124,34718,2671,11778,46625,260875,23562,144703
106,1060-1070,133,34851,2671,11778,46625,260875,23563,144703
107,1070-1080,51,34902,2671,11778,46625,260875,23563,144703
108,1080-1090,68,34970,2671,11778,46625,260875,23563,144703
109,1090-1100,51,35021,2671,11778,46636,260875,23566,144703
110,1100-1110,93,35114,2671,11778,46641,260875,23571,144703
111,1110-1120,115,35229,2671,11778,46642,260875,23573,144703
112,1120-1130,129,35358,2671,11778,46649,260875,23580,144703
113,1130-1140,132,35490,2671,11778,46668,260875,23591,144703
114,1140-1150,75,35565,2671,11778,46668,260875,23592,144703
115,1150-1160,84,35649,2671,11778,46668,260875,23592,144703
116,1160-1170,74,35723,2671,11778,46774,260875,23636,144703
117,1170-1180,59,35782,2673,11778,46821,260875,23658,144703
118,1180-1190,101,35883,2673,11778,46821,260875,23659,144703
119,1190-1200,179,36062,2673,11778,46830,260875,23667,144703
120,1200-1210,102,36164,2676,11778,46875,260875,23679,144703
121,1210-1220,45,36209,2676,11778,46875,260875,23679,144703
122,1220-1230,107,36316,2676,11778,46875,260875,23679,144703
123,1230-1240,112,36428,2676,11778,46875,260875,23679,144703
124,1240-1250,156,36584,2676,11778,46879,260875,23682,144703
125,1250-1260,141,36725,2676,11778,46892,260875,23692,144703
126,1260-1270,57,36782,2676,11778,46892,260875,23692,144703
127,1270-1280,46,36828,2677,11778,46910,260875,23701,144703
128,1280-1290,63,36891,2677,11778,46910,260875,23701,144703
129,1290-1300,70,36961,2677,11778,46910,260875,23701,144703
130,1300-1310,70,37031,2677,11778,46928,260875,23709,144703
131,1310-1320,77,37108,2677,11778,46931,260875,23713,144703
132,1320-1330,121,37229,2690,11778,47257,260875,23848,144703
133,1330-1340,106,37335,2691,11778,47272,260875,23854,144703
134,1340-1350,91,37426,2693,11778,47340,260875,23884,144703
135,1350-1360,87,37513,2694,11778,47376,260875,23903,144703
136,1360-1370,92,37605,2694,11778,47392,260875,23917,144703
137,1370-1380,46,37651,2694,11778,47392,260875,23917,144703
138,1380-1390,67,37718,2694,11778,47392,260875,23917,144703
139,1390-1400,74,37792,2694,11778,47393,260875,23918,144703
140,1400-1410,71,37863,2694,11778,47393,260875,23918,144703
141,1410-1420,74,37937,2694,11778,47393,260875,23918,144703
142,1420-1430,76,38013,2695,11778,47417,260875,23932,144703
143,1430-1440,52,38065,2695,11778,47431,260875,23944,144703
