frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,667,667,542,7709,-1,-1,4478,163388
1, 10- 20,1331,1998,746,7709,-1,-1,7571,163388
2, 20- 30,1219,3217,790,7709,-1,-1,8417,163388
3, 30- 40,1011,4228,841,7709,-1,-1,9478,163388
4, 40- 50,691,4919,871,7709,-1,-1,10008,163388
5, 50- 60,955,5874,946,7709,-1,-1,11292,163388
6, 60- 70,511,6385,954,7709,-1,-1,11767,163388
7, 70- 80,1183,7568,972,7709,-1,-1,12449,163388
8, 80- 90,690,8258,981,7709,-1,-1,12769,163388
9, 90-100,275,8533,994,7709,-1,-1,13013,163388
10,100-110,588,9121,1054,7709,-1,-1,14220,163388
11,110-120,707,9828,1098,7709,-1,-1,15111,163388
12,120-130,874,10702,1144,7709,-1,-1,15945,163388
13,130-140,997,11699,1206,7709,-1,-1,16653,163388
14,140-150,681,12380,1215,7709,-1,-1,17180,163388
15,150-160,682,13062,1226,7709,-1,-1,17607,163388
16,160-170,654,13716,1270,7709,-1,-1,18508,163388
17,170-180,955,14671,1285,7709,-1,-1,18938,163388
18,180-190,796,15467,1315,7709,-1,-1,19489,163388
19,190-200,787,16254,1316,7709,-1,-1,19762,163388
20,200-210,663,16917,1321,7709,-1,-1,19992,163388
21,210-220,182,17099,1321,7709,-1,-1,20055,163388
22,220-230,862,17961,1393,7709,-1,-1,20422,163388
23,230-240,133,18094,1393,7709,-1,-1,20437,163388
24,240-250,705,18799,1445,7709,-1,-1,20993,163388
25,250-260,666,19465,1488,7709,-1,-1,21596,163388
26,260-270,716,20181,1509,7709,-1,-1,21855,163388
27,270-280,814,20995,1563,7709,-1,-1,22071,163388
28,280-290,711,21706,1629,7709,-1,-1,22352,163388
29,290-300,649,22355,1632,7709,-1,-1,22516,163388
30,300-310,703,23058,1690,7709,-1,-1,23255,163388
31,310-320,448,23506,1702,7709,-1,-1,23385,163388
32,320-330,709,24215,1753,7709,-1,-1,23548,163388
33,330-340,503,24718,1795,7709,-1,-1,23692,163388
34,340-350,536,25254,1806,7709,-1,-1,23777,163388
35,350-360,490,25744,1823,7709,-1,-1,23953,163388
36,360-370,541,26285,1836,7709,-1,-1,24085,163388
37,370-380,559,26844,1843,7709,-1,-1,24142,163388
38,380-390,358,27202,1848,7709,-1,-1,24174,163388
39,390-400,405,27607,1850,7709,-1,-1,24226,163388
40,400-410,379,27986,1850,7709,-1,-1,24234,163388
41,410-420,379,28365,1851,7709,-1,-1,24248,163388
42,420-430,291,28656,1851,7709,-1,-1,24257,163388
43,430-440,365,29021,1851,7709,-1,-1,24345,163388
44,440-450,334,29355,1851,7709,-1,-1,24347,163388
45,450-460,182,29537,1851,7709,-1,-1,24349,163388
46,460-470,183,29720,1851,7709,-1,-1,24351,163388
47,470-480,238,29958,1851,7709,-1,-1,24359,163388
48,480-490,304,30262,1858,7709,-1,-1,24404,163388
49,490-500,403,30665,1858,7709,-1,-1,24415,163388
50,500-510,402,31067,1864,7709,-1,-1,24445,163388
51,510-520,344,31411,1864,7709,-1,-1,24491,163388
52,520-530,244,31655,1864,7709,-1,-1,24495,163388
53,530-540,251,31906,1866,7709,-1,-1,24619,163388
54,540-550,353,32259,1866,7709,-1,-1,24660,163388
55,550-560,85,32344,1866,7709,-1,-1,24660,163388
56,560-570,316,32660,1866,7709,-1,-1,24661,163388
57,570-580,263,32923,1866,7709,-1,-1,24671,163388
58,580-590,342,33265,1870,7709,-1,-1,24728,163388
59,590-600,140,33405,1872,7709,-1,-1,24788,163388
60,600-610,213,33618,1872,7709,-1,-1,24799,163388
61,610-620,191,33809,1872,7709,-1,-1,24799,163388
62,620-630,270,34079,1875,7709,-1,-1,24831,163388
63,630-640,223,34302,1875,7709,-1,-1,24841,163388
64,640-650,196,34498,1875,7709,-1,-1,24843,163388
65,650-660,191,34689,1878,7709,-1,-1,24900,163388
66,660-670,154,34843,1881,7709,-1,-1,24987,163388
67,670-680,225,35068,1881,7709,-1,-1,24987,163388
68,680-690,222,35290,1881,7709,-1,-1,24991,163388
69,690-700,162,35452,1881,7709,-1,-1,24995,163388
70,700-710,138,35590,1881,7709,-1,-1,24995,163388
71,710-720,63,35653,1881,7709,-1,-1,24995,163388
72,720-730,90,35743,1881,7709,-1,-1,24999,163388
73,730-740,142,35885,1881,7709,-1,-1,25013,163388
74,740-750,161,36046,1881,7709,-1,-1,25018,163388
75,750-760,126,36172,1881,7709,-1,-1,25018,163388
76,760-770,159,36331,1882,7709,-1,-1,25031,163388
77,770-780,165,36496,1882,7709,-1,-1,25034,163388
78,780-790,112,36608,1882,7709,-1,-1,25034,163388
79,790-800,113,36721,1882,7709,-1,-1,25035,163388
80,800-810,134,36855,1882,7709,-1,-1,25082,163388
81,810-820,107,36962,1886,7709,-1,-1,25120,163388
82,820-830,224,37186,1890,7709,-1,-1,25212,163388
83,830-840,174,37360,1890,7709,-1,-1,25306,163388
84,840-850,122,37482,1890,7709,-1,-1,25315,163388
85,850-860,100,37582,1890,7709,-1,-1,25315,163388
86,860-870,107,37689,1890,7709,-1,-1,25315,163388
87,870-880,106,37795,1891,7709,-1,-1,25325,163388
88,880-890,167,37962,1891,7709,-1,-1,25325,163388
89,890-900,102,38064,1891,7709,-1,-1,25325,163388
90,900-910,100,38164,1891,7709,-1,-1,25331,163388
