frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1480,1480,533,1504,5732,19297,3127,13448
1, 10- 20,623,2103,539,1504,5822,19297,3195,13448
2, 20- 30,273,2376,541,1504,5857,19297,3265,13448
3, 30- 40,119,2495,541,1504,5857,19297,3279,13448
4, 40- 50,76,2571,541,1504,5857,19297,3298,13448
5, 50- 60,76,2647,542,1504,5870,19297,3309,13448
6, 60- 70,8,2655,542,1504,5870,19297,3317,13448
7, 70- 80,75,2730,542,1504,5881,19297,3345,13448
8, 80- 90,52,2782,543,1504,5891,19297,3359,13448
9, 90-100,52,2834,543,1504,5893,19297,3368,13448
10,100-110,42,2876,543,1504,5893,19297,3371,13448
11,110-120,52,2928,543,1504,5893,19297,3371,13448
12,120-130,76,3004,544,1504,5901,19297,3376,13448
13,130-140,66,3070,544,1504,5901,19297,3378,13448
14,140-150,41,3111,544,1504,5901,19297,3380,13448
15,150-160,23,3134,544,1504,5901,19297,3382,13448
16,160-170,19,3153,544,1504,5901,19297,3382,13448
17,170-180,40,3193,544,1504,5917,19297,3403,13448
18,180-190,2,3195,544,1504,5917,19297,3404,13448
19,190-200,23,3218,544,1504,5918,19297,3406,13448
20,200-210,16,3234,544,1504,5918,19297,3406,13448
21,210-220,60,3294,544,1504,5920,19297,3415,13448
22,220-230,38,3332,546,1504,5932,19297,3418,13448
23,230-240,15,3347,546,1504,5932,19297,3418,13448
24,240-250,20,3367,546,1504,5932,19297,3419,13448
25,250-260,15,3382,546,1504,5932,19297,3420,13448
26,260-270,9,3391,546,1504,5932,19297,3420,13448
27,270-280,13,3404,546,1504,5932,19297,3420,13448
28,280-290,4,3408,546,1504,5932,19297,3420,13448
29,290-300,5,3413,546,1504,5932,19297,3420,13448
30,300-310,28,3441,546,1504,5932,19297,3420,13448
31,310-320,16,3457,546,1504,5932,19297,3421,13448
32,320-330,11,3468,546,1504,5932,19297,3422,13448
33,330-340,5,3473,546,1504,5932,19297,3422,13448
34,340-350,0,3473,546,1504,5932,19297,3422,13448
35,350-360,1,3474,546,1504,5932,19297,3422,13448
36,360-370,10,3484,546,1504,5932,19297,3423,13448
37,370-380,4,3488,546,1504,5932,19297,3423,13448
38,380-390,1,3489,546,1504,5932,19297,3423,13448
39,390-400,1,3490,546,1504,5932,19297,3423,13448
40,400-410,12,3502,547,1504,5935,19297,3424,13448
41,410-420,2,3504,547,1504,5935,19297,3425,13448
42,420-430,1,3505,547,1504,5935,19297,3425,13448
43,430-440,1,3506,547,1504,5935,19297,3425,13448
44,440-450,0,3506,547,1504,5935,19297,3425,13448
45,450-460,5,3511,547,1504,5935,19297,3425,13448
46,460-470,1,3512,547,1504,5935,19297,3425,13448
47,470-480,5,3517,547,1504,5935,19297,3427,13448
48,480-490,0,3517,547,1504,5935,19297,3427,13448
49,490-500,4,3521,547,1504,5935,19297,3427,13448
50,500-510,0,3521,547,1504,5935,19297,3427,13448
51,510-520,2,3523,547,1504,5935,19297,3427,13448
