frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1728,1728,136,320,-1,-1,2227,6719
1, 10- 20,1244,2972,140,320,-1,-1,2378,6719
2, 20- 30,662,3634,140,320,-1,-1,2378,6719
3, 30- 40,398,4032,140,320,-1,-1,2379,6719
4, 40- 50,297,4329,140,320,-1,-1,2379,6719
5, 50- 60,181,4510,140,320,-1,-1,2379,6719
6, 60- 70,10,4520,140,320,-1,-1,2379,6719
7, 70- 80,27,4547,140,320,-1,-1,2379,6719
8, 80- 90,5,4552,140,320,-1,-1,2379,6719
9, 90-100,19,4571,140,320,-1,-1,2379,6719
10,100-110,23,4594,140,320,-1,-1,2379,6719
11,110-120,25,4619,140,320,-1,-1,2379,6719
12,120-130,11,4630,140,320,-1,-1,2379,6719
13,130-140,9,4639,140,320,-1,-1,2379,6719
14,140-150,11,4650,140,320,-1,-1,2379,6719
15,150-160,0,4650,140,320,-1,-1,2379,6719
16,160-170,7,4657,140,320,-1,-1,2379,6719
17,170-180,12,4669,140,320,-1,-1,2379,6719
18,180-190,17,4686,140,320,-1,-1,2379,6719
19,190-200,91,4777,140,320,-1,-1,2379,6719
20,200-210,9,4786,140,320,-1,-1,2379,6719
21,210-220,4,4790,140,320,-1,-1,2379,6719
22,220-230,41,4831,140,320,-1,-1,2379,6719
23,230-240,1,4832,140,320,-1,-1,2379,6719
24,240-250,25,4857,140,320,-1,-1,2379,6719
25,250-260,28,4885,140,320,-1,-1,2379,6719
26,260-270,5,4890,140,320,-1,-1,2379,6719
27,270-280,18,4908,140,320,-1,-1,2379,6719
28,280-290,3,4911,140,320,-1,-1,2379,6719
29,290-300,2,4913,140,320,-1,-1,2379,6719
30,300-310,7,4920,140,320,-1,-1,2379,6719
31,310-320,4,4924,140,320,-1,-1,2379,6719
32,320-330,5,4929,140,320,-1,-1,2379,6719
33,330-340,7,4936,140,320,-1,-1,2379,6719
34,340-350,3,4939,140,320,-1,-1,2379,6719
35,350-360,17,4956,140,320,-1,-1,2379,6719
36,360-370,23,4979,140,320,-1,-1,2379,6719
37,370-380,19,4998,140,320,-1,-1,2379,6719
38,380-390,11,5009,140,320,-1,-1,2379,6719
39,390-400,31,5040,140,320,-1,-1,2379,6719
40,400-410,2,5042,140,320,-1,-1,2379,6719
41,410-420,6,5048,140,320,-1,-1,2379,6719
42,420-430,79,5127,140,320,-1,-1,2379,6719
