frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,2619,2619,649,1584,16175,54333,5508,22020
1, 10- 20,1069,3688,664,1584,17052,54333,5936,22020
2, 20- 30,595,4283,692,1584,17672,54333,6154,22020
3, 30- 40,276,4559,693,1584,17797,54333,6214,22020
4, 40- 50,5,4564,693,1584,17797,54333,6214,22020
5, 50- 60,343,4907,694,1584,17880,54333,6244,22020
6, 60- 70,25,4932,694,1584,17891,54333,6249,22020
7, 70- 80,186,5118,697,1584,18013,54333,6302,22020
8, 80- 90,104,5222,697,1584,18068,54333,6324,22020
9, 90-100,86,5308,697,1584,18068,54333,6325,22020
10,100-110,61,5369,697,1584,18073,54333,6333,22020
11,110-120,77,5446,697,1584,18079,54333,6337,22020
12,120-130,68,5514,700,1584,18105,54333,6344,22020
13,130-140,12,5526,700,1584,18107,54333,6345,22020
14,140-150,0,5526,700,1584,18107,54333,6345,22020
15,150-160,74,5600,700,1584,18125,54333,6355,22020
16,160-170,44,5644,700,1584,18125,54333,6355,22020
17,170-180,40,5684,700,1584,18125,54333,6355,22020
18,180-190,44,5728,700,1584,18130,54333,6361,22020
19,190-200,38,5766,700,1584,18144,54333,6369,22020
20,200-210,44,5810,701,1584,18166,54333,6375,22020
21,210-220,36,5846,701,1584,18180,54333,6380,22020
22,220-230,34,5880,701,1584,18180,54333,6380,22020
23,230-240,81,5961,701,1584,18184,54333,6384,22020
24,240-250,71,6032,701,1584,18193,54333,6391,22020
25,250-260,49,6081,705,1584,18265,54333,6409,22020
26,260-270,36,6117,705,1584,18275,54333,6415,22020
27,270-280,31,6148,705,1584,18279,54333,6417,22020
28,280-290,0,6148,705,1584,18279,54333,6417,22020
29,290-300,80,6228,705,1584,18288,54333,6423,22020
30,300-310,20,6248,705,1584,18294,54333,6426,22020
31,310-320,4,6252,705,1584,18294,54333,6426,22020
32,320-330,80,6332,707,1584,18363,54333,6467,22020
33,330-340,25,6357,707,1584,18364,54333,6469,22020
34,340-350,39,6396,707,1584,18364,54333,6469,22020
35,350-360,29,6425,707,1584,18364,54333,6471,22020
36,360-370,38,6463,707,1584,18368,54333,6473,22020
37,370-380,18,6481,707,1584,18373,54333,6479,22020
38,380-390,37,6518,710,1584,18431,54333,6504,22020
39,390-400,74,6592,717,1584,18688,54333,6596,22020
40,400-410,20,6612,717,1584,18688,54333,6596,22020
41,410-420,61,6673,717,1584,18693,54333,6599,22020
42,420-430,24,6697,717,1584,18693,54333,6599,22020
43,430-440,18,6715,717,1584,18697,54333,6601,22020
44,440-450,19,6734,717,1584,18702,54333,6605,22020
45,450-460,26,6760,718,1584,18752,54333,6626,22020
46,460-470,14,6774,718,1584,18753,54333,6629,22020
47,470-480,25,6799,721,1584,18883,54333,6666,22020
48,480-490,9,6808,721,1584,18884,54333,6667,22020
49,490-500,11,6819,721,1584,18884,54333,6668,22020
50,500-510,74,6893,726,1584,19200,54333,6759,22020
51,510-520,16,6909,726,1584,19201,54333,6760,22020
52,520-530,0,6909,726,1584,19201,54333,6760,22020
