frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,2184,2184,2134,17930,-1,-1,23628,392190
1, 10- 20,2164,4348,2291,17930,-1,-1,26482,392190
2, 20- 30,2005,6353,2346,17930,-1,-1,28175,392190
3, 30- 40,336,6689,2350,17930,-1,-1,28347,392190
4, 40- 50,1490,8179,2441,17930,-1,-1,29804,392190
5, 50- 60,1185,9364,2479,17930,-1,-1,30932,392190
6, 60- 70,998,10362,2492,17930,-1,-1,31575,392190
7, 70- 80,1108,11470,2536,17930,-1,-1,32551,392190
8, 80- 90,1086,12556,2560,17930,-1,-1,33363,392190
9, 90-100,235,12791,2579,17930,-1,-1,33719,392190
10,100-110,1049,13840,2596,17930,-1,-1,34443,392190
11,110-120,1064,14904,2620,17930,-1,-1,34963,392190
12,120-130,637,15541,2628,17930,-1,-1,35289,392190
13,130-140,953,16494,2651,17930,-1,-1,35868,392190
14,140-150,1180,17674,2705,17930,-1,-1,36816,392190
15,150-160,766,18440,2717,17930,-1,-1,37220,392190
16,160-170,209,18649,2759,17930,-1,-1,37504,392190
17,170-180,847,19496,2810,17930,-1,-1,38496,392190
18,180-190,941,20437,2826,17930,-1,-1,38901,392190
19,190-200,1012,21449,2882,17930,-1,-1,40685,392190
20,200-210,1167,22616,3038,17930,-1,-1,43413,392190
21,210-220,696,23312,3064,17930,-1,-1,44293,392190
22,220-230,548,23860,3073,17930,-1,-1,44737,392190
23,230-240,1041,24901,3161,17930,-1,-1,46556,392190
24,240-250,767,25668,3201,17930,-1,-1,47118,392190
25,250-260,689,26357,3289,17930,-1,-1,47615,392190
26,260-270,1079,27436,3319,17930,-1,-1,48276,392190
27,270-280,813,28249,3336,17930,-1,-1,48648,392190
28,280-290,458,28707,3345,17930,-1,-1,49243,392190
29,290-300,744,29451,3360,17930,-1,-1,49769,392190
30,300-310,852,30303,3403,17930,-1,-1,50201,392190
31,310-320,996,31299,3448,17930,-1,-1,50737,392190
32,320-330,805,32104,3457,17930,-1,-1,51241,392190
33,330-340,831,32935,3467,17930,-1,-1,51697,392190
34,340-350,268,33203,3469,17930,-1,-1,51766,392190
35,350-360,764,33967,3475,17930,-1,-1,51963,392190
36,360-370,537,34504,3490,17930,-1,-1,52144,392190
37,370-380,738,35242,3510,17930,-1,-1,52732,392190
38,380-390,503,35745,3516,17930,-1,-1,52974,392190
39,390-400,758,36503,3527,17930,-1,-1,53354,392190
40,400-410,571,37074,3544,17930,-1,-1,53736,392190
41,410-420,345,37419,3568,17930,-1,-1,53887,392190
42,420-430,385,37804,3575,17930,-1,-1,54047,392190
43,430-440,556,38360,3577,17930,-1,-1,54261,392190
44,440-450,459,38819,3579,17930,-1,-1,54332,392190
45,450-460,444,39263,3585,17930,-1,-1,54491,392190
46,460-470,567,39830,3597,17930,-1,-1,54679,392190
47,470-480,185,40015,3597,17930,-1,-1,54750,392190
48,480-490,581,40596,3613,17930,-1,-1,55025,392190
49,490-500,503,41099,3644,17930,-1,-1,55408,392190
50,500-510,571,41670,3651,17930,-1,-1,55559,392190
51,510-520,598,42268,3658,17930,-1,-1,55761,392190
52,520-530,503,42771,3668,17930,-1,-1,55969,392190
53,530-540,514,43285,3694,17930,-1,-1,56553,392190
54,540-550,522,43807,3720,17930,-1,-1,56855,392190
55,550-560,71,43878,3720,17930,-1,-1,56869,392190
56,560-570,627,44505,3724,17930,-1,-1,57012,392190
57,570-580,651,45156,3765,17930,-1,-1,58138,392190
58,580-590,321,45477,3773,17930,-1,-1,58282,392190
59,590-600,637,46114,3783,17930,-1,-1,58704,392190
60,600-610,435,46549,3787,17930,-1,-1,58808,392190
61,610-620,388,46937,3790,17930,-1,-1,58869,392190
62,620-630,527,47464,3790,17930,-1,-1,58924,392190
63,630-640,338,47802,3803,17930,-1,-1,59189,392190
64,640-650,405,48207,3809,17930,-1,-1,59363,392190
65,650-660,481,48688,3814,17930,-1,-1,59696,392190
66,660-670,363,49051,3834,17930,-1,-1,60038,392190
67,670-680,133,49184,3877,17930,-1,-1,60542,392190
68,680-690,546,49730,3884,17930,-1,-1,60771,392190
69,690-700,616,50346,3898,17930,-1,-1,61084,392190
70,700-710,651,50997,3943,17930,-1,-1,61395,392190
71,710-720,414,51411,3951,17930,-1,-1,61508,392190
72,720-730,401,51812,3957,17930,-1,-1,61686,392190
73,730-740,176,51988,3966,17930,-1,-1,61771,392190
74,740-750,626,52614,3980,17930,-1,-1,62120,392190
75,750-760,460,53074,4001,17930,-1,-1,62256,392190
76,760-770,242,53316,4044,17930,-1,-1,62317,392190
77,770-780,301,53617,4063,17930,-1,-1,62457,392190
78,780-790,330,53947,4064,17930,-1,-1,62520,392190
79,790-800,399,54346,4078,17930,-1,-1,62807,392190
80,800-810,479,54825,4148,17930,-1,-1,62992,392190
81,810-820,89,54914,4153,17930,-1,-1,63056,392190
82,820-830,507,55421,4184,17930,-1,-1,63206,392190
83,830-840,412,55833,4197,17930,-1,-1,63332,392190
84,840-850,262,56095,4213,17930,-1,-1,63461,392190
85,850-860,452,56547,4223,17930,-1,-1,63549,392190
86,860-870,253,56800,4226,17930,-1,-1,63607,392190
87,870-880,363,57163,4288,17930,-1,-1,63909,392190
88,880-890,416,57579,4306,17930,-1,-1,64064,392190
89,890-900,140,57719,4309,17930,-1,-1,64116,392190
90,900-910,436,58155,4341,17930,-1,-1,64272,392190
91,910-920,339,58494,4351,17930,-1,-1,64416,392190
92,920-930,242,58736,4355,17930,-1,-1,64523,392190
93,930-940,453,59189,4399,17930,-1,-1,64716,392190
94,940-950,388,59577,4405,17930,-1,-1,64889,392190
95,950-960,105,59682,4406,17930,-1,-1,64895,392190
96,960-970,497,60179,4413,17930,-1,-1,64939,392190
97,970-980,400,60579,4421,17930,-1,-1,65111,392190
98,980-990,398,60977,4427,17930,-1,-1,65158,392190
99,990-1000,354,61331,4430,17930,-1,-1,65216,392190
100,1000-1010,306,61637,4432,17930,-1,-1,65252,392190
101,1010-1020,292,61929,4441,17930,-1,-1,65333,392190
102,1020-1030,235,62164,4441,17930,-1,-1,65372,392190
103,1030-1040,180,62344,4441,17930,-1,-1,65378,392190
104,1040-1050,312,62656,4442,17930,-1,-1,65425,392190
105,1050-1060,254,62910,4445,17930,-1,-1,65574,392190
106,1060-1070,301,63211,4445,17930,-1,-1,65607,392190
107,1070-1080,294,63505,4445,17930,-1,-1,65608,392190
108,1080-1090,299,63804,4446,17930,-1,-1,65615,392190
109,1090-1100,261,64065,4446,17930,-1,-1,65647,392190
110,1100-1110,330,64395,4446,17930,-1,-1,65672,392190
111,1110-1120,182,64577,4446,17930,-1,-1,65689,392190
112,1120-1130,287,64864,4446,17930,-1,-1,65704,392190
113,1130-1140,355,65219,4447,17930,-1,-1,65710,392190
114,1140-1150,189,65408,4447,17930,-1,-1,65715,392190
115,1150-1160,275,65683,4450,17930,-1,-1,65750,392190
116,1160-1170,249,65932,4453,17930,-1,-1,65799,392190
117,1170-1180,308,66240,4454,17930,-1,-1,65822,392190
118,1180-1190,270,66510,4467,17930,-1,-1,66074,392190
119,1190-1200,202,66712,4467,17930,-1,-1,66111,392190
120,1200-1210,336,67048,4467,17930,-1,-1,66126,392190
121,1210-1220,195,67243,4468,17930,-1,-1,66167,392190
122,1220-1230,218,67461,4468,17930,-1,-1,66171,392190
123,1230-1240,228,67689,4468,17930,-1,-1,66174,392190
124,1240-1250,218,67907,4473,17930,-1,-1,66257,392190
125,1250-1260,546,68453,4475,17930,-1,-1,66325,392190
126,1260-1270,338,68791,4475,17930,-1,-1,66337,392190
127,1270-1280,346,69137,4475,17930,-1,-1,66384,392190
128,1280-1290,309,69446,4475,17930,-1,-1,66399,392190
129,1290-1300,225,69671,4477,17930,-1,-1,66419,392190
130,1300-1310,222,69893,4478,17930,-1,-1,66443,392190
131,1310-1320,279,70172,4478,17930,-1,-1,66444,392190
132,1320-1330,279,70451,4478,17930,-1,-1,66448,392190
133,1330-1340,249,70700,4478,17930,-1,-1,66463,392190
134,1340-1350,291,70991,4486,17930,-1,-1,66595,392190
135,1350-1360,386,71377,4486,17930,-1,-1,66638,392190
136,1360-1370,159,71536,4486,17930,-1,-1,66639,392190
137,1370-1380,67,71603,4486,17930,-1,-1,66643,392190
138,1380-1390,201,71804,4487,17930,-1,-1,66657,392190
139,1390-1400,226,72030,4487,17930,-1,-1,66661,392190
140,1400-1410,237,72267,4502,17930,-1,-1,66881,392190
141,1410-1420,313,72580,4510,17930,-1,-1,67023,392190
142,1420-1430,136,72716,4510,17930,-1,-1,67023,392190
143,1430-1440,319,73035,4520,17930,-1,-1,67146,392190
