frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,2522,2522,3119,27065,47208,576759,22371,374203
1, 10- 20,1781,4303,3377,27065,53034,576759,25785,374203
2, 20- 30,1832,6135,3480,27065,55776,576759,27668,374203
3, 30- 40,1332,7467,3539,27065,57509,576759,28784,374203
4, 40- 50,473,7940,3569,27065,58074,576759,29143,374203
5, 50- 60,1487,9427,3683,27065,61132,576759,30906,374203
6, 60- 70,1341,10768,3730,27065,62543,576759,31747,374203
7, 70- 80,697,11465,3742,27065,62936,576759,32014,374203
8, 80- 90,1144,12609,3778,27065,63903,576759,32614,374203
9, 90-100,987,13596,3839,27065,65533,576759,33684,374203
10,100-110,869,14465,4031,27065,69508,576759,35843,374203
11,110-120,691,15156,4056,27065,70320,576759,36362,374203
12,120-130,316,15472,4076,27065,70989,576759,36721,374203
13,130-140,980,16452,4156,27065,72633,576759,37624,374203
14,140-150,911,17363,4196,27065,73952,576759,38341,374203
15,150-160,738,18101,4208,27065,74305,576759,38523,374203
16,160-170,718,18819,4247,27065,75873,576759,39277,374203
17,170-180,1060,19879,4290,27065,77096,576759,39878,374203
18,180-190,945,20824,4372,27065,78497,576759,40620,374203
19,190-200,774,21598,4437,27065,79197,576759,41149,374203
20,200-210,194,21792,4444,27065,79402,576759,41265,374203
21,210-220,1054,22846,4528,27065,80740,576759,41922,374203
22,220-230,839,23685,4537,27065,81135,576759,42222,374203
23,230-240,767,24452,4555,27065,81621,576759,42514,374203
24,240-250,622,25074,4569,27065,81947,576759,42704,374203
25,250-260,678,25752,4596,27065,82319,576759,42952,374203
26,260-270,536,26288,4639,27065,83054,576759,43373,374203
27,270-280,235,26523,4652,27065,83187,576759,43509,374203
28,280-290,663,27186,4693,27065,83423,576759,43711,374203
29,290-300,507,27693,4753,27065,84289,576759,44205,374203
30,300-310,522,28215,4814,27065,84777,576759,44403,374203
31,310-320,525,28740,4839,27065,85132,576759,44676,374203
32,320-330,450,29190,4843,27065,85394,576759,44840,374203
33,330-340,429,29619,4852,27065,85848,576759,45167,374203
34,340-350,537,30156,4880,27065,86456,576759,45550,374203
35,350-360,428,30584,4895,27065,86840,576759,45751,374203
36,360-370,384,30968,4926,27065,87430,576759,46021,374203
37,370-380,126,31094,4929,27065,87546,576759,46108,374203
38,380-390,524,31618,4964,27065,88398,576759,46503,374203
39,390-400,446,32064,5008,27065,89673,576759,47156,374203
40,400-410,377,32441,5015,27065,89819,576759,47263,374203
41,410-420,928,33369,5033,27065,90356,576759,47602,374203
42,420-430,115,33484,5034,27065,90530,576759,47717,374203
43,430-440,759,34243,5038,27065,90714,576759,47843,374203
44,440-450,508,34751,5050,27065,90899,576759,47932,374203
45,450-460,574,35325,5076,27065,91398,576759,48172,374203
46,460-470,462,35787,5087,27065,91632,576759,48275,374203
47,470-480,457,36244,5091,27065,91920,576759,48441,374203
48,480-490,393,36637,5098,27065,92144,576759,48594,374203
49,490-500,353,36990,5112,27065,92533,576759,48786,374203
