frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,584,584,388,2257,-1,-1,5136,106075
1, 10- 20,678,1262,411,2257,-1,-1,6156,106075
2, 20- 30,577,1839,422,2257,-1,-1,7298,106075
3, 30- 40,324,2163,440,2257,-1,-1,7769,106075
4, 40- 50,213,2376,440,2257,-1,-1,7934,106075
5, 50- 60,569,2945,454,2257,-1,-1,8652,106075
6, 60- 70,235,3180,456,2257,-1,-1,8915,106075
7, 70- 80,125,3305,457,2257,-1,-1,9086,106075
8, 80- 90,116,3421,457,2257,-1,-1,9105,106075
9, 90-100,147,3568,463,2257,-1,-1,9171,106075
10,100-110,95,3663,463,2257,-1,-1,9194,106075
11,110-120,74,3737,463,2257,-1,-1,9218,106075
12,120-130,78,3815,463,2257,-1,-1,9247,106075
13,130-140,108,3923,464,2257,-1,-1,9314,106075
14,140-150,54,3977,464,2257,-1,-1,9319,106075
15,150-160,58,4035,464,2257,-1,-1,9343,106075
16,160-170,41,4076,464,2257,-1,-1,9345,106075
17,170-180,32,4108,464,2257,-1,-1,9349,106075
18,180-190,47,4155,464,2257,-1,-1,9372,106075
19,190-200,53,4208,464,2257,-1,-1,9377,106075
20,200-210,36,4244,464,2257,-1,-1,9377,106075
21,210-220,45,4289,464,2257,-1,-1,9399,106075
22,220-230,45,4334,464,2257,-1,-1,9400,106075
23,230-240,68,4402,464,2257,-1,-1,9403,106075
24,240-250,36,4438,464,2257,-1,-1,9411,106075
25,250-260,41,4479,464,2257,-1,-1,9424,106075
26,260-270,20,4499,464,2257,-1,-1,9425,106075
27,270-280,25,4524,464,2257,-1,-1,9427,106075
28,280-290,41,4565,464,2257,-1,-1,9430,106075
29,290-300,35,4600,464,2257,-1,-1,9435,106075
30,300-310,36,4636,465,2257,-1,-1,9486,106075
31,310-320,57,4693,465,2257,-1,-1,9506,106075
32,320-330,88,4781,465,2257,-1,-1,9607,106075
33,330-340,27,4808,465,2257,-1,-1,9613,106075
34,340-350,18,4826,465,2257,-1,-1,9616,106075
35,350-360,31,4857,465,2257,-1,-1,9616,106075
36,360-370,53,4910,465,2257,-1,-1,9620,106075
37,370-380,33,4943,465,2257,-1,-1,9620,106075
38,380-390,21,4964,465,2257,-1,-1,9622,106075
39,390-400,21,4985,465,2257,-1,-1,9623,106075
40,400-410,22,5007,465,2257,-1,-1,9624,106075
41,410-420,29,5036,465,2257,-1,-1,9624,106075
42,420-430,18,5054,465,2257,-1,-1,9627,106075
43,430-440,45,5099,465,2257,-1,-1,9627,106075
44,440-450,26,5125,465,2257,-1,-1,9647,106075
45,450-460,45,5170,465,2257,-1,-1,9648,106075
46,460-470,24,5194,465,2257,-1,-1,9648,106075
47,470-480,35,5229,465,2257,-1,-1,9648,106075
48,480-490,24,5253,465,2257,-1,-1,9648,106075
49,490-500,18,5271,465,2257,-1,-1,9649,106075
50,500-510,26,5297,465,2257,-1,-1,9650,106075
51,510-520,9,5306,465,2257,-1,-1,9650,106075
52,520-530,12,5318,465,2257,-1,-1,9650,106075
53,530-540,32,5350,465,2257,-1,-1,9651,106075
54,540-550,25,5375,465,2257,-1,-1,9651,106075
55,550-560,26,5401,465,2257,-1,-1,9651,106075
56,560-570,27,5428,465,2257,-1,-1,9654,106075
57,570-580,24,5452,465,2257,-1,-1,9654,106075
58,580-590,77,5529,465,2257,-1,-1,9656,106075
59,590-600,45,5574,465,2257,-1,-1,9657,106075
60,600-610,19,5593,465,2257,-1,-1,9657,106075
61,610-620,30,5623,465,2257,-1,-1,9657,106075
62,620-630,26,5649,465,2257,-1,-1,9657,106075
63,630-640,37,5686,465,2257,-1,-1,9657,106075
64,640-650,25,5711,465,2257,-1,-1,9657,106075
65,650-660,17,5728,465,2257,-1,-1,9657,106075
66,660-670,18,5746,465,2257,-1,-1,9657,106075
67,670-680,16,5762,465,2257,-1,-1,9659,106075
68,680-690,23,5785,465,2257,-1,-1,9659,106075
69,690-700,13,5798,465,2257,-1,-1,9659,106075
70,700-710,16,5814,465,2257,-1,-1,9659,106075
71,710-720,15,5829,465,2257,-1,-1,9659,106075
72,720-730,12,5841,465,2257,-1,-1,9659,106075
73,730-740,12,5853,465,2257,-1,-1,9660,106075
74,740-750,18,5871,465,2257,-1,-1,9662,106075
75,750-760,29,5900,465,2257,-1,-1,9665,106075
76,760-770,9,5909,465,2257,-1,-1,9665,106075
77,770-780,13,5922,465,2257,-1,-1,9665,106075
78,780-790,14,5936,465,2257,-1,-1,9667,106075
79,790-800,17,5953,465,2257,-1,-1,9667,106075
80,800-810,10,5963,465,2257,-1,-1,9667,106075
81,810-820,14,5977,465,2257,-1,-1,9667,106075
82,820-830,10,5987,465,2257,-1,-1,9667,106075
83,830-840,22,6009,465,2257,-1,-1,9667,106075
84,840-850,11,6020,465,2257,-1,-1,9667,106075
85,850-860,8,6028,465,2257,-1,-1,9667,106075
86,860-870,13,6041,465,2257,-1,-1,9667,106075
87,870-880,16,6057,465,2257,-1,-1,9667,106075
