frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,584,584,389,4129,7023,127684,3061,89995
1, 10- 20,678,1262,412,4129,8006,127684,3814,89995
2, 20- 30,577,1839,423,4129,9145,127684,4683,89995
3, 30- 40,324,2163,441,4129,9626,127684,5048,89995
4, 40- 50,213,2376,441,4129,9744,127684,5175,89995
5, 50- 60,569,2945,455,4129,10561,127684,5756,89995
6, 60- 70,235,3180,457,4129,10832,127684,5981,89995
7, 70- 80,125,3305,458,4129,10932,127684,6094,89995
8, 80- 90,116,3421,458,4129,10945,127684,6128,89995
9, 90-100,147,3568,464,4129,11030,127684,6187,89995
10,100-110,95,3663,464,4129,11056,127684,6207,89995
11,110-120,74,3737,464,4129,11086,127684,6233,89995
12,120-130,78,3815,464,4129,11121,127684,6256,89995
13,130-140,108,3923,465,4129,11217,127684,6322,89995
14,140-150,54,3977,465,4129,11226,127684,6330,89995
15,150-160,58,4035,465,4129,11235,127684,6350,89995
16,160-170,41,4076,465,4129,11238,127684,6354,89995
17,170-180,32,4108,465,4129,11240,127684,6360,89995
18,180-190,47,4155,465,4129,11253,127684,6378,89995
19,190-200,53,4208,465,4129,11257,127684,6394,89995
20,200-210,36,4244,465,4129,11257,127684,6397,89995
21,210-220,45,4289,465,4129,11283,127684,6414,89995
22,220-230,45,4334,465,4129,11283,127684,6418,89995
23,230-240,68,4402,465,4129,11286,127684,6435,89995
24,240-250,36,4438,465,4129,11295,127684,6452,89995
25,250-260,41,4479,465,4129,11302,127684,6463,89995
26,260-270,20,4499,465,4129,11302,127684,6465,89995
27,270-280,25,4524,465,4129,11307,127684,6469,89995
28,280-290,41,4565,465,4129,11307,127684,6473,89995
29,290-300,35,4600,465,4129,11313,127684,6480,89995
30,300-310,36,4636,466,4129,11361,127684,6516,89995
31,310-320,57,4693,466,4129,11396,127684,6534,89995
32,320-330,88,4781,466,4129,11488,127684,6606,89995
33,330-340,27,4808,466,4129,11497,127684,6611,89995
34,340-350,18,4826,466,4129,11499,127684,6614,89995
35,350-360,31,4857,466,4129,11499,127684,6616,89995
36,360-370,53,4910,466,4129,11505,127684,6620,89995
37,370-380,33,4943,466,4129,11505,127684,6620,89995
38,380-390,21,4964,466,4129,11508,127684,6622,89995
39,390-400,21,4985,466,4129,11508,127684,6623,89995
40,400-410,22,5007,466,4129,11509,127684,6628,89995
41,410-420,29,5036,466,4129,11509,127684,6628,89995
42,420-430,18,5054,466,4129,11514,127684,6631,89995
43,430-440,45,5099,466,4129,11514,127684,6631,89995
44,440-450,26,5125,466,4129,11545,127684,6647,89995
45,450-460,45,5170,466,4129,11548,127684,6652,89995
46,460-470,24,5194,466,4129,11548,127684,6652,89995
47,470-480,35,5229,466,4129,11548,127684,6653,89995
48,480-490,24,5253,466,4129,11548,127684,6653,89995
49,490-500,18,5271,466,4129,11549,127684,6654,89995
50,500-510,26,5297,466,4129,11550,127684,6656,89995
51,510-520,9,5306,466,4129,11550,127684,6656,89995
52,520-530,12,5318,466,4129,11550,127684,6656,89995
53,530-540,32,5350,466,4129,11551,127684,6659,89995
54,540-550,25,5375,466,4129,11551,127684,6660,89995
55,550-560,26,5401,466,4129,11551,127684,6661,89995
56,560-570,27,5428,466,4129,11556,127684,6665,89995
57,570-580,24,5452,466,4129,11556,127684,6665,89995
58,580-590,77,5529,466,4129,11558,127684,6668,89995
59,590-600,45,5574,466,4129,11559,127684,6669,89995
60,600-610,19,5593,466,4129,11559,127684,6670,89995
61,610-620,30,5623,466,4129,11559,127684,6671,89995
62,620-630,26,5649,466,4129,11559,127684,6672,89995
63,630-640,37,5686,466,4129,11559,127684,6672,89995
64,640-650,25,5711,466,4129,11559,127684,6672,89995
