frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,253,253,2870,18973,-1,-1,25783,339057
1, 10- 20,223,476,2874,18973,-1,-1,25877,339057
2, 20- 30,230,706,3007,18973,-1,-1,27384,339057
3, 30- 40,143,849,3012,18973,-1,-1,27553,339057
4, 40- 50,268,1117,3025,18973,-1,-1,27798,339057
5, 50- 60,125,1242,3033,18973,-1,-1,27941,339057
6, 60- 70,120,1362,3096,18973,-1,-1,28592,339057
7, 70- 80,61,1423,3102,18973,-1,-1,28675,339057
8, 80- 90,67,1490,3103,18973,-1,-1,28704,339057
9, 90-100,72,1562,3103,18973,-1,-1,28707,339057
10,100-110,52,1614,3142,18973,-1,-1,29204,339057
11,110-120,103,1717,3144,18973,-1,-1,29215,339057
12,120-130,42,1759,3144,18973,-1,-1,29220,339057
13,130-140,83,1842,3145,18973,-1,-1,29226,339057
14,140-150,76,1918,3145,18973,-1,-1,29254,339057
15,150-160,109,2027,3151,18973,-1,-1,29428,339057
16,160-170,82,2109,3151,18973,-1,-1,29457,339057
17,170-180,87,2196,3154,18973,-1,-1,29498,339057
18,180-190,88,2284,3155,18973,-1,-1,29515,339057
19,190-200,66,2350,3157,18973,-1,-1,29539,339057
20,200-210,53,2403,3157,18973,-1,-1,29554,339057
21,210-220,36,2439,3160,18973,-1,-1,29605,339057
22,220-230,38,2477,3163,18973,-1,-1,29658,339057
23,230-240,78,2555,3163,18973,-1,-1,29688,339057
24,240-250,45,2600,3163,18973,-1,-1,29707,339057
25,250-260,16,2616,3168,18973,-1,-1,29858,339057
26,260-270,60,2676,3169,18973,-1,-1,29891,339057
27,270-280,55,2731,3170,18973,-1,-1,29938,339057
28,280-290,6,2737,3171,18973,-1,-1,29969,339057
29,290-300,37,2774,3171,18973,-1,-1,29983,339057
30,300-310,50,2824,3171,18973,-1,-1,29995,339057
31,310-320,11,2835,3171,18973,-1,-1,29995,339057
32,320-330,30,2865,3172,18973,-1,-1,30002,339057
33,330-340,49,2914,3179,18973,-1,-1,30098,339057
34,340-350,4,2918,3179,18973,-1,-1,30102,339057
35,350-360,23,2941,3179,18973,-1,-1,30102,339057
36,360-370,42,2983,3179,18973,-1,-1,30124,339057
37,370-380,7,2990,3179,18973,-1,-1,30124,339057
38,380-390,75,3065,3181,18973,-1,-1,30177,339057
39,390-400,32,3097,3182,18973,-1,-1,30185,339057
40,400-410,8,3105,3182,18973,-1,-1,30186,339057
41,410-420,6,3111,3182,18973,-1,-1,30191,339057
42,420-430,5,3116,3182,18973,-1,-1,30244,339057
43,430-440,14,3130,3186,18973,-1,-1,30287,339057
44,440-450,10,3140,3188,18973,-1,-1,30314,339057
45,450-460,44,3184,3228,18973,-1,-1,30465,339057
46,460-470,28,3212,3230,18973,-1,-1,30515,339057
47,470-480,1,3213,3230,18973,-1,-1,30515,339057
48,480-490,3,3216,3230,18973,-1,-1,30515,339057
