frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,253,253,2870,22200,36766,475752,14732,284959
1, 10- 20,223,476,2874,22200,36861,475752,14818,284959
2, 20- 30,230,706,3007,22200,38947,475752,15765,284959
3, 30- 40,143,849,3012,22200,39114,475752,15898,284959
4, 40- 50,268,1117,3025,22200,39388,475752,16091,284959
5, 50- 60,125,1242,3033,22200,39546,475752,16186,284959
6, 60- 70,120,1362,3096,22200,40436,475752,16580,284959
7, 70- 80,61,1423,3102,22200,40550,475752,16638,284959
8, 80- 90,67,1490,3103,22200,40583,475752,16660,284959
9, 90-100,72,1562,3103,22200,40585,475752,16665,284959
10,100-110,52,1614,3142,22200,41215,475752,16999,284959
11,110-120,103,1717,3144,22200,41230,475752,17008,284959
12,120-130,42,1759,3144,22200,41233,475752,17013,284959
13,130-140,83,1842,3145,22200,41236,475752,17018,284959
14,140-150,76,1918,3145,22200,41258,475752,17050,284959
15,150-160,109,2027,3151,22200,41468,475752,17205,284959
16,160-170,82,2109,3151,22200,41502,475752,17236,284959
17,170-180,87,2196,3154,22200,41554,475752,17268,284959
18,180-190,88,2284,3155,22200,41586,475752,17282,284959
19,190-200,66,2350,3157,22200,41615,475752,17303,284959
20,200-210,53,2403,3157,22200,41625,475752,17317,284959
21,210-220,36,2439,3160,22200,41691,475752,17359,284959
22,220-230,38,2477,3163,22200,41748,475752,17402,284959
23,230-240,78,2555,3163,22200,41779,475752,17431,284959
24,240-250,45,2600,3163,22200,41801,475752,17445,284959
25,250-260,16,2616,3168,22200,41998,475752,17557,284959
26,260-270,60,2676,3169,22200,42043,475752,17586,284959
27,270-280,55,2731,3170,22200,42092,475752,17625,284959
28,280-290,6,2737,3171,22200,42132,475752,17652,284959
29,290-300,37,2774,3171,22200,42146,475752,17664,284959
30,300-310,50,2824,3171,22200,42162,475752,17676,284959
31,310-320,11,2835,3171,22200,42162,475752,17676,284959
32,320-330,30,2865,3172,22200,42169,475752,17683,284959
33,330-340,49,2914,3179,22200,42295,475752,17751,284959
34,340-350,4,2918,3179,22200,42296,475752,17754,284959
35,350-360,23,2941,3179,22200,42296,475752,17754,284959
36,360-370,42,2983,3179,22200,42330,475752,17776,284959
37,370-380,7,2990,3179,22200,42330,475752,17776,284959
