frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,556,556,320,916,-1,-1,2920,13543
1, 10- 20,137,693,344,916,-1,-1,3066,13543
2, 20- 30,39,732,344,916,-1,-1,3066,13543
3, 30- 40,25,757,345,916,-1,-1,3087,13543
4, 40- 50,33,790,362,916,-1,-1,3200,13543
5, 50- 60,58,848,367,916,-1,-1,3275,13543
6, 60- 70,32,880,374,916,-1,-1,3337,13543
7, 70- 80,7,887,374,916,-1,-1,3340,13543
8, 80- 90,48,935,374,916,-1,-1,3416,13543
9, 90-100,17,952,376,916,-1,-1,3449,13543
10,100-110,5,957,376,916,-1,-1,3450,13543
11,110-120,64,1021,380,916,-1,-1,3548,13543
12,120-130,2,1023,380,916,-1,-1,3548,13543
13,130-140,12,1035,380,916,-1,-1,3550,13543
14,140-150,4,1039,380,916,-1,-1,3550,13543
15,150-160,4,1043,380,916,-1,-1,3550,13543
16,160-170,1,1044,380,916,-1,-1,3550,13543
17,170-180,6,1050,380,916,-1,-1,3550,13543
18,180-190,2,1052,380,916,-1,-1,3550,13543
19,190-200,1,1053,380,916,-1,-1,3550,13543
20,200-210,0,1053,380,916,-1,-1,3550,13543
21,210-220,0,1053,380,916,-1,-1,3550,13543
22,220-230,1,1054,382,916,-1,-1,3558,13543
23,230-240,2,1056,382,916,-1,-1,3558,13543
24,240-250,0,1056,382,916,-1,-1,3558,13543
25,250-260,1,1057,382,916,-1,-1,3559,13543
26,260-270,3,1060,382,916,-1,-1,3559,13543
27,270-280,2,1062,382,916,-1,-1,3559,13543
28,280-290,3,1065,382,916,-1,-1,3559,13543
29,290-300,1,1066,382,916,-1,-1,3559,13543
30,300-310,4,1070,382,916,-1,-1,3559,13543
31,310-320,0,1070,382,916,-1,-1,3559,13543
32,320-330,1,1071,382,916,-1,-1,3559,13543
33,330-340,1,1072,382,916,-1,-1,3559,13543
34,340-350,0,1072,382,916,-1,-1,3559,13543
35,350-360,1,1073,382,916,-1,-1,3559,13543
36,360-370,4,1077,382,916,-1,-1,3559,13543
37,370-380,0,1077,382,916,-1,-1,3559,13543
38,380-390,3,1080,382,916,-1,-1,3560,13543
39,390-400,0,1080,382,916,-1,-1,3560,13543
40,400-410,0,1080,382,916,-1,-1,3560,13543
41,410-420,1,1081,382,916,-1,-1,3560,13543
42,420-430,1,1082,382,916,-1,-1,3560,13543
43,430-440,2,1084,382,916,-1,-1,3561,13543
44,440-450,0,1084,382,916,-1,-1,3561,13543
45,450-460,0,1084,382,916,-1,-1,3561,13543
46,460-470,1,1085,382,916,-1,-1,3561,13543
47,470-480,2,1087,382,916,-1,-1,3561,13543
48,480-490,0,1087,382,916,-1,-1,3561,13543
49,490-500,0,1087,382,916,-1,-1,3561,13543
50,500-510,1,1088,382,916,-1,-1,3561,13543
51,510-520,0,1088,382,916,-1,-1,3561,13543
52,520-530,0,1088,382,916,-1,-1,3561,13543
53,530-540,2,1090,382,916,-1,-1,3561,13543
54,540-550,0,1090,382,916,-1,-1,3561,13543
55,550-560,1,1091,382,916,-1,-1,3561,13543
56,560-570,2,1093,382,916,-1,-1,3561,13543
57,570-580,1,1094,382,916,-1,-1,3561,13543
58,580-590,0,1094,382,916,-1,-1,3561,13543
59,590-600,1,1095,382,916,-1,-1,3561,13543
60,600-610,0,1095,382,916,-1,-1,3561,13543
61,610-620,0,1095,382,916,-1,-1,3561,13543
62,620-630,2,1097,382,916,-1,-1,3562,13543
63,630-640,1,1098,382,916,-1,-1,3562,13543
64,640-650,0,1098,382,916,-1,-1,3562,13543
65,650-660,0,1098,382,916,-1,-1,3562,13543
66,660-670,0,1098,382,916,-1,-1,3562,13543
67,670-680,1,1099,382,916,-1,-1,3562,13543
68,680-690,2,1101,382,916,-1,-1,3562,13543
69,690-700,0,1101,382,916,-1,-1,3562,13543
70,700-710,1,1102,382,916,-1,-1,3562,13543
71,710-720,0,1102,382,916,-1,-1,3562,13543
72,720-730,2,1104,382,916,-1,-1,3562,13543
73,730-740,1,1105,382,916,-1,-1,3562,13543
74,740-750,1,1106,382,916,-1,-1,3562,13543
75,750-760,0,1106,382,916,-1,-1,3562,13543
76,760-770,1,1107,382,916,-1,-1,3562,13543
77,770-780,1,1108,382,916,-1,-1,3562,13543
78,780-790,2,1110,382,916,-1,-1,3562,13543
79,790-800,1,1111,382,916,-1,-1,3562,13543
80,800-810,2,1113,382,916,-1,-1,3562,13543
81,810-820,2,1115,382,916,-1,-1,3562,13543
82,820-830,1,1116,382,916,-1,-1,3562,13543
83,830-840,0,1116,382,916,-1,-1,3562,13543
84,840-850,0,1116,382,916,-1,-1,3562,13543
85,850-860,2,1118,382,916,-1,-1,3562,13543
86,860-870,0,1118,382,916,-1,-1,3562,13543
87,870-880,0,1118,382,916,-1,-1,3562,13543
88,880-890,2,1120,382,916,-1,-1,3562,13543
89,890-900,3,1123,382,916,-1,-1,3562,13543
90,900-910,1,1124,382,916,-1,-1,3562,13543
91,910-920,2,1126,382,916,-1,-1,3562,13543
92,920-930,0,1126,382,916,-1,-1,3562,13543
93,930-940,1,1127,382,916,-1,-1,3562,13543
94,940-950,1,1128,382,916,-1,-1,3563,13543
95,950-960,1,1129,382,916,-1,-1,3563,13543
96,960-970,0,1129,382,916,-1,-1,3563,13543
97,970-980,2,1131,382,916,-1,-1,3563,13543
98,980-990,0,1131,382,916,-1,-1,3563,13543
99,990-1000,1,1132,382,916,-1,-1,3568,13543
100,1000-1010,100,1232,420,916,-1,-1,3969,13543
101,1010-1020,216,1448,451,916,-1,-1,4562,13543
