frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,421,421,255,960,3044,18407,1393,10653
1, 10- 20,202,623,325,960,3886,18407,1867,10653
2, 20- 30,68,691,332,960,4062,18407,1938,10653
3, 30- 40,23,714,339,960,4114,18407,1952,10653
4, 40- 50,66,780,367,960,4385,18407,2044,10653
5, 50- 60,45,825,371,960,4455,18407,2087,10653
6, 60- 70,43,868,374,960,4523,18407,2114,10653
7, 70- 80,6,874,376,960,4544,18407,2121,10653
8, 80- 90,18,892,378,960,4566,18407,2128,10653
9, 90-100,5,897,378,960,4566,18407,2128,10653
10,100-110,7,904,378,960,4566,18407,2128,10653
11,110-120,4,908,378,960,4566,18407,2128,10653
12,120-130,2,910,378,960,4566,18407,2128,10653
13,130-140,1,911,378,960,4566,18407,2128,10653
14,140-150,3,914,378,960,4566,18407,2128,10653
15,150-160,49,963,379,960,4635,18407,2222,10653
16,160-170,0,963,379,960,4635,18407,2222,10653
17,170-180,67,1030,383,960,4755,18407,2298,10653
18,180-190,6,1036,383,960,4755,18407,2298,10653
19,190-200,3,1039,383,960,4755,18407,2298,10653
20,200-210,0,1039,383,960,4755,18407,2298,10653
21,210-220,1,1040,383,960,4755,18407,2298,10653
22,220-230,1,1041,383,960,4755,18407,2298,10653
23,230-240,0,1041,383,960,4755,18407,2298,10653
24,240-250,1,1042,383,960,4755,18407,2298,10653
25,250-260,5,1047,383,960,4757,18407,2300,10653
26,260-270,0,1047,383,960,4757,18407,2300,10653
27,270-280,0,1047,383,960,4757,18407,2300,10653
28,280-290,1,1048,383,960,4758,18407,2302,10653
29,290-300,4,1052,383,960,4758,18407,2302,10653
30,300-310,79,1131,390,960,4916,18407,2415,10653
31,310-320,9,1140,390,960,4932,18407,2422,10653
32,320-330,1,1141,390,960,4932,18407,2422,10653
33,330-340,2,1143,390,960,4932,18407,2422,10653
34,340-350,0,1143,390,960,4932,18407,2422,10653
35,350-360,0,1143,390,960,4932,18407,2422,10653
36,360-370,0,1143,390,960,4932,18407,2422,10653
37,370-380,9,1152,391,960,4945,18407,2430,10653
38,380-390,0,1152,391,960,4945,18407,2430,10653
39,390-400,0,1152,391,960,4945,18407,2430,10653
40,400-410,1,1153,391,960,4945,18407,2430,10653
41,410-420,1,1154,391,960,4945,18407,2430,10653
42,420-430,1,1155,391,960,4945,18407,2430,10653
43,430-440,0,1155,391,960,4945,18407,2430,10653
44,440-450,0,1155,391,960,4945,18407,2430,10653
45,450-460,0,1155,391,960,4945,18407,2430,10653
46,460-470,1,1156,391,960,4945,18407,2430,10653
47,470-480,5,1161,391,960,4945,18407,2430,10653
48,480-490,0,1161,391,960,4945,18407,2430,10653
49,490-500,1,1162,391,960,4945,18407,2430,10653
50,500-510,0,1162,391,960,4945,18407,2430,10653
51,510-520,1,1163,391,960,4945,18407,2430,10653
52,520-530,7,1170,391,960,4945,18407,2430,10653
53,530-540,0,1170,391,960,4945,18407,2430,10653
54,540-550,1,1171,391,960,4945,18407,2430,10653
55,550-560,0,1171,391,960,4945,18407,2430,10653
56,560-570,0,1171,391,960,4945,18407,2430,10653
57,570-580,0,1171,391,960,4945,18407,2430,10653
58,580-590,1,1172,391,960,4946,18407,2431,10653
59,590-600,1,1173,391,960,4946,18407,2431,10653
60,600-610,0,1173,391,960,4946,18407,2431,10653
61,610-620,0,1173,391,960,4946,18407,2431,10653
62,620-630,0,1173,391,960,4946,18407,2431,10653
63,630-640,4,1177,391,960,4946,18407,2431,10653
64,640-650,1,1178,391,960,4946,18407,2431,10653
65,650-660,5,1183,391,960,4946,18407,2431,10653
66,660-670,0,1183,391,960,4946,18407,2431,10653
67,670-680,0,1183,391,960,4946,18407,2431,10653
68,680-690,0,1183,391,960,4946,18407,2431,10653
69,690-700,2,1185,391,960,4946,18407,2431,10653
70,700-710,2,1187,391,960,4946,18407,2431,10653
71,710-720,1,1188,391,960,4946,18407,2431,10653
72,720-730,1,1189,391,960,4946,18407,2431,10653
73,730-740,2,1191,391,960,4946,18407,2431,10653
74,740-750,1,1192,391,960,4947,18407,2432,10653
75,750-760,2,1194,391,960,4947,18407,2432,10653
76,760-770,1,1195,391,960,4947,18407,2432,10653
77,770-780,0,1195,391,960,4947,18407,2432,10653
78,780-790,0,1195,391,960,4947,18407,2432,10653
79,790-800,2,1197,391,960,4947,18407,2432,10653
80,800-810,1,1198,391,960,4947,18407,2432,10653
81,810-820,1,1199,391,960,4947,18407,2432,10653
82,820-830,2,1201,391,960,4947,18407,2432,10653
83,830-840,1,1202,393,960,4958,18407,2436,10653
84,840-850,0,1202,393,960,4958,18407,2436,10653
85,850-860,0,1202,393,960,4958,18407,2436,10653
86,860-870,0,1202,393,960,4958,18407,2436,10653
87,870-880,2,1204,393,960,4958,18407,2436,10653
88,880-890,0,1204,393,960,4958,18407,2436,10653
89,890-900,5,1209,394,960,4992,18407,2454,10653
90,900-910,0,1209,394,960,4992,18407,2454,10653
91,910-920,1,1210,394,960,4992,18407,2454,10653
92,920-930,3,1213,394,960,4995,18407,2457,10653
93,930-940,16,1229,399,960,5074,18407,2493,10653
94,940-950,6,1235,399,960,5078,18407,2496,10653
95,950-960,1,1236,399,960,5078,18407,2496,10653
96,960-970,0,1236,399,960,5078,18407,2496,10653
97,970-980,1,1237,399,960,5078,18407,2496,10653
98,980-990,1,1238,399,960,5078,18407,2496,10653
99,990-1000,3,1241,399,960,5078,18407,2496,10653
100,1000-1010,1,1242,399,960,5078,18407,2496,10653
101,1010-1020,1,1243,399,960,5078,18407,2496,10653
102,1020-1030,3,1246,399,960,5078,18407,2496,10653
103,1030-1040,3,1249,399,960,5082,18407,2499,10653
104,1040-1050,3,1252,399,960,5082,18407,2502,10653
105,1050-1060,260,1512,468,960,6503,18407,3149,10653
106,1060-1070,186,1698,469,960,6550,18407,3188,10653
107,1070-1080,98,1796,469,960,6570,18407,3201,10653
108,1080-1090,28,1824,469,960,6573,18407,3204,10653
109,1090-1100,11,1835,469,960,6574,18407,3206,10653
110,1100-1110,15,1850,469,960,6574,18407,3206,10653
111,1110-1120,12,1862,469,960,6574,18407,3206,10653
112,1120-1130,31,1893,469,960,6574,18407,3207,10653
113,1130-1140,10,1903,471,960,6583,18407,3209,10653
114,1140-1150,13,1916,471,960,6583,18407,3209,10653
115,1150-1160,9,1925,471,960,6587,18407,3213,10653
116,1160-1170,8,1933,471,960,6594,18407,3216,10653
117,1170-1180,53,1986,471,960,6594,18407,3221,10653
118,1180-1190,18,2004,471,960,6605,18407,3227,10653
119,1190-1200,479,2483,541,960,7874,18407,3727,10653
120,1200-1210,203,2686,541,960,7922,18407,3771,10653
121,1210-1220,55,2741,542,960,7939,18407,3782,10653
122,1220-1230,26,2767,542,960,7939,18407,3782,10653
123,1230-1240,18,2785,542,960,7939,18407,3782,10653
124,1240-1250,15,2800,542,960,7942,18407,3784,10653
125,1250-1260,7,2807,542,960,7945,18407,3786,10653
126,1260-1270,44,2851,542,960,7945,18407,3786,10653
127,1270-1280,99,2950,545,960,8000,18407,3805,10653
128,1280-1290,39,2989,545,960,8004,18407,3808,10653
129,1290-1300,13,3002,545,960,8006,18407,3809,10653
130,1300-1310,12,3014,545,960,8007,18407,3810,10653
131,1310-1320,7,3021,545,960,8007,18407,3810,10653
132,1320-1330,4,3025,545,960,8007,18407,3810,10653
133,1330-1340,14,3039,546,960,8031,18407,3819,10653
134,1340-1350,6,3045,546,960,8031,18407,3819,10653
135,1350-1360,4,3049,546,960,8031,18407,3819,10653
136,1360-1370,6,3055,546,960,8031,18407,3819,10653
137,1370-1380,26,3081,546,960,8032,18407,3820,10653
138,1380-1390,10,3091,546,960,8032,18407,3820,10653
139,1390-1400,11,3102,546,960,8040,18407,3822,10653
140,1400-1410,3,3105,546,960,8040,18407,3822,10653
141,1410-1420,4,3109,546,960,8040,18407,3822,10653
142,1420-1430,4,3113,546,960,8041,18407,3825,10653
143,1430-1440,2,3115,546,960,8041,18407,3825,10653
