frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,877,877,300,1074,4311,17878,2076,12798
1, 10- 20,375,1252,300,1074,4371,17878,2116,12798
2, 20- 30,129,1381,300,1074,4371,17878,2116,12798
3, 30- 40,43,1424,300,1074,4371,17878,2117,12798
4, 40- 50,46,1470,300,1074,4371,17878,2117,12798
5, 50- 60,23,1493,300,1074,4371,17878,2117,12798
6, 60- 70,23,1516,300,1074,4372,17878,2119,12798
7, 70- 80,7,1523,300,1074,4372,17878,2119,12798
8, 80- 90,25,1548,300,1074,4372,17878,2119,12798
9, 90-100,14,1562,300,1074,4372,17878,2119,12798
10,100-110,3,1565,300,1074,4372,17878,2119,12798
11,110-120,11,1576,300,1074,4372,17878,2119,12798
12,120-130,11,1587,300,1074,4372,17878,2119,12798
13,130-140,4,1591,300,1074,4372,17878,2119,12798
14,140-150,9,1600,300,1074,4372,17878,2119,12798
15,150-160,9,1609,300,1074,4372,17878,2119,12798
16,160-170,5,1614,300,1074,4374,17878,2123,12798
17,170-180,4,1618,300,1074,4374,17878,2123,12798
18,180-190,41,1659,303,1074,4529,17878,2240,12798
19,190-200,18,1677,304,1074,4544,17878,2250,12798
20,200-210,22,1699,304,1074,4547,17878,2259,12798
21,210-220,10,1709,304,1074,4547,17878,2261,12798
22,220-230,8,1717,304,1074,4547,17878,2261,12798
23,230-240,106,1823,315,1074,4764,17878,2397,12798
24,240-250,88,1911,324,1074,5016,17878,2574,12798
25,250-260,47,1958,326,1074,5082,17878,2630,12798
26,260-270,42,2000,326,1074,5094,17878,2644,12798
27,270-280,33,2033,326,1074,5094,17878,2644,12798
28,280-290,15,2048,326,1074,5094,17878,2646,12798
29,290-300,18,2066,326,1074,5098,17878,2651,12798
30,300-310,15,2081,326,1074,5098,17878,2651,12798
31,310-320,18,2099,326,1074,5098,17878,2651,12798
32,320-330,4,2103,326,1074,5098,17878,2651,12798
33,330-340,4,2107,326,1074,5098,17878,2651,12798
34,340-350,5,2112,326,1074,5098,17878,2651,12798
35,350-360,12,2124,326,1074,5098,17878,2649,12798
36,360-370,5,2129,326,1074,5098,17878,2651,12798
37,370-380,1,2130,326,1074,5098,17878,2651,12798
38,380-390,1,2131,326,1074,5098,17878,2651,12798
39,390-400,2,2133,326,1074,5098,17878,2651,12798
40,400-410,2,2135,326,1074,5098,17878,2651,12798
41,410-420,1,2136,326,1074,5098,17878,2651,12798
42,420-430,4,2140,326,1074,5101,17878,2651,12798
43,430-440,1,2141,326,1074,5101,17878,2651,12798
44,440-450,2,2143,326,1074,5101,17878,2651,12798
45,450-460,2,2145,326,1074,5101,17878,2651,12798
46,460-470,3,2148,326,1074,5101,17878,2651,12798
47,470-480,1,2149,326,1074,5101,17878,2651,12798
48,480-490,1,2150,326,1074,5101,17878,2651,12798
49,490-500,2,2152,326,1074,5101,17878,2651,12798
50,500-510,0,2152,326,1074,5101,17878,2651,12798
51,510-520,2,2154,326,1074,5101,17878,2651,12798
52,520-530,2,2156,326,1074,5102,17878,2653,12798
53,530-540,2,2158,326,1074,5104,17878,2655,12798
54,540-550,1,2159,326,1074,5104,17878,2655,12798
55,550-560,14,2173,326,1074,5109,17878,2666,12798
56,560-570,1,2174,326,1074,5109,17878,2666,12798
57,570-580,1,2175,326,1074,5109,17878,2667,12798
58,580-590,1,2176,326,1074,5109,17878,2667,12798
59,590-600,13,2189,327,1074,5119,17878,2676,12798
60,600-610,6,2195,327,1074,5121,17878,2682,12798
61,610-620,13,2208,327,1074,5143,17878,2698,12798
62,620-630,8,2216,327,1074,5144,17878,2700,12798
63,630-640,9,2225,327,1074,5144,17878,2701,12798
64,640-650,5,2230,327,1074,5144,17878,2701,12798
65,650-660,4,2234,327,1074,5144,17878,2701,12798
66,660-670,1,2235,327,1074,5145,17878,2702,12798
67,670-680,3,2238,327,1074,5145,17878,2702,12798
68,680-690,3,2241,327,1074,5145,17878,2703,12798
69,690-700,23,2264,327,1074,5145,17878,2703,12798
70,700-710,6,2270,327,1074,5145,17878,2703,12798
71,710-720,4,2274,327,1074,5145,17878,2703,12798
72,720-730,4,2278,327,1074,5145,17878,2703,12798
73,730-740,0,2278,327,1074,5145,17878,2703,12798
74,740-750,0,2278,327,1074,5145,17878,2703,12798
75,750-760,1,2279,327,1074,5145,17878,2703,12798
76,760-770,2,2281,327,1074,5145,17878,2703,12798
77,770-780,0,2281,327,1074,5145,17878,2703,12798
78,780-790,1,2282,327,1074,5145,17878,2703,12798
79,790-800,0,2282,327,1074,5145,17878,2703,12798
80,800-810,1,2283,327,1074,5145,17878,2703,12798
81,810-820,0,2283,327,1074,5145,17878,2703,12798
82,820-830,0,2283,327,1074,5145,17878,2703,12798
83,830-840,4,2287,327,1074,5145,17878,2703,12798
84,840-850,0,2287,327,1074,5145,17878,2703,12798
85,850-860,0,2287,327,1074,5145,17878,2703,12798
86,860-870,1,2288,327,1074,5145,17878,2703,12798
87,870-880,0,2288,327,1074,5145,17878,2703,12798
88,880-890,1,2289,327,1074,5145,17878,2703,12798
89,890-900,0,2289,327,1074,5145,17878,2703,12798
90,900-910,0,2289,327,1074,5145,17878,2703,12798
91,910-920,1,2290,327,1074,5145,17878,2703,12798
92,920-930,6,2296,327,1074,5145,17878,2703,12798
93,930-940,1,2297,327,1074,5145,17878,2703,12798
94,940-950,0,2297,327,1074,5145,17878,2703,12798
95,950-960,0,2297,327,1074,5145,17878,2703,12798
96,960-970,6,2303,327,1074,5145,17878,2703,12798
97,970-980,0,2303,327,1074,5145,17878,2703,12798
98,980-990,0,2303,327,1074,5145,17878,2703,12798
99,990-1000,1,2304,327,1074,5145,17878,2703,12798
100,1000-1010,1,2305,327,1074,5145,17878,2703,12798
101,1010-1020,4,2309,327,1074,5145,17878,2703,12798
102,1020-1030,1,2310,327,1074,5145,17878,2703,12798
103,1030-1040,0,2310,327,1074,5145,17878,2703,12798
104,1040-1050,0,2310,327,1074,5145,17878,2703,12798
105,1050-1060,1,2311,327,1074,5145,17878,2703,12798
106,1060-1070,0,2311,327,1074,5145,17878,2703,12798
107,1070-1080,0,2311,327,1074,5145,17878,2703,12798
108,1080-1090,0,2311,327,1074,5145,17878,2703,12798
109,1090-1100,1,2312,327,1074,5145,17878,2703,12798
110,1100-1110,1,2313,327,1074,5145,17878,2703,12798
111,1110-1120,0,2313,327,1074,5145,17878,2703,12798
112,1120-1130,1,2314,327,1074,5145,17878,2703,12798
113,1130-1140,0,2314,327,1074,5145,17878,2703,12798
114,1140-1150,0,2314,327,1074,5145,17878,2703,12798
115,1150-1160,1,2315,327,1074,5145,17878,2703,12798
116,1160-1170,0,2315,327,1074,5145,17878,2703,12798
117,1170-1180,1,2316,327,1074,5145,17878,2703,12798
118,1180-1190,1,2317,327,1074,5145,17878,2703,12798
119,1190-1200,0,2317,327,1074,5145,17878,2703,12798
120,1200-1210,0,2317,327,1074,5145,17878,2703,12798
121,1210-1220,1,2318,327,1074,5145,17878,2703,12798
122,1220-1230,0,2318,327,1074,5145,17878,2703,12798
123,1230-1240,0,2318,327,1074,5145,17878,2703,12798
124,1240-1250,1,2319,327,1074,5145,17878,2703,12798
125,1250-1260,0,2319,327,1074,5145,17878,2703,12798
126,1260-1270,2,2321,327,1074,5145,17878,2703,12798
127,1270-1280,0,2321,327,1074,5145,17878,2703,12798
128,1280-1290,0,2321,327,1074,5145,17878,2703,12798
129,1290-1300,0,2321,327,1074,5145,17878,2703,12798
130,1300-1310,1,2322,327,1074,5145,17878,2703,12798
131,1310-1320,1,2323,327,1074,5145,17878,2703,12798
132,1320-1330,2,2325,327,1074,5145,17878,2703,12798
133,1330-1340,2,2327,327,1074,5145,17878,2703,12798
134,1340-1350,2,2329,327,1074,5150,17878,2707,12798
135,1350-1360,2,2331,327,1074,5150,17878,2707,12798
136,1360-1370,2,2333,327,1074,5150,17878,2707,12798
137,1370-1380,1,2334,327,1074,5150,17878,2707,12798
138,1380-1390,0,2334,327,1074,5150,17878,2707,12798
139,1390-1400,0,2334,327,1074,5150,17878,2707,12798
140,1400-1410,0,2334,327,1074,5150,17878,2707,12798
141,1410-1420,0,2334,327,1074,5150,17878,2707,12798
142,1420-1430,2,2336,327,1074,5150,17878,2707,12798
143,1430-1440,0,2336,327,1074,5150,17878,2707,12798
