frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,916,916,300,981,-1,-1,3269,15607
1, 10- 20,347,1263,302,981,-1,-1,3313,15607
2, 20- 30,115,1378,303,981,-1,-1,3326,15607
3, 30- 40,65,1443,303,981,-1,-1,3326,15607
4, 40- 50,41,1484,303,981,-1,-1,3326,15607
5, 50- 60,23,1507,303,981,-1,-1,3326,15607
6, 60- 70,43,1550,303,981,-1,-1,3326,15607
7, 70- 80,24,1574,303,981,-1,-1,3326,15607
8, 80- 90,26,1600,303,981,-1,-1,3330,15607
9, 90-100,12,1612,303,981,-1,-1,3330,15607
10,100-110,27,1639,303,981,-1,-1,3334,15607
11,110-120,18,1657,303,981,-1,-1,3334,15607
12,120-130,7,1664,303,981,-1,-1,3334,15607
13,130-140,11,1675,303,981,-1,-1,3337,15607
14,140-150,129,1804,315,981,-1,-1,3608,15607
15,150-160,27,1831,315,981,-1,-1,3608,15607
16,160-170,14,1845,315,981,-1,-1,3611,15607
17,170-180,17,1862,315,981,-1,-1,3616,15607
18,180-190,18,1880,315,981,-1,-1,3616,15607
19,190-200,14,1894,315,981,-1,-1,3616,15607
20,200-210,2,1896,315,981,-1,-1,3616,15607
21,210-220,6,1902,315,981,-1,-1,3616,15607
22,220-230,18,1920,315,981,-1,-1,3627,15607
23,230-240,7,1927,315,981,-1,-1,3627,15607
24,240-250,35,1962,317,981,-1,-1,3682,15607
25,250-260,47,2009,317,981,-1,-1,3686,15607
26,260-270,17,2026,317,981,-1,-1,3686,15607
27,270-280,10,2036,317,981,-1,-1,3691,15607
28,280-290,10,2046,317,981,-1,-1,3692,15607
29,290-300,6,2052,317,981,-1,-1,3692,15607
30,300-310,18,2070,320,981,-1,-1,3756,15607
31,310-320,22,2092,320,981,-1,-1,3757,15607
32,320-330,27,2119,320,981,-1,-1,3757,15607
33,330-340,13,2132,320,981,-1,-1,3758,15607
34,340-350,8,2140,320,981,-1,-1,3758,15607
35,350-360,30,2170,320,981,-1,-1,3766,15607
36,360-370,3,2173,320,981,-1,-1,3766,15607
37,370-380,5,2178,320,981,-1,-1,3766,15607
38,380-390,1,2179,320,981,-1,-1,3766,15607
39,390-400,4,2183,320,981,-1,-1,3766,15607
40,400-410,5,2188,320,981,-1,-1,3766,15607
41,410-420,2,2190,320,981,-1,-1,3766,15607
42,420-430,4,2194,320,981,-1,-1,3766,15607
43,430-440,0,2194,320,981,-1,-1,3766,15607
44,440-450,0,2194,320,981,-1,-1,3766,15607
45,450-460,1,2195,320,981,-1,-1,3766,15607
46,460-470,3,2198,320,981,-1,-1,3766,15607
47,470-480,1,2199,320,981,-1,-1,3766,15607
48,480-490,0,2199,320,981,-1,-1,3766,15607
49,490-500,0,2199,320,981,-1,-1,3766,15607
50,500-510,2,2201,320,981,-1,-1,3766,15607
51,510-520,2,2203,320,981,-1,-1,3766,15607
52,520-530,2,2205,320,981,-1,-1,3767,15607
53,530-540,1,2206,320,981,-1,-1,3767,15607
54,540-550,1,2207,320,981,-1,-1,3768,15607
55,550-560,1,2208,320,981,-1,-1,3768,15607
56,560-570,0,2208,320,981,-1,-1,3768,15607
57,570-580,10,2218,320,981,-1,-1,3769,15607
58,580-590,2,2220,320,981,-1,-1,3770,15607
59,590-600,7,2227,320,981,-1,-1,3770,15607
60,600-610,2,2229,320,981,-1,-1,3771,15607
61,610-620,4,2233,320,981,-1,-1,3771,15607
62,620-630,5,2238,320,981,-1,-1,3773,15607
63,630-640,3,2241,320,981,-1,-1,3773,15607
64,640-650,60,2301,325,981,-1,-1,3931,15607
65,650-660,6,2307,325,981,-1,-1,3931,15607
66,660-670,2,2309,325,981,-1,-1,3931,15607
67,670-680,1,2310,325,981,-1,-1,3931,15607
68,680-690,16,2326,325,981,-1,-1,3947,15607
69,690-700,12,2338,325,981,-1,-1,3947,15607
70,700-710,2,2340,325,981,-1,-1,3947,15607
71,710-720,1,2341,325,981,-1,-1,3947,15607
72,720-730,0,2341,325,981,-1,-1,3947,15607
73,730-740,2,2343,325,981,-1,-1,3947,15607
74,740-750,0,2343,325,981,-1,-1,3947,15607
75,750-760,2,2345,325,981,-1,-1,3947,15607
76,760-770,1,2346,325,981,-1,-1,3948,15607
77,770-780,3,2349,325,981,-1,-1,3948,15607
78,780-790,1,2350,325,981,-1,-1,3948,15607
79,790-800,3,2353,325,981,-1,-1,3948,15607
80,800-810,6,2359,326,981,-1,-1,3963,15607
81,810-820,0,2359,326,981,-1,-1,3963,15607
82,820-830,1,2360,326,981,-1,-1,3963,15607
83,830-840,7,2367,326,981,-1,-1,3976,15607
84,840-850,6,2373,326,981,-1,-1,3978,15607
85,850-860,6,2379,326,981,-1,-1,3978,15607
86,860-870,1,2380,326,981,-1,-1,3981,15607
87,870-880,1,2381,326,981,-1,-1,3981,15607
88,880-890,0,2381,326,981,-1,-1,3981,15607
89,890-900,3,2384,326,981,-1,-1,3981,15607
90,900-910,3,2387,326,981,-1,-1,3982,15607
91,910-920,0,2387,326,981,-1,-1,3982,15607
92,920-930,1,2388,326,981,-1,-1,3982,15607
93,930-940,0,2388,326,981,-1,-1,3982,15607
94,940-950,0,2388,326,981,-1,-1,3982,15607
95,950-960,2,2390,326,981,-1,-1,3982,15607
96,960-970,0,2390,326,981,-1,-1,3982,15607
97,970-980,0,2390,326,981,-1,-1,3982,15607
98,980-990,2,2392,326,981,-1,-1,3982,15607
99,990-1000,0,2392,326,981,-1,-1,3982,15607
100,1000-1010,0,2392,326,981,-1,-1,3982,15607
101,1010-1020,0,2392,326,981,-1,-1,3982,15607
102,1020-1030,2,2394,326,981,-1,-1,3982,15607
103,1030-1040,0,2394,326,981,-1,-1,3982,15607
104,1040-1050,0,2394,326,981,-1,-1,3982,15607
105,1050-1060,1,2395,326,981,-1,-1,3982,15607
106,1060-1070,1,2396,326,981,-1,-1,3982,15607
107,1070-1080,5,2401,326,981,-1,-1,3982,15607
108,1080-1090,14,2415,327,981,-1,-1,3986,15607
109,1090-1100,2,2417,327,981,-1,-1,3986,15607
110,1100-1110,2,2419,327,981,-1,-1,3986,15607
111,1110-1120,0,2419,327,981,-1,-1,3986,15607
112,1120-1130,1,2420,327,981,-1,-1,3986,15607
113,1130-1140,0,2420,327,981,-1,-1,3986,15607
114,1140-1150,4,2424,327,981,-1,-1,3986,15607
115,1150-1160,1,2425,327,981,-1,-1,3986,15607
116,1160-1170,2,2427,327,981,-1,-1,3986,15607
117,1170-1180,1,2428,327,981,-1,-1,3986,15607
118,1180-1190,6,2434,328,981,-1,-1,4010,15607
119,1190-1200,6,2440,328,981,-1,-1,4010,15607
120,1200-1210,5,2445,328,981,-1,-1,4010,15607
121,1210-1220,4,2449,328,981,-1,-1,4010,15607
122,1220-1230,5,2454,328,981,-1,-1,4026,15607
123,1230-1240,12,2466,328,981,-1,-1,4026,15607
124,1240-1250,5,2471,328,981,-1,-1,4033,15607
125,1250-1260,5,2476,328,981,-1,-1,4037,15607
126,1260-1270,4,2480,328,981,-1,-1,4037,15607
127,1270-1280,2,2482,328,981,-1,-1,4037,15607
128,1280-1290,3,2485,328,981,-1,-1,4037,15607
129,1290-1300,2,2487,328,981,-1,-1,4037,15607
130,1300-1310,1,2488,328,981,-1,-1,4037,15607
131,1310-1320,0,2488,328,981,-1,-1,4037,15607
132,1320-1330,2,2490,328,981,-1,-1,4037,15607
133,1330-1340,1,2491,328,981,-1,-1,4037,15607
134,1340-1350,7,2498,328,981,-1,-1,4037,15607
135,1350-1360,0,2498,328,981,-1,-1,4037,15607
136,1360-1370,1,2499,328,981,-1,-1,4037,15607
137,1370-1380,2,2501,328,981,-1,-1,4037,15607
138,1380-1390,0,2501,328,981,-1,-1,4037,15607
139,1390-1400,1,2502,328,981,-1,-1,4037,15607
140,1400-1410,0,2502,328,981,-1,-1,4037,15607
141,1410-1420,1,2503,328,981,-1,-1,4037,15607
142,1420-1430,1,2504,328,981,-1,-1,4037,15607
143,1430-1440,0,2504,328,981,-1,-1,4037,15607
