frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1910,1910,461,1092,7320,25232,3582,13809
1, 10- 20,1547,3457,488,1092,8488,25232,4326,13809
2, 20- 30,1121,4578,493,1092,8794,25232,4599,13809
3, 30- 40,661,5239,493,1092,8855,25232,4671,13809
4, 40- 50,444,5683,494,1092,9023,25232,4782,13809
5, 50- 60,221,5904,495,1092,9056,25232,4797,13809
6, 60- 70,176,6080,495,1092,9114,25232,4840,13809
7, 70- 80,244,6324,495,1092,9181,25232,4892,13809
8, 80- 90,179,6503,495,1092,9189,25232,4900,13809
9, 90-100,98,6601,495,1092,9210,25232,4923,13809
10,100-110,125,6726,495,1092,9212,25232,4924,13809
11,110-120,100,6826,495,1092,9219,25232,4930,13809
12,120-130,94,6920,495,1092,9236,25232,4944,13809
13,130-140,110,7030,495,1092,9236,25232,4944,13809
14,140-150,140,7170,499,1092,9353,25232,5035,13809
15,150-160,69,7239,499,1092,9364,25232,5044,13809
16,160-170,82,7321,499,1092,9377,25232,5053,13809
17,170-180,58,7379,499,1092,9380,25232,5059,13809
18,180-190,44,7423,499,1092,9387,25232,5062,13809
19,190-200,58,7481,499,1092,9394,25232,5070,13809
20,200-210,41,7522,499,1092,9394,25232,5071,13809
21,210-220,100,7622,499,1092,9396,25232,5073,13809
22,220-230,82,7704,499,1092,9398,25232,5078,13809
23,230-240,116,7820,501,1092,9445,25232,5100,13809
24,240-250,70,7890,501,1092,9447,25232,5101,13809
25,250-260,117,8007,501,1092,9447,25232,5103,13809
26,260-270,69,8076,501,1092,9449,25232,5104,13809
27,270-280,59,8135,501,1092,9449,25232,5104,13809
28,280-290,63,8198,507,1092,9494,25232,5121,13809
29,290-300,55,8253,507,1092,9500,25232,5125,13809
30,300-310,36,8289,507,1092,9500,25232,5125,13809
31,310-320,45,8334,507,1092,9506,25232,5130,13809
32,320-330,48,8382,507,1092,9506,25232,5131,13809
33,330-340,63,8445,507,1092,9509,25232,5133,13809
34,340-350,56,8501,507,1092,9512,25232,5136,13809
35,350-360,40,8541,507,1092,9520,25232,5143,13809
36,360-370,40,8581,507,1092,9523,25232,5145,13809
37,370-380,49,8630,507,1092,9523,25232,5145,13809
38,380-390,37,8667,507,1092,9523,25232,5145,13809
39,390-400,73,8740,507,1092,9526,25232,5147,13809
40,400-410,54,8794,507,1092,9534,25232,5152,13809
41,410-420,37,8831,507,1092,9534,25232,5154,13809
42,420-430,34,8865,507,1092,9542,25232,5159,13809
43,430-440,35,8900,507,1092,9542,25232,5159,13809
44,440-450,54,8954,507,1092,9542,25232,5159,13809
45,450-460,48,9002,516,1092,9714,25232,5231,13809
46,460-470,102,9104,517,1092,9766,25232,5271,13809
47,470-480,68,9172,517,1092,9771,25232,5278,13809
48,480-490,38,9210,517,1092,9772,25232,5279,13809
49,490-500,15,9225,517,1092,9772,25232,5279,13809
50,500-510,41,9266,517,1092,9777,25232,5285,13809
51,510-520,28,9294,517,1092,9778,25232,5288,13809
52,520-530,22,9316,517,1092,9778,25232,5288,13809
53,530-540,25,9341,517,1092,9781,25232,5290,13809
54,540-550,22,9363,517,1092,9781,25232,5290,13809
55,550-560,14,9377,517,1092,9781,25232,5290,13809
56,560-570,32,9409,517,1092,9781,25232,5292,13809
57,570-580,26,9435,517,1092,9794,25232,5300,13809
58,580-590,28,9463,517,1092,9802,25232,5308,13809
59,590-600,19,9482,517,1092,9802,25232,5308,13809
60,600-610,23,9505,517,1092,9802,25232,5308,13809
61,610-620,15,9520,517,1092,9803,25232,5309,13809
62,620-630,10,9530,517,1092,9803,25232,5309,13809
63,630-640,52,9582,517,1092,9809,25232,5316,13809
64,640-650,20,9602,517,1092,9810,25232,5318,13809
65,650-660,18,9620,517,1092,9810,25232,5319,13809
66,660-670,19,9639,517,1092,9810,25232,5319,13809
67,670-680,29,9668,517,1092,9813,25232,5321,13809
68,680-690,19,9687,517,1092,9815,25232,5323,13809
69,690-700,19,9706,517,1092,9815,25232,5323,13809
70,700-710,10,9716,517,1092,9815,25232,5323,13809
71,710-720,23,9739,517,1092,9815,25232,5323,13809
72,720-730,7,9746,517,1092,9822,25232,5327,13809
73,730-740,46,9792,517,1092,9837,25232,5346,13809
74,740-750,19,9811,517,1092,9840,25232,5349,13809
75,750-760,23,9834,517,1092,9841,25232,5352,13809
76,760-770,23,9857,517,1092,9842,25232,5353,13809
77,770-780,26,9883,517,1092,9845,25232,5355,13809
