frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1932,1932,413,12019,7333,247808,4184,169111
1, 10- 20,1300,3232,512,12019,9512,247808,5307,169111
2, 20- 30,589,3821,528,12019,9994,247808,5626,169111
3, 30- 40,216,4037,532,12019,10072,247808,5666,169111
4, 40- 50,105,4142,532,12019,10081,247808,5682,169111
5, 50- 60,128,4270,532,12019,10106,247808,5707,169111
6, 60- 70,68,4338,534,12019,10168,247808,5725,169111
7, 70- 80,80,4418,537,12019,10234,247808,5757,169111
8, 80- 90,49,4467,537,12019,10258,247808,5777,169111
9, 90-100,58,4525,538,12019,10272,247808,5792,169111
10,100-110,65,4590,539,12019,10304,247808,5812,169111
11,110-120,83,4673,540,12019,10362,247808,5857,169111
12,120-130,92,4765,540,12019,10374,247808,5863,169111
13,130-140,63,4828,540,12019,10393,247808,5878,169111
14,140-150,45,4873,541,12019,10412,247808,5894,169111
15,150-160,59,4932,541,12019,10433,247808,5902,169111
16,160-170,61,4993,541,12019,10458,247808,5919,169111
17,170-180,59,5052,543,12019,10480,247808,5934,169111
18,180-190,56,5108,543,12019,10485,247808,5941,169111
19,190-200,55,5163,543,12019,10509,247808,5962,169111
20,200-210,56,5219,543,12019,10513,247808,5967,169111
21,210-220,43,5262,543,12019,10528,247808,5977,169111
22,220-230,48,5310,543,12019,10528,247808,5980,169111
23,230-240,43,5353,543,12019,10529,247808,5981,169111
24,240-250,38,5391,543,12019,10542,247808,5990,169111
25,250-260,33,5424,543,12019,10542,247808,5991,169111
26,260-270,57,5481,543,12019,10543,247808,5999,169111
27,270-280,17,5498,543,12019,10545,247808,6001,169111
28,280-290,38,5536,544,12019,10571,247808,6016,169111
29,290-300,26,5562,544,12019,10572,247808,6018,169111
30,300-310,16,5578,544,12019,10580,247808,6020,169111
31,310-320,23,5601,544,12019,10580,247808,6025,169111
32,320-330,16,5617,544,12019,10580,247808,6026,169111
33,330-340,15,5632,544,12019,10580,247808,6026,169111
34,340-350,18,5650,544,12019,10581,247808,6028,169111
35,350-360,10,5660,544,12019,10582,247808,6028,169111
36,360-370,14,5674,547,12019,10633,247808,6049,169111
37,370-380,27,5701,549,12019,10685,247808,6077,169111
38,380-390,19,5720,549,12019,10691,247808,6085,169111
39,390-400,14,5734,549,12019,10692,247808,6087,169111
40,400-410,50,5784,564,12019,11047,247808,6211,169111
41,410-420,36,5820,564,12019,11081,247808,6234,169111
42,420-430,42,5862,564,12019,11083,247808,6238,169111
43,430-440,23,5885,564,12019,11091,247808,6246,169111
44,440-450,21,5906,565,12019,11104,247808,6254,169111
45,450-460,16,5922,565,12019,11104,247808,6255,169111
46,460-470,44,5966,565,12019,11114,247808,6263,169111
47,470-480,8,5974,565,12019,11127,247808,6267,169111
48,480-490,8,5982,566,12019,11132,247808,6269,169111
49,490-500,13,5995,566,12019,11132,247808,6270,169111
50,500-510,7,6002,566,12019,11132,247808,6271,169111
51,510-520,19,6021,566,12019,11142,247808,6287,169111
52,520-530,30,6051,566,12019,11164,247808,6310,169111
53,530-540,20,6071,566,12019,11169,247808,6312,169111
54,540-550,13,6084,566,12019,11169,247808,6313,169111
55,550-560,22,6106,566,12019,11176,247808,6319,169111
56,560-570,21,6127,566,12019,11177,247808,6322,169111
57,570-580,9,6136,566,12019,11177,247808,6323,169111
58,580-590,15,6151,566,12019,11182,247808,6328,169111
