frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1560,1560,235,12019,4932,247808,2918,169111
1, 10- 20,1253,2813,306,12019,6723,247808,4179,169111
2, 20- 30,1085,3898,323,12019,7824,247808,5092,169111
3, 30- 40,1323,5221,336,12019,8815,247808,5982,169111
4, 40- 50,731,5952,346,12019,9503,247808,6534,169111
5, 50- 60,643,6595,350,12019,10013,247808,6974,169111
6, 60- 70,642,7237,351,12019,10303,247808,7239,169111
7, 70- 80,644,7881,351,12019,10599,247808,7546,169111
8, 80- 90,447,8328,352,12019,10797,247808,7718,169111
9, 90-100,306,8634,352,12019,10971,247808,7866,169111
10,100-110,208,8842,352,12019,11035,247808,7928,169111
11,110-120,425,9267,353,12019,11250,247808,8119,169111
12,120-130,244,9511,353,12019,11308,247808,8158,169111
13,130-140,257,9768,353,12019,11394,247808,8244,169111
14,140-150,282,10050,353,12019,11478,247808,8316,169111
15,150-160,112,10162,353,12019,11506,247808,8332,169111
16,160-170,156,10318,353,12019,11534,247808,8359,169111
17,170-180,204,10522,354,12019,11626,247808,8434,169111
18,180-190,124,10646,355,12019,11709,247808,8488,169111
19,190-200,127,10773,355,12019,11717,247808,8498,169111
20,200-210,156,10929,356,12019,11739,247808,8518,169111
21,210-220,269,11198,358,12019,11860,247808,8616,169111
22,220-230,241,11439,358,12019,11882,247808,8641,169111
23,230-240,167,11606,358,12019,11890,247808,8652,169111
24,240-250,296,11902,358,12019,11931,247808,8684,169111
25,250-260,658,12560,358,12019,11935,247808,8689,169111
26,260-270,87,12647,358,12019,11936,247808,8692,169111
27,270-280,180,12827,358,12019,11963,247808,8719,169111
28,280-290,190,13017,358,12019,12007,247808,8751,169111
29,290-300,198,13215,358,12019,12014,247808,8761,169111
30,300-310,140,13355,358,12019,12014,247808,8761,169111
31,310-320,106,13461,358,12019,12020,247808,8769,169111
32,320-330,89,13550,358,12019,12026,247808,8777,169111
33,330-340,234,13784,358,12019,12026,247808,8787,169111
34,340-350,95,13879,358,12019,12026,247808,8787,169111
35,350-360,121,14000,358,12019,12052,247808,8807,169111
36,360-370,62,14062,358,12019,12060,247808,8813,169111
37,370-380,48,14110,358,12019,12067,247808,8818,169111
38,380-390,51,14161,358,12019,12069,247808,8819,169111
39,390-400,43,14204,358,12019,12071,247808,8822,169111
40,400-410,70,14274,358,12019,12079,247808,8828,169111
41,410-420,13,14287,358,12019,12087,247808,8833,169111
42,420-430,62,14349,358,12019,12096,247808,8841,169111
43,430-440,49,14398,358,12019,12098,247808,8843,169111
44,440-450,14,14412,358,12019,12099,247808,8844,169111
45,450-460,30,14442,358,12019,12099,247808,8845,169111
46,460-470,34,14476,358,12019,12109,247808,8851,169111
47,470-480,27,14503,359,12019,12127,247808,8860,169111
48,480-490,42,14545,359,12019,12136,247808,8869,169111
49,490-500,46,14591,359,12019,12136,247808,8869,169111
50,500-510,61,14652,359,12019,12142,247808,8873,169111
51,510-520,132,14784,359,12019,12162,247808,8884,169111
52,520-530,68,14852,359,12019,12165,247808,8889,169111
53,530-540,59,14911,359,12019,12171,247808,8894,169111
