frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1654,1654,268,1542,-1,-1,4417,37837
1, 10- 20,1241,2895,311,1542,-1,-1,5450,37837
2, 20- 30,1330,4225,342,1542,-1,-1,6678,37837
3, 30- 40,958,5183,344,1542,-1,-1,7313,37837
4, 40- 50,789,5972,346,1542,-1,-1,7838,37837
5, 50- 60,542,6514,348,1542,-1,-1,8125,37837
6, 60- 70,658,7172,352,1542,-1,-1,8640,37837
7, 70- 80,527,7699,352,1542,-1,-1,8870,37837
8, 80- 90,609,8308,353,1542,-1,-1,9105,37837
9, 90-100,275,8583,354,1542,-1,-1,9212,37837
10,100-110,270,8853,354,1542,-1,-1,9365,37837
11,110-120,335,9188,356,1542,-1,-1,9478,37837
12,120-130,287,9475,357,1542,-1,-1,9607,37837
13,130-140,364,9839,357,1542,-1,-1,9782,37837
14,140-150,154,9993,357,1542,-1,-1,9816,37837
15,150-160,232,10225,357,1542,-1,-1,9835,37837
16,160-170,156,10381,357,1542,-1,-1,9843,37837
17,170-180,128,10509,357,1542,-1,-1,9865,37837
18,180-190,190,10699,357,1542,-1,-1,9880,37837
19,190-200,132,10831,357,1542,-1,-1,9887,37837
20,200-210,214,11045,359,1542,-1,-1,9948,37837
21,210-220,129,11174,359,1542,-1,-1,9973,37837
22,220-230,119,11293,359,1542,-1,-1,9979,37837
23,230-240,133,11426,359,1542,-1,-1,9983,37837
24,240-250,538,11964,360,1542,-1,-1,10032,37837
25,250-260,306,12270,360,1542,-1,-1,10072,37837
26,260-270,430,12700,361,1542,-1,-1,10121,37837
27,270-280,125,12825,361,1542,-1,-1,10137,37837
28,280-290,129,12954,361,1542,-1,-1,10146,37837
29,290-300,113,13067,361,1542,-1,-1,10155,37837
30,300-310,146,13213,361,1542,-1,-1,10171,37837
31,310-320,150,13363,361,1542,-1,-1,10209,37837
32,320-330,87,13450,361,1542,-1,-1,10217,37837
33,330-340,77,13527,361,1542,-1,-1,10222,37837
34,340-350,1556,15083,362,1542,-1,-1,10246,37837
35,350-360,2815,17898,362,1542,-1,-1,10247,37837
36,360-370,2058,19956,362,1542,-1,-1,10251,37837
37,370-380,1569,21525,362,1542,-1,-1,10251,37837
38,380-390,1607,23132,362,1542,-1,-1,10260,37837
39,390-400,1530,24662,362,1542,-1,-1,10261,37837
40,400-410,2159,26821,362,1542,-1,-1,10261,37837
41,410-420,855,27676,363,1542,-1,-1,10274,37837
42,420-430,575,28251,363,1542,-1,-1,10289,37837
43,430-440,475,28726,363,1542,-1,-1,10292,37837
44,440-450,260,28986,363,1542,-1,-1,10302,37837
45,450-460,189,29175,363,1542,-1,-1,10302,37837
46,460-470,170,29345,363,1542,-1,-1,10303,37837
47,470-480,109,29454,363,1542,-1,-1,10310,37837
48,480-490,60,29514,363,1542,-1,-1,10313,37837
49,490-500,102,29616,364,1542,-1,-1,10329,37837
50,500-510,148,29764,364,1542,-1,-1,10344,37837
51,510-520,46,29810,364,1542,-1,-1,10363,37837
52,520-530,63,29873,364,1542,-1,-1,10363,37837
53,530-540,96,29969,364,1542,-1,-1,10386,37837
54,540-550,12,29981,364,1542,-1,-1,10386,37837
55,550-560,97,30078,364,1542,-1,-1,10387,37837
56,560-570,39,30117,364,1542,-1,-1,10387,37837
57,570-580,47,30164,364,1542,-1,-1,10395,37837
58,580-590,46,30210,364,1542,-1,-1,10415,37837
59,590-600,90,30300,364,1542,-1,-1,10424,37837
60,600-610,75,30375,364,1542,-1,-1,10472,37837
61,610-620,57,30432,364,1542,-1,-1,10472,37837
62,620-630,61,30493,364,1542,-1,-1,10476,37837
63,630-640,57,30550,364,1542,-1,-1,10478,37837
64,640-650,31,30581,364,1542,-1,-1,10483,37837
65,650-660,27,30608,364,1542,-1,-1,10489,37837
66,660-670,45,30653,364,1542,-1,-1,10493,37837
67,670-680,10,30663,364,1542,-1,-1,10493,37837
68,680-690,45,30708,364,1542,-1,-1,10497,37837
69,690-700,39,30747,364,1542,-1,-1,10499,37837
70,700-710,40,30787,364,1542,-1,-1,10505,37837
71,710-720,39,30826,364,1542,-1,-1,10505,37837
72,720-730,31,30857,364,1542,-1,-1,10507,37837
73,730-740,7,30864,364,1542,-1,-1,10507,37837
74,740-750,12,30876,364,1542,-1,-1,10507,37837
75,750-760,24,30900,364,1542,-1,-1,10508,37837
76,760-770,72,30972,364,1542,-1,-1,10540,37837
77,770-780,59,31031,364,1542,-1,-1,10540,37837
78,780-790,43,31074,364,1542,-1,-1,10542,37837
79,790-800,20,31094,364,1542,-1,-1,10542,37837
80,800-810,31,31125,364,1542,-1,-1,10543,37837
81,810-820,16,31141,364,1542,-1,-1,10543,37837
82,820-830,10,31151,364,1542,-1,-1,10543,37837
83,830-840,18,31169,364,1542,-1,-1,10546,37837
84,840-850,30,31199,364,1542,-1,-1,10546,37837
85,850-860,32,31231,364,1542,-1,-1,10553,37837
86,860-870,9,31240,364,1542,-1,-1,10553,37837
87,870-880,59,31299,364,1542,-1,-1,10554,37837
88,880-890,31,31330,364,1542,-1,-1,10554,37837
89,890-900,18,31348,364,1542,-1,-1,10554,37837
90,900-910,22,31370,364,1542,-1,-1,10554,37837
91,910-920,22,31392,364,1542,-1,-1,10554,37837
92,920-930,17,31409,364,1542,-1,-1,10555,37837
93,930-940,19,31428,364,1542,-1,-1,10555,37837
94,940-950,17,31445,364,1542,-1,-1,10555,37837
95,950-960,22,31467,364,1542,-1,-1,10556,37837
96,960-970,19,31486,364,1542,-1,-1,10557,37837
97,970-980,24,31510,364,1542,-1,-1,10558,37837
98,980-990,16,31526,364,1542,-1,-1,10558,37837
99,990-1000,18,31544,364,1542,-1,-1,10558,37837
100,1000-1010,20,31564,364,1542,-1,-1,10559,37837
101,1010-1020,12,31576,364,1542,-1,-1,10560,37837
102,1020-1030,9,31585,364,1542,-1,-1,10560,37837
103,1030-1040,8,31593,364,1542,-1,-1,10560,37837
104,1040-1050,14,31607,364,1542,-1,-1,10560,37837
105,1050-1060,28,31635,364,1542,-1,-1,10561,37837
106,1060-1070,17,31652,364,1542,-1,-1,10562,37837
107,1070-1080,8,31660,364,1542,-1,-1,10562,37837
108,1080-1090,88,31748,364,1542,-1,-1,10578,37837
109,1090-1100,29,31777,364,1542,-1,-1,10578,37837
110,1100-1110,31,31808,364,1542,-1,-1,10578,37837
111,1110-1120,54,31862,364,1542,-1,-1,10583,37837
112,1120-1130,31,31893,364,1542,-1,-1,10584,37837
113,1130-1140,25,31918,364,1542,-1,-1,10584,37837
114,1140-1150,41,31959,364,1542,-1,-1,10584,37837
115,1150-1160,31,31990,364,1542,-1,-1,10584,37837
116,1160-1170,21,32011,364,1542,-1,-1,10584,37837
117,1170-1180,32,32043,364,1542,-1,-1,10584,37837
118,1180-1190,38,32081,364,1542,-1,-1,10584,37837
119,1190-1200,126,32207,364,1542,-1,-1,10586,37837
120,1200-1210,27,32234,364,1542,-1,-1,10586,37837
121,1210-1220,25,32259,364,1542,-1,-1,10586,37837
122,1220-1230,32,32291,364,1542,-1,-1,10588,37837
123,1230-1240,20,32311,364,1542,-1,-1,10588,37837
124,1240-1250,31,32342,364,1542,-1,-1,10588,37837
125,1250-1260,21,32363,364,1542,-1,-1,10588,37837
126,1260-1270,20,32383,364,1542,-1,-1,10588,37837
127,1270-1280,21,32404,364,1542,-1,-1,10589,37837
128,1280-1290,65,32469,364,1542,-1,-1,10631,37837
129,1290-1300,26,32495,364,1542,-1,-1,10631,37837
130,1300-1310,28,32523,364,1542,-1,-1,10631,37837
131,1310-1320,33,32556,364,1542,-1,-1,10640,37837
132,1320-1330,16,32572,364,1542,-1,-1,10640,37837
133,1330-1340,62,32634,364,1542,-1,-1,10642,37837
134,1340-1350,10,32644,364,1542,-1,-1,10642,37837
135,1350-1360,19,32663,364,1542,-1,-1,10643,37837
136,1360-1370,23,32686,364,1542,-1,-1,10643,37837
137,1370-1380,11,32697,364,1542,-1,-1,10643,37837
138,1380-1390,13,32710,364,1542,-1,-1,10643,37837
139,1390-1400,18,32728,364,1542,-1,-1,10643,37837
140,1400-1410,14,32742,364,1542,-1,-1,10643,37837
141,1410-1420,15,32757,364,1542,-1,-1,10644,37837
142,1420-1430,11,32768,364,1542,-1,-1,10644,37837
143,1430-1440,15,32783,364,1542,-1,-1,10644,37837
