frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1001,1001,342,1342,6353,40329,3291,24471
1, 10- 20,676,1677,359,1342,7146,40329,3996,24471
2, 20- 30,206,1883,363,1342,7279,40329,4077,24471
3, 30- 40,144,2027,365,1342,7353,40329,4144,24471
4, 40- 50,101,2128,369,1342,7441,40329,4206,24471
5, 50- 60,128,2256,371,1342,7509,40329,4249,24471
6, 60- 70,50,2306,371,1342,7517,40329,4256,24471
7, 70- 80,64,2370,373,1342,7616,40329,4320,24471
8, 80- 90,46,2416,373,1342,7643,40329,4344,24471
9, 90-100,63,2479,373,1342,7659,40329,4361,24471
10,100-110,66,2545,373,1342,7702,40329,4389,24471
11,110-120,73,2618,383,1342,7785,40329,4421,24471
12,120-130,80,2698,384,1342,7829,40329,4451,24471
13,130-140,71,2769,385,1342,7892,40329,4480,24471
14,140-150,23,2792,385,1342,7900,40329,4487,24471
15,150-160,107,2899,385,1342,7976,40329,4529,24471
16,160-170,30,2929,385,1342,8000,40329,4540,24471
17,170-180,31,2960,385,1342,8081,40329,4592,24471
18,180-190,23,2983,385,1342,8105,40329,4616,24471
19,190-200,34,3017,385,1342,8132,40329,4633,24471
20,200-210,14,3031,385,1342,8144,40329,4640,24471
21,210-220,41,3072,389,1342,8243,40329,4691,24471
22,220-230,79,3151,394,1342,8379,40329,4757,24471
23,230-240,201,3352,403,1342,8624,40329,4885,24471
24,240-250,167,3519,404,1342,8715,40329,4948,24471
25,250-260,79,3598,404,1342,8776,40329,4992,24471
26,260-270,23,3621,404,1342,8789,40329,5006,24471
27,270-280,52,3673,404,1342,8817,40329,5025,24471
28,280-290,16,3689,404,1342,8820,40329,5026,24471
29,290-300,135,3824,404,1342,8962,40329,5118,24471
30,300-310,29,3853,407,1342,9034,40329,5138,24471
31,310-320,40,3893,408,1342,9068,40329,5157,24471
32,320-330,40,3933,408,1342,9104,40329,5180,24471
33,330-340,22,3955,408,1342,9104,40329,5180,24471
34,340-350,29,3984,408,1342,9125,40329,5188,24471
35,350-360,43,4027,408,1342,9161,40329,5218,24471
36,360-370,28,4055,408,1342,9176,40329,5227,24471
37,370-380,16,4071,408,1342,9176,40329,5227,24471
38,380-390,17,4088,408,1342,9178,40329,5229,24471
39,390-400,22,4110,408,1342,9190,40329,5235,24471
40,400-410,20,4130,411,1342,9236,40329,5248,24471
41,410-420,16,4146,411,1342,9244,40329,5253,24471
42,420-430,10,4156,411,1342,9249,40329,5255,24471
43,430-440,16,4172,412,1342,9252,40329,5254,24471
44,440-450,10,4182,412,1342,9252,40329,5254,24471
45,450-460,8,4190,412,1342,9253,40329,5257,24471
46,460-470,7,4197,412,1342,9253,40329,5257,24471
47,470-480,22,4219,413,1342,9264,40329,5262,24471
48,480-490,3,4222,413,1342,9264,40329,5262,24471
49,490-500,11,4233,413,1342,9266,40329,5263,24471
50,500-510,6,4239,413,1342,9267,40329,5264,24471
51,510-520,9,4248,413,1342,9267,40329,5264,24471
52,520-530,16,4264,419,1342,9409,40329,5298,24471
53,530-540,16,4280,419,1342,9417,40329,5306,24471
54,540-550,25,4305,421,1342,9459,40329,5331,24471
55,550-560,19,4324,421,1342,9477,40329,5332,24471
56,560-570,24,4348,421,1342,9517,40329,5360,24471
57,570-580,9,4357,423,1342,9615,40329,5388,24471
58,580-590,9,4366,423,1342,9619,40329,5396,24471
59,590-600,9,4375,423,1342,9620,40329,5397,24471
60,600-610,13,4388,423,1342,9620,40329,5397,24471
61,610-620,10,4398,423,1342,9625,40329,5400,24471
62,620-630,6,4404,423,1342,9632,40329,5402,24471
63,630-640,15,4419,423,1342,9635,40329,5406,24471
64,640-650,38,4457,429,1342,9765,40329,5471,24471
65,650-660,26,4483,429,1342,9769,40329,5473,24471
66,660-670,3,4486,429,1342,9769,40329,5474,24471
67,670-680,6,4492,429,1342,9769,40329,5474,24471
