frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1098,1098,347,1003,-1,-1,5444,21287
1, 10- 20,661,1759,360,1003,-1,-1,6434,21287
2, 20- 30,283,2042,368,1003,-1,-1,6636,21287
3, 30- 40,115,2157,369,1003,-1,-1,6698,21287
4, 40- 50,120,2277,370,1003,-1,-1,6752,21287
5, 50- 60,67,2344,371,1003,-1,-1,6875,21287
6, 60- 70,95,2439,371,1003,-1,-1,6902,21287
7, 70- 80,64,2503,373,1003,-1,-1,6956,21287
8, 80- 90,79,2582,374,1003,-1,-1,6982,21287
9, 90-100,65,2647,384,1003,-1,-1,7079,21287
10,100-110,58,2705,384,1003,-1,-1,7123,21287
11,110-120,42,2747,384,1003,-1,-1,7158,21287
12,120-130,64,2811,384,1003,-1,-1,7181,21287
13,130-140,106,2917,384,1003,-1,-1,7212,21287
14,140-150,76,2993,385,1003,-1,-1,7241,21287
15,150-160,44,3037,386,1003,-1,-1,7283,21287
16,160-170,38,3075,386,1003,-1,-1,7299,21287
17,170-180,42,3117,386,1003,-1,-1,7314,21287
18,180-190,44,3161,386,1003,-1,-1,7335,21287
19,190-200,56,3217,386,1003,-1,-1,7344,21287
20,200-210,51,3268,386,1003,-1,-1,7360,21287
21,210-220,50,3318,386,1003,-1,-1,7367,21287
22,220-230,62,3380,386,1003,-1,-1,7413,21287
23,230-240,30,3410,386,1003,-1,-1,7418,21287
24,240-250,36,3446,386,1003,-1,-1,7428,21287
25,250-260,107,3553,386,1003,-1,-1,7478,21287
26,260-270,53,3606,386,1003,-1,-1,7493,21287
27,270-280,31,3637,386,1003,-1,-1,7509,21287
28,280-290,15,3652,386,1003,-1,-1,7509,21287
29,290-300,10,3662,386,1003,-1,-1,7511,21287
30,300-310,46,3708,390,1003,-1,-1,7529,21287
31,310-320,15,3723,390,1003,-1,-1,7531,21287
32,320-330,25,3748,390,1003,-1,-1,7538,21287
33,330-340,21,3769,390,1003,-1,-1,7548,21287
34,340-350,17,3786,390,1003,-1,-1,7558,21287
35,350-360,13,3799,390,1003,-1,-1,7561,21287
36,360-370,18,3817,390,1003,-1,-1,7567,21287
37,370-380,10,3827,390,1003,-1,-1,7573,21287
38,380-390,25,3852,390,1003,-1,-1,7581,21287
39,390-400,20,3872,390,1003,-1,-1,7589,21287
