frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,448,448,234,889,-1,-1,2925,17735
1, 10- 20,253,701,288,889,-1,-1,3718,17735
2, 20- 30,242,943,300,889,-1,-1,4105,17735
3, 30- 40,119,1062,302,889,-1,-1,4202,17735
4, 40- 50,126,1188,306,889,-1,-1,4677,17735
5, 50- 60,439,1627,307,889,-1,-1,4864,17735
6, 60- 70,79,1706,308,889,-1,-1,4905,17735
7, 70- 80,127,1833,309,889,-1,-1,4983,17735
8, 80- 90,48,1881,312,889,-1,-1,5048,17735
9, 90-100,37,1918,312,889,-1,-1,5072,17735
10,100-110,92,2010,312,889,-1,-1,5144,17735
11,110-120,98,2108,313,889,-1,-1,5212,17735
12,120-130,12,2120,313,889,-1,-1,5214,17735
13,130-140,33,2153,315,889,-1,-1,5232,17735
14,140-150,34,2187,315,889,-1,-1,5259,17735
15,150-160,32,2219,315,889,-1,-1,5296,17735
16,160-170,31,2250,317,889,-1,-1,5312,17735
17,170-180,18,2268,317,889,-1,-1,5314,17735
18,180-190,28,2296,320,889,-1,-1,5366,17735
19,190-200,27,2323,320,889,-1,-1,5376,17735
20,200-210,29,2352,320,889,-1,-1,5387,17735
21,210-220,30,2382,320,889,-1,-1,5413,17735
22,220-230,14,2396,320,889,-1,-1,5455,17735
23,230-240,22,2418,320,889,-1,-1,5476,17735
24,240-250,17,2435,320,889,-1,-1,5482,17735
25,250-260,16,2451,320,889,-1,-1,5485,17735
26,260-270,15,2466,336,889,-1,-1,5583,17735
27,270-280,18,2484,336,889,-1,-1,5598,17735
28,280-290,20,2504,336,889,-1,-1,5615,17735
29,290-300,10,2514,336,889,-1,-1,5620,17735
30,300-310,21,2535,337,889,-1,-1,5653,17735
31,310-320,7,2542,337,889,-1,-1,5670,17735
32,320-330,14,2556,337,889,-1,-1,5670,17735
33,330-340,11,2567,337,889,-1,-1,5678,17735
34,340-350,17,2584,337,889,-1,-1,5684,17735
35,350-360,13,2597,339,889,-1,-1,5694,17735
36,360-370,35,2632,339,889,-1,-1,5714,17735
37,370-380,5,2637,339,889,-1,-1,5717,17735
38,380-390,11,2648,339,889,-1,-1,5722,17735
39,390-400,6,2654,339,889,-1,-1,5722,17735
40,400-410,7,2661,340,889,-1,-1,5743,17735
41,410-420,27,2688,341,889,-1,-1,5777,17735
42,420-430,25,2713,341,889,-1,-1,5784,17735
43,430-440,14,2727,341,889,-1,-1,5789,17735
44,440-450,69,2796,346,889,-1,-1,5875,17735
45,450-460,5,2801,346,889,-1,-1,5876,17735
46,460-470,107,2908,348,889,-1,-1,5962,17735
47,470-480,16,2924,348,889,-1,-1,5972,17735
48,480-490,16,2940,348,889,-1,-1,5975,17735
49,490-500,18,2958,348,889,-1,-1,5983,17735
50,500-510,56,3014,349,889,-1,-1,6027,17735
51,510-520,13,3027,349,889,-1,-1,6035,17735
52,520-530,4,3031,349,889,-1,-1,6038,17735
53,530-540,10,3041,349,889,-1,-1,6048,17735
54,540-550,13,3054,359,889,-1,-1,6153,17735
55,550-560,5,3059,359,889,-1,-1,6157,17735
56,560-570,17,3076,361,889,-1,-1,6190,17735
57,570-580,5,3081,361,889,-1,-1,6190,17735
58,580-590,8,3089,361,889,-1,-1,6195,17735
59,590-600,10,3099,361,889,-1,-1,6201,17735
60,600-610,4,3103,362,889,-1,-1,6205,17735
61,610-620,14,3117,362,889,-1,-1,6207,17735
62,620-630,9,3126,362,889,-1,-1,6209,17735
63,630-640,0,3126,362,889,-1,-1,6209,17735
64,640-650,3,3129,362,889,-1,-1,6211,17735
65,650-660,1,3130,362,889,-1,-1,6211,17735
66,660-670,2,3132,362,889,-1,-1,6211,17735
67,670-680,9,3141,362,889,-1,-1,6215,17735
68,680-690,8,3149,362,889,-1,-1,6216,17735
69,690-700,5,3154,362,889,-1,-1,6217,17735
70,700-710,2,3156,362,889,-1,-1,6217,17735
71,710-720,7,3163,362,889,-1,-1,6223,17735
72,720-730,3,3166,362,889,-1,-1,6226,17735
73,730-740,1,3167,362,889,-1,-1,6227,17735
74,740-750,14,3181,362,889,-1,-1,6241,17735
75,750-760,3,3184,362,889,-1,-1,6241,17735
76,760-770,4,3188,362,889,-1,-1,6246,17735
77,770-780,8,3196,362,889,-1,-1,6246,17735
78,780-790,18,3214,362,889,-1,-1,6254,17735
79,790-800,28,3242,362,889,-1,-1,6254,17735
80,800-810,110,3352,362,889,-1,-1,6274,17735
81,810-820,45,3397,363,889,-1,-1,6299,17735
82,820-830,30,3427,363,889,-1,-1,6301,17735
83,830-840,4,3431,363,889,-1,-1,6304,17735
84,840-850,4,3435,363,889,-1,-1,6304,17735
85,850-860,3,3438,363,889,-1,-1,6304,17735
86,860-870,6,3444,363,889,-1,-1,6304,17735
87,870-880,5,3449,363,889,-1,-1,6304,17735
88,880-890,2,3451,363,889,-1,-1,6304,17735
89,890-900,3,3454,363,889,-1,-1,6304,17735
90,900-910,2,3456,363,889,-1,-1,6304,17735
91,910-920,5,3461,363,889,-1,-1,6304,17735
92,920-930,6,3467,363,889,-1,-1,6305,17735
93,930-940,2,3469,363,889,-1,-1,6305,17735
94,940-950,6,3475,363,889,-1,-1,6309,17735
95,950-960,4,3479,363,889,-1,-1,6309,17735
96,960-970,23,3502,363,889,-1,-1,6310,17735
97,970-980,3,3505,363,889,-1,-1,6310,17735
98,980-990,0,3505,363,889,-1,-1,6310,17735
99,990-1000,0,3505,363,889,-1,-1,6310,17735
100,1000-1010,0,3505,363,889,-1,-1,6310,17735
101,1010-1020,2,3507,363,889,-1,-1,6310,17735
102,1020-1030,3,3510,363,889,-1,-1,6310,17735
103,1030-1040,6,3516,363,889,-1,-1,6310,17735
104,1040-1050,3,3519,363,889,-1,-1,6313,17735
105,1050-1060,0,3519,363,889,-1,-1,6313,17735
106,1060-1070,5,3524,363,889,-1,-1,6313,17735
107,1070-1080,1,3525,363,889,-1,-1,6318,17735
108,1080-1090,0,3525,363,889,-1,-1,6318,17735
109,1090-1100,13,3538,363,889,-1,-1,6318,17735
110,1100-1110,0,3538,363,889,-1,-1,6318,17735
111,1110-1120,0,3538,363,889,-1,-1,6318,17735
112,1120-1130,3,3541,363,889,-1,-1,6318,17735
113,1130-1140,2,3543,363,889,-1,-1,6318,17735
114,1140-1150,1,3544,363,889,-1,-1,6318,17735
115,1150-1160,2,3546,363,889,-1,-1,6318,17735
116,1160-1170,3,3549,363,889,-1,-1,6321,17735
117,1170-1180,2,3551,363,889,-1,-1,6321,17735
118,1180-1190,5,3556,363,889,-1,-1,6326,17735
119,1190-1200,3,3559,363,889,-1,-1,6326,17735
120,1200-1210,0,3559,363,889,-1,-1,6326,17735
121,1210-1220,1,3560,363,889,-1,-1,6332,17735
122,1220-1230,1,3561,363,889,-1,-1,6332,17735
123,1230-1240,3,3564,363,889,-1,-1,6332,17735
124,1240-1250,2,3566,363,889,-1,-1,6338,17735
125,1250-1260,2,3568,363,889,-1,-1,6338,17735
126,1260-1270,1,3569,363,889,-1,-1,6338,17735
127,1270-1280,3,3572,363,889,-1,-1,6338,17735
128,1280-1290,1,3573,363,889,-1,-1,6338,17735
129,1290-1300,0,3573,363,889,-1,-1,6338,17735
130,1300-1310,0,3573,363,889,-1,-1,6338,17735
131,1310-1320,0,3573,363,889,-1,-1,6338,17735
132,1320-1330,2,3575,363,889,-1,-1,6338,17735
133,1330-1340,11,3586,370,889,-1,-1,6371,17735
134,1340-1350,4,3590,370,889,-1,-1,6374,17735
135,1350-1360,11,3601,370,889,-1,-1,6374,17735
136,1360-1370,1,3602,370,889,-1,-1,6374,17735
137,1370-1380,5,3607,370,889,-1,-1,6374,17735
138,1380-1390,2,3609,370,889,-1,-1,6374,17735
139,1390-1400,1,3610,370,889,-1,-1,6374,17735
140,1400-1410,9,3619,370,889,-1,-1,6375,17735
141,1410-1420,0,3619,370,889,-1,-1,6375,17735
142,1420-1430,6,3625,370,889,-1,-1,6375,17735
143,1430-1440,0,3625,370,889,-1,-1,6375,17735
