frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,171,171,148,1342,2049,40329,999,24471
1, 10- 20,95,266,175,1342,2705,40329,1392,24471
2, 20- 30,270,536,261,1342,4241,40329,2115,24471
3, 30- 40,119,655,291,1342,4779,40329,2494,24471
4, 40- 50,45,700,293,1342,4826,40329,2523,24471
5, 50- 60,34,734,293,1342,4829,40329,2537,24471
6, 60- 70,36,770,293,1342,4833,40329,2541,24471
7, 70- 80,231,1001,301,1342,5192,40329,2778,24471
8, 80- 90,11,1012,301,1342,5195,40329,2787,24471
9, 90-100,8,1020,301,1342,5195,40329,2788,24471
10,100-110,89,1109,304,1342,5334,40329,2875,24471
11,110-120,48,1157,305,1342,5488,40329,2946,24471
12,120-130,29,1186,311,1342,5539,40329,2961,24471
13,130-140,30,1216,311,1342,5568,40329,2990,24471
14,140-150,43,1259,311,1342,5596,40329,3010,24471
15,150-160,7,1266,311,1342,5604,40329,3016,24471
16,160-170,8,1274,311,1342,5604,40329,3017,24471
17,170-180,17,1291,311,1342,5607,40329,3021,24471
18,180-190,12,1303,311,1342,5608,40329,3022,24471
19,190-200,8,1311,311,1342,5639,40329,3028,24471
20,200-210,10,1321,311,1342,5640,40329,3033,24471
21,210-220,20,1341,311,1342,5655,40329,3041,24471
22,220-230,15,1356,311,1342,5662,40329,3045,24471
23,230-240,3,1359,311,1342,5662,40329,3045,24471
24,240-250,44,1403,311,1342,5757,40329,3103,24471
25,250-260,32,1435,311,1342,5786,40329,3129,24471
26,260-270,23,1458,311,1342,5791,40329,3132,24471
27,270-280,37,1495,312,1342,5838,40329,3161,24471
28,280-290,32,1527,312,1342,5842,40329,3164,24471
29,290-300,20,1547,312,1342,5874,40329,3191,24471
30,300-310,20,1567,312,1342,5884,40329,3201,24471
31,310-320,25,1592,312,1342,5888,40329,3206,24471
32,320-330,6,1598,312,1342,5888,40329,3206,24471
33,330-340,25,1623,312,1342,5901,40329,3216,24471
34,340-350,0,1623,312,1342,5901,40329,3216,24471
35,350-360,44,1667,312,1342,5922,40329,3237,24471
36,360-370,58,1725,312,1342,6011,40329,3278,24471
37,370-380,40,1765,312,1342,6047,40329,3297,24471
38,380-390,11,1776,312,1342,6064,40329,3313,24471
39,390-400,12,1788,312,1342,6072,40329,3319,24471
40,400-410,40,1828,314,1342,6137,40329,3359,24471
41,410-420,33,1861,315,1342,6182,40329,3383,24471
42,420-430,16,1877,315,1342,6182,40329,3383,24471
43,430-440,135,2012,316,1342,6226,40329,3627,24471
44,440-450,140,2152,316,1342,6238,40329,3639,24471
45,450-460,13,2165,316,1342,6244,40329,3645,24471
46,460-470,15,2180,316,1342,6244,40329,3656,24471
47,470-480,8,2188,316,1342,6251,40329,3660,24471
48,480-490,4,2192,316,1342,6251,40329,3660,24471
49,490-500,0,2192,316,1342,6251,40329,3660,24471
50,500-510,5,2197,316,1342,6251,40329,3661,24471
51,510-520,10,2207,316,1342,6260,40329,3668,24471
52,520-530,9,2216,316,1342,6261,40329,3670,24471
53,530-540,14,2230,316,1342,6261,40329,3672,24471
54,540-550,6,2236,316,1342,6267,40329,3678,24471
55,550-560,7,2243,316,1342,6267,40329,3684,24471
56,560-570,8,2251,316,1342,6273,40329,3688,24471
57,570-580,5,2256,316,1342,6273,40329,3691,24471
58,580-590,19,2275,316,1342,6273,40329,3692,24471
59,590-600,6,2281,316,1342,6284,40329,3700,24471
60,600-610,13,2294,318,1342,6298,40329,3706,24471
61,610-620,4,2298,318,1342,6298,40329,3706,24471
62,620-630,18,2316,318,1342,6301,40329,3709,24471
63,630-640,4,2320,318,1342,6306,40329,3715,24471
64,640-650,7,2327,318,1342,6306,40329,3715,24471
65,650-660,12,2339,318,1342,6307,40329,3716,24471
66,660-670,1,2340,318,1342,6308,40329,3717,24471
67,670-680,2,2342,318,1342,6308,40329,3717,24471
68,680-690,12,2354,318,1342,6319,40329,3731,24471
69,690-700,8,2362,318,1342,6319,40329,3731,24471
70,700-710,3,2365,318,1342,6319,40329,3733,24471
71,710-720,2,2367,318,1342,6319,40329,3734,24471
72,720-730,10,2377,318,1342,6321,40329,3736,24471
73,730-740,4,2381,318,1342,6321,40329,3736,24471
74,740-750,6,2387,318,1342,6325,40329,3740,24471
75,750-760,1,2388,318,1342,6325,40329,3740,24471
76,760-770,5,2393,318,1342,6335,40329,3744,24471
77,770-780,0,2393,318,1342,6335,40329,3744,24471
78,780-790,6,2399,318,1342,6337,40329,3747,24471
79,790-800,0,2399,318,1342,6337,40329,3747,24471
80,800-810,1,2400,318,1342,6337,40329,3747,24471
81,810-820,4,2404,318,1342,6337,40329,3747,24471
82,820-830,0,2404,318,1342,6337,40329,3747,24471
83,830-840,6,2410,318,1342,6340,40329,3750,24471
84,840-850,3,2413,318,1342,6340,40329,3750,24471
85,850-860,6,2419,318,1342,6340,40329,3750,24471
86,860-870,3,2422,318,1342,6340,40329,3750,24471
87,870-880,3,2425,318,1342,6340,40329,3750,24471
88,880-890,9,2434,318,1342,6342,40329,3751,24471
89,890-900,10,2444,318,1342,6342,40329,3752,24471
90,900-910,4,2448,318,1342,6342,40329,3753,24471
91,910-920,3,2451,318,1342,6342,40329,3753,24471
92,920-930,7,2458,318,1342,6342,40329,3753,24471
93,930-940,8,2466,318,1342,6342,40329,3755,24471
94,940-950,10,2476,318,1342,6347,40329,3757,24471
95,950-960,3,2479,318,1342,6347,40329,3757,24471
96,960-970,5,2484,318,1342,6347,40329,3757,24471
97,970-980,13,2497,318,1342,6347,40329,3757,24471
98,980-990,4,2501,319,1342,6374,40329,3768,24471
99,990-1000,5,2506,319,1342,6374,40329,3768,24471
100,1000-1010,1,2507,319,1342,6374,40329,3768,24471
101,1010-1020,1,2508,319,1342,6374,40329,3768,24471
102,1020-1030,3,2511,319,1342,6374,40329,3768,24471
103,1030-1040,4,2515,319,1342,6374,40329,3768,24471
104,1040-1050,4,2519,319,1342,6380,40329,3772,24471
105,1050-1060,2,2521,319,1342,6380,40329,3772,24471
106,1060-1070,0,2521,319,1342,6380,40329,3772,24471
107,1070-1080,6,2527,319,1342,6380,40329,3772,24471
108,1080-1090,5,2532,319,1342,6380,40329,3774,24471
109,1090-1100,3,2535,319,1342,6380,40329,3774,24471
110,1100-1110,0,2535,319,1342,6380,40329,3774,24471
111,1110-1120,2,2537,319,1342,6381,40329,3775,24471
112,1120-1130,8,2545,319,1342,6381,40329,3775,24471
113,1130-1140,2,2547,319,1342,6381,40329,3775,24471
114,1140-1150,1,2548,319,1342,6381,40329,3775,24471
115,1150-1160,1,2549,319,1342,6381,40329,3775,24471
116,1160-1170,2,2551,319,1342,6381,40329,3775,24471
117,1170-1180,10,2561,319,1342,6381,40329,3775,24471
118,1180-1190,11,2572,319,1342,6381,40329,3775,24471
119,1190-1200,3,2575,319,1342,6381,40329,3776,24471
120,1200-1210,1,2576,319,1342,6381,40329,3776,24471
121,1210-1220,8,2584,319,1342,6393,40329,3783,24471
122,1220-1230,5,2589,319,1342,6393,40329,3783,24471
123,1230-1240,23,2612,319,1342,6393,40329,3783,24471
124,1240-1250,8,2620,319,1342,6393,40329,3783,24471
125,1250-1260,16,2636,319,1342,6395,40329,3785,24471
126,1260-1270,7,2643,319,1342,6395,40329,3785,24471
127,1270-1280,6,2649,319,1342,6395,40329,3785,24471
128,1280-1290,12,2661,319,1342,6424,40329,3810,24471
129,1290-1300,5,2666,319,1342,6430,40329,3812,24471
130,1300-1310,6,2672,319,1342,6436,40329,3823,24471
131,1310-1320,13,2685,319,1342,6437,40329,3824,24471
132,1320-1330,2,2687,319,1342,6439,40329,3825,24471
133,1330-1340,2,2689,319,1342,6439,40329,3825,24471
134,1340-1350,7,2696,319,1342,6441,40329,3826,24471
135,1350-1360,3,2699,319,1342,6441,40329,3826,24471
136,1360-1370,2,2701,319,1342,6441,40329,3827,24471
137,1370-1380,4,2705,319,1342,6441,40329,3828,24471
138,1380-1390,6,2711,319,1342,6441,40329,3829,24471
139,1390-1400,1,2712,319,1342,6441,40329,3829,24471
140,1400-1410,17,2729,320,1342,6486,40329,3852,24471
141,1410-1420,2,2731,320,1342,6487,40329,3853,24471
142,1420-1430,7,2738,320,1342,6492,40329,3857,24471
143,1430-1440,7,2745,320,1342,6492,40329,3857,24471
