frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1428,1428,316,2879,5259,74917,3065,56723
1, 10- 20,1023,2451,328,2879,5544,74917,3252,56723
2, 20- 30,258,2709,328,2879,5571,74917,3271,56723
3, 30- 40,234,2943,332,2879,5658,74917,3328,56723
4, 40- 50,237,3180,332,2879,5655,74917,3326,56723
5, 50- 60,120,3300,332,2879,5663,74917,3335,56723
6, 60- 70,98,3398,332,2879,5667,74917,3337,56723
7, 70- 80,51,3449,332,2879,5668,74917,3338,56723
8, 80- 90,45,3494,332,2879,5679,74917,3352,56723
9, 90-100,53,3547,332,2879,5679,74917,3354,56723
10,100-110,27,3574,332,2879,5679,74917,3356,56723
11,110-120,30,3604,332,2879,5679,74917,3358,56723
12,120-130,19,3623,332,2879,5682,74917,3364,56723
13,130-140,18,3641,332,2879,5682,74917,3366,56723
14,140-150,33,3674,332,2879,5682,74917,3374,56723
15,150-160,10,3684,332,2879,5682,74917,3374,56723
16,160-170,14,3698,332,2879,5682,74917,3374,56723
17,170-180,14,3712,332,2879,5682,74917,3376,56723
18,180-190,6,3718,332,2879,5682,74917,3376,56723
19,190-200,27,3745,332,2879,5729,74917,3421,56723
20,200-210,10,3755,332,2879,5729,74917,3422,56723
21,210-220,11,3766,332,2879,5733,74917,3426,56723
22,220-230,14,3780,332,2879,5733,74917,3428,56723
23,230-240,10,3790,332,2879,5735,74917,3429,56723
24,240-250,10,3800,332,2879,5735,74917,3430,56723
25,250-260,2,3802,332,2879,5735,74917,3430,56723
26,260-270,7,3809,332,2879,5735,74917,3430,56723
27,270-280,5,3814,332,2879,5735,74917,3430,56723
28,280-290,0,3814,332,2879,5735,74917,3430,56723
29,290-300,2,3816,332,2879,5735,74917,3432,56723
30,300-310,3,3819,332,2879,5735,74917,3434,56723
31,310-320,5,3824,332,2879,5735,74917,3436,56723
32,320-330,1,3825,332,2879,5735,74917,3436,56723
33,330-340,4,3829,332,2879,5735,74917,3436,56723
34,340-350,8,3837,332,2879,5735,74917,3436,56723
35,350-360,4,3841,332,2879,5735,74917,3436,56723
36,360-370,0,3841,332,2879,5735,74917,3436,56723
37,370-380,1,3842,332,2879,5735,74917,3436,56723
38,380-390,2,3844,332,2879,5735,74917,3436,56723
39,390-400,1,3845,332,2879,5735,74917,3436,56723
40,400-410,2,3847,332,2879,5735,74917,3436,56723
41,410-420,0,3847,332,2879,5735,74917,3436,56723
42,420-430,3,3850,332,2879,5735,74917,3436,56723
43,430-440,7,3857,333,2879,5760,74917,3442,56723
44,440-450,18,3875,333,2879,5767,74917,3450,56723
45,450-460,1,3876,333,2879,5767,74917,3450,56723
46,460-470,0,3876,333,2879,5767,74917,3450,56723
47,470-480,1,3877,333,2879,5767,74917,3450,56723
48,480-490,0,3877,333,2879,5767,74917,3450,56723
49,490-500,0,3877,333,2879,5767,74917,3450,56723
50,500-510,4,3881,333,2879,5767,74917,3450,56723
51,510-520,0,3881,333,2879,5767,74917,3450,56723
52,520-530,1,3882,333,2879,5767,74917,3450,56723
53,530-540,7,3889,333,2879,5768,74917,3452,56723
54,540-550,57,3946,334,2879,5822,74917,3531,56723
55,550-560,9,3955,334,2879,5822,74917,3531,56723
56,560-570,10,3965,334,2879,5822,74917,3531,56723
57,570-580,5,3970,334,2879,5822,74917,3531,56723
58,580-590,6,3976,334,2879,5822,74917,3531,56723
59,590-600,1,3977,334,2879,5822,74917,3531,56723
60,600-610,10,3987,334,2879,5822,74917,3531,56723
61,610-620,8,3995,334,2879,5822,74917,3531,56723
62,620-630,0,3995,334,2879,5822,74917,3531,56723
63,630-640,5,4000,334,2879,5822,74917,3531,56723
64,640-650,5,4005,334,2879,5822,74917,3531,56723
65,650-660,10,4015,334,2879,5822,74917,3532,56723
66,660-670,3,4018,334,2879,5823,74917,3534,56723
67,670-680,2,4020,334,2879,5823,74917,3534,56723
68,680-690,2,4022,334,2879,5823,74917,3534,56723
69,690-700,2,4024,334,2879,5823,74917,3534,56723
70,700-710,1,4025,334,2879,5823,74917,3534,56723
71,710-720,2,4027,334,2879,5823,74917,3534,56723
72,720-730,0,4027,334,2879,5823,74917,3534,56723
73,730-740,0,4027,334,2879,5823,74917,3534,56723
74,740-750,4,4031,334,2879,5823,74917,3534,56723
75,750-760,4,4035,334,2879,5823,74917,3535,56723
76,760-770,1,4036,334,2879,5823,74917,3535,56723
77,770-780,1,4037,334,2879,5823,74917,3535,56723
78,780-790,0,4037,334,2879,5823,74917,3535,56723
79,790-800,1,4038,334,2879,5823,74917,3535,56723
80,800-810,0,4038,334,2879,5823,74917,3535,56723
81,810-820,1,4039,334,2879,5823,74917,3535,56723
82,820-830,0,4039,334,2879,5823,74917,3535,56723
83,830-840,0,4039,334,2879,5823,74917,3535,56723
84,840-850,1,4040,334,2879,5823,74917,3535,56723
