frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1480,1480,331,2787,-1,-1,4036,59467
1, 10- 20,982,2462,333,2787,-1,-1,4197,59467
2, 20- 30,333,2795,333,2787,-1,-1,4223,59467
3, 30- 40,109,2904,333,2787,-1,-1,4229,59467
4, 40- 50,254,3158,333,2787,-1,-1,4230,59467
5, 50- 60,124,3282,339,2787,-1,-1,4289,59467
6, 60- 70,112,3394,342,2787,-1,-1,4334,59467
7, 70- 80,39,3433,342,2787,-1,-1,4336,59467
8, 80- 90,53,3486,342,2787,-1,-1,4337,59467
9, 90-100,35,3521,342,2787,-1,-1,4349,59467
10,100-110,22,3543,342,2787,-1,-1,4349,59467
11,110-120,25,3568,342,2787,-1,-1,4350,59467
12,120-130,19,3587,342,2787,-1,-1,4350,59467
13,130-140,20,3607,342,2787,-1,-1,4354,59467
14,140-150,22,3629,342,2787,-1,-1,4364,59467
15,150-160,21,3650,343,2787,-1,-1,4383,59467
16,160-170,18,3668,343,2787,-1,-1,4384,59467
17,170-180,28,3696,359,2787,-1,-1,4544,59467
18,180-190,7,3703,361,2787,-1,-1,4579,59467
19,190-200,10,3713,361,2787,-1,-1,4579,59467
20,200-210,6,3719,361,2787,-1,-1,4579,59467
21,210-220,6,3725,361,2787,-1,-1,4579,59467
22,220-230,8,3733,361,2787,-1,-1,4579,59467
23,230-240,4,3737,361,2787,-1,-1,4579,59467
24,240-250,6,3743,361,2787,-1,-1,4581,59467
25,250-260,13,3756,361,2787,-1,-1,4600,59467
26,260-270,5,3761,361,2787,-1,-1,4600,59467
27,270-280,7,3768,361,2787,-1,-1,4600,59467
28,280-290,7,3775,361,2787,-1,-1,4606,59467
29,290-300,5,3780,361,2787,-1,-1,4619,59467
30,300-310,8,3788,361,2787,-1,-1,4623,59467
31,310-320,22,3810,361,2787,-1,-1,4646,59467
32,320-330,7,3817,361,2787,-1,-1,4651,59467
33,330-340,1,3818,361,2787,-1,-1,4655,59467
34,340-350,4,3822,361,2787,-1,-1,4656,59467
35,350-360,1,3823,361,2787,-1,-1,4656,59467
36,360-370,2,3825,361,2787,-1,-1,4656,59467
37,370-380,1,3826,361,2787,-1,-1,4656,59467
38,380-390,0,3826,361,2787,-1,-1,4656,59467
39,390-400,3,3829,361,2787,-1,-1,4656,59467
40,400-410,6,3835,361,2787,-1,-1,4656,59467
41,410-420,2,3837,361,2787,-1,-1,4656,59467
42,420-430,8,3845,361,2787,-1,-1,4656,59467
43,430-440,10,3855,361,2787,-1,-1,4656,59467
44,440-450,6,3861,361,2787,-1,-1,4656,59467
45,450-460,1,3862,361,2787,-1,-1,4656,59467
46,460-470,0,3862,361,2787,-1,-1,4656,59467
47,470-480,1,3863,361,2787,-1,-1,4656,59467
48,480-490,0,3863,361,2787,-1,-1,4656,59467
49,490-500,0,3863,361,2787,-1,-1,4656,59467
50,500-510,1,3864,361,2787,-1,-1,4656,59467
51,510-520,0,3864,361,2787,-1,-1,4656,59467
52,520-530,1,3865,361,2787,-1,-1,4656,59467
53,530-540,0,3865,361,2787,-1,-1,4656,59467
54,540-550,0,3865,361,2787,-1,-1,4656,59467
55,550-560,5,3870,361,2787,-1,-1,4657,59467
56,560-570,0,3870,361,2787,-1,-1,4657,59467
57,570-580,1,3871,361,2787,-1,-1,4657,59467
58,580-590,1,3872,361,2787,-1,-1,4657,59467
59,590-600,2,3874,361,2787,-1,-1,4657,59467
60,600-610,7,3881,361,2787,-1,-1,4657,59467
61,610-620,0,3881,361,2787,-1,-1,4657,59467
62,620-630,1,3882,361,2787,-1,-1,4657,59467
63,630-640,1,3883,361,2787,-1,-1,4657,59467
64,640-650,2,3885,361,2787,-1,-1,4657,59467
65,650-660,2,3887,361,2787,-1,-1,4657,59467
66,660-670,13,3900,361,2787,-1,-1,4657,59467
67,670-680,4,3904,361,2787,-1,-1,4657,59467
68,680-690,2,3906,361,2787,-1,-1,4664,59467
69,690-700,6,3912,361,2787,-1,-1,4667,59467
70,700-710,1,3913,361,2787,-1,-1,4667,59467
71,710-720,3,3916,361,2787,-1,-1,4667,59467
72,720-730,64,3980,362,2787,-1,-1,4755,59467
73,730-740,10,3990,362,2787,-1,-1,4756,59467
74,740-750,17,4007,362,2787,-1,-1,4757,59467
75,750-760,10,4017,362,2787,-1,-1,4757,59467
76,760-770,1,4018,362,2787,-1,-1,4759,59467
77,770-780,3,4021,362,2787,-1,-1,4759,59467
78,780-790,2,4023,362,2787,-1,-1,4759,59467
79,790-800,1,4024,362,2787,-1,-1,4761,59467
80,800-810,2,4026,362,2787,-1,-1,4761,59467
81,810-820,0,4026,362,2787,-1,-1,4761,59467
82,820-830,3,4029,362,2787,-1,-1,4761,59467
83,830-840,1,4030,362,2787,-1,-1,4761,59467
84,840-850,98,4128,377,2787,-1,-1,5017,59467
85,850-860,15,4143,377,2787,-1,-1,5021,59467
86,860-870,9,4152,379,2787,-1,-1,5046,59467
87,870-880,3,4155,379,2787,-1,-1,5046,59467
88,880-890,11,4166,379,2787,-1,-1,5049,59467
89,890-900,5,4171,379,2787,-1,-1,5054,59467
90,900-910,5,4176,379,2787,-1,-1,5057,59467
91,910-920,26,4202,385,2787,-1,-1,5169,59467
92,920-930,84,4286,394,2787,-1,-1,5455,59467
93,930-940,148,4434,412,2787,-1,-1,5759,59467
94,940-950,34,4468,412,2787,-1,-1,5769,59467
95,950-960,34,4502,412,2787,-1,-1,5788,59467
96,960-970,75,4577,412,2787,-1,-1,5842,59467
97,970-980,13,4590,412,2787,-1,-1,5857,59467
98,980-990,17,4607,412,2787,-1,-1,5864,59467
