frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,2015,2015,159,427,-1,-1,3066,8811
1, 10- 20,1266,3281,168,427,-1,-1,3588,8811
2, 20- 30,513,3794,169,427,-1,-1,3692,8811
3, 30- 40,307,4101,172,427,-1,-1,3741,8811
4, 40- 50,265,4366,174,427,-1,-1,3787,8811
5, 50- 60,239,4605,177,427,-1,-1,3885,8811
6, 60- 70,161,4766,177,427,-1,-1,3911,8811
7, 70- 80,159,4925,177,427,-1,-1,3932,8811
8, 80- 90,96,5021,177,427,-1,-1,3935,8811
9, 90-100,124,5145,177,427,-1,-1,3939,8811
10,100-110,89,5234,177,427,-1,-1,3949,8811
11,110-120,67,5301,177,427,-1,-1,3949,8811
12,120-130,66,5367,177,427,-1,-1,3949,8811
13,130-140,59,5426,177,427,-1,-1,3949,8811
14,140-150,43,5469,177,427,-1,-1,3949,8811
15,150-160,44,5513,177,427,-1,-1,3951,8811
16,160-170,27,5540,177,427,-1,-1,3955,8811
17,170-180,25,5565,177,427,-1,-1,3955,8811
18,180-190,44,5609,177,427,-1,-1,3955,8811
19,190-200,28,5637,177,427,-1,-1,3963,8811
20,200-210,29,5666,177,427,-1,-1,3966,8811
21,210-220,15,5681,177,427,-1,-1,3978,8811
22,220-230,16,5697,177,427,-1,-1,3979,8811
23,230-240,27,5724,177,427,-1,-1,3997,8811
24,240-250,9,5733,177,427,-1,-1,3997,8811
25,250-260,17,5750,177,427,-1,-1,3998,8811
26,260-270,18,5768,177,427,-1,-1,3998,8811
27,270-280,8,5776,177,427,-1,-1,3998,8811
28,280-290,17,5793,177,427,-1,-1,4001,8811
29,290-300,15,5808,177,427,-1,-1,4001,8811
30,300-310,7,5815,177,427,-1,-1,4001,8811
31,310-320,5,5820,177,427,-1,-1,4001,8811
32,320-330,11,5831,177,427,-1,-1,4001,8811
33,330-340,12,5843,177,427,-1,-1,4001,8811
34,340-350,3,5846,177,427,-1,-1,4001,8811
35,350-360,11,5857,177,427,-1,-1,4005,8811
36,360-370,5,5862,177,427,-1,-1,4005,8811
37,370-380,8,5870,177,427,-1,-1,4005,8811
38,380-390,6,5876,177,427,-1,-1,4005,8811
39,390-400,8,5884,177,427,-1,-1,4005,8811
40,400-410,8,5892,177,427,-1,-1,4005,8811
41,410-420,4,5896,177,427,-1,-1,4005,8811
