frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1035,1035,136,448,2227,8335,1643,7682
1, 10- 20,636,1671,153,448,2282,8335,2169,7682
2, 20- 30,430,2101,159,448,2310,8335,2431,7682
3, 30- 40,352,2453,162,448,2340,8335,2549,7682
4, 40- 50,448,2901,167,448,2354,8335,2804,7682
5, 50- 60,310,3211,169,448,2355,8335,2881,7682
6, 60- 70,161,3372,169,448,2358,8335,2899,7682
7, 70- 80,105,3477,169,448,2367,8335,2910,7682
8, 80- 90,127,3604,169,448,2383,8335,2925,7682
9, 90-100,77,3681,169,448,2383,8335,2925,7682
10,100-110,104,3785,169,448,2385,8335,2934,7682
11,110-120,57,3842,169,448,2385,8335,2936,7682
12,120-130,55,3897,169,448,2385,8335,2945,7682
13,130-140,63,3960,169,448,2385,8335,2947,7682
14,140-150,49,4009,169,448,2385,8335,2953,7682
15,150-160,54,4063,169,448,2387,8335,2955,7682
16,160-170,80,4143,169,448,2387,8335,2959,7682
17,170-180,31,4174,169,448,2388,8335,2962,7682
18,180-190,48,4222,169,448,2388,8335,2965,7682
19,190-200,35,4257,169,448,2388,8335,2965,7682
20,200-210,42,4299,169,448,2388,8335,2968,7682
21,210-220,64,4363,169,448,2393,8335,2984,7682
22,220-230,54,4417,169,448,2403,8335,2994,7682
23,230-240,55,4472,169,448,2403,8335,2996,7682
24,240-250,36,4508,169,448,2403,8335,3000,7682
25,250-260,28,4536,169,448,2403,8335,3005,7682
26,260-270,26,4562,171,448,2427,8335,3024,7682
27,270-280,17,4579,171,448,2427,8335,3026,7682
28,280-290,24,4603,171,448,2427,8335,3028,7682
29,290-300,22,4625,172,448,2434,8335,3031,7682
30,300-310,34,4659,172,448,2439,8335,3035,7682
31,310-320,47,4706,172,448,2448,8335,3045,7682
32,320-330,63,4769,173,448,2469,8335,3064,7682
33,330-340,28,4797,173,448,2474,8335,3067,7682
34,340-350,40,4837,175,448,2475,8335,3090,7682
35,350-360,24,4861,175,448,2477,8335,3093,7682
36,360-370,30,4891,175,448,2477,8335,3095,7682
37,370-380,52,4943,177,448,2493,8335,3120,7682
38,380-390,27,4970,177,448,2498,8335,3129,7682
39,390-400,18,4988,177,448,2498,8335,3131,7682
40,400-410,19,5007,177,448,2498,8335,3131,7682
41,410-420,64,5071,177,448,2498,8335,3142,7682
42,420-430,20,5091,177,448,2498,8335,3142,7682
43,430-440,27,5118,177,448,2504,8335,3146,7682
44,440-450,35,5153,177,448,2506,8335,3149,7682
45,450-460,22,5175,177,448,2506,8335,3151,7682
46,460-470,18,5193,177,448,2506,8335,3151,7682
47,470-480,15,5208,177,448,2506,8335,3154,7682
48,480-490,23,5231,177,448,2506,8335,3156,7682
49,490-500,6,5237,177,448,2506,8335,3156,7682
50,500-510,24,5261,177,448,2506,8335,3156,7682
51,510-520,13,5274,177,448,2509,8335,3158,7682
52,520-530,8,5282,177,448,2512,8335,3164,7682
53,530-540,6,5288,177,448,2512,8335,3164,7682
54,540-550,5,5293,177,448,2512,8335,3165,7682
55,550-560,13,5306,177,448,2512,8335,3167,7682
56,560-570,12,5318,177,448,2512,8335,3167,7682
57,570-580,15,5333,177,448,2515,8335,3169,7682
58,580-590,18,5351,177,448,2515,8335,3169,7682
59,590-600,8,5359,177,448,2515,8335,3169,7682
60,600-610,6,5365,177,448,2515,8335,3170,7682
61,610-620,20,5385,177,448,2515,8335,3175,7682
62,620-630,5,5390,177,448,2516,8335,3176,7682
63,630-640,13,5403,177,448,2516,8335,3177,7682
64,640-650,7,5410,177,448,2516,8335,3177,7682
65,650-660,4,5414,177,448,2516,8335,3177,7682
66,660-670,9,5423,177,448,2516,8335,3177,7682
67,670-680,6,5429,177,448,2516,8335,3177,7682
68,680-690,9,5438,177,448,2516,8335,3177,7682
69,690-700,7,5445,177,448,2519,8335,3181,7682
70,700-710,2,5447,177,448,2519,8335,3181,7682
71,710-720,6,5453,177,448,2519,8335,3181,7682
72,720-730,9,5462,177,448,2519,8335,3182,7682
73,730-740,6,5468,177,448,2519,8335,3182,7682
74,740-750,4,5472,177,448,2519,8335,3182,7682
75,750-760,10,5482,177,448,2519,8335,3182,7682
