frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1816,1816,639,1584,15385,54333,5172,22020
1, 10- 20,1796,3612,653,1584,16057,54333,5479,22020
2, 20- 30,1078,4690,656,1584,16283,54333,5591,22020
3, 30- 40,1032,5722,660,1584,16563,54333,5694,22020
4, 40- 50,266,5988,660,1584,16594,54333,5720,22020
5, 50- 60,986,6974,660,1584,16669,54333,5757,22020
6, 60- 70,1110,8084,660,1584,16785,54333,5824,22020
7, 70- 80,1194,9278,660,1584,16926,54333,5896,22020
8, 80- 90,852,10130,662,1584,17062,54333,5944,22020
9, 90-100,869,10999,662,1584,17072,54333,5952,22020
10,100-110,713,11712,665,1584,17179,54333,5994,22020
11,110-120,774,12486,665,1584,17224,54333,6015,22020
12,120-130,223,12709,665,1584,17237,54333,6021,22020
13,130-140,560,13269,668,1584,17381,54333,6071,22020
14,140-150,477,13746,668,1584,17388,54333,6076,22020
15,150-160,499,14245,668,1584,17417,54333,6091,22020
16,160-170,745,14990,668,1584,17448,54333,6113,22020
17,170-180,412,15402,669,1584,17518,54333,6140,22020
18,180-190,828,16230,671,1584,17583,54333,6177,22020
19,190-200,682,16912,671,1584,17597,54333,6187,22020
20,200-210,543,17455,683,1584,17904,54333,6292,22020
21,210-220,613,18068,683,1584,17920,54333,6306,22020
22,220-230,477,18545,686,1584,17971,54333,6323,22020
23,230-240,500,19045,690,1584,18059,54333,6348,22020
24,240-250,472,19517,690,1584,18073,54333,6370,22020
25,250-260,824,20341,690,1584,18090,54333,6384,22020
26,260-270,517,20858,690,1584,18107,54333,6399,22020
27,270-280,435,21293,690,1584,18113,54333,6402,22020
28,280-290,279,21572,690,1584,18125,54333,6409,22020
29,290-300,558,22130,690,1584,18164,54333,6428,22020
30,300-310,248,22378,690,1584,18167,54333,6431,22020
31,310-320,355,22733,690,1584,18170,54333,6434,22020
32,320-330,636,23369,690,1584,18176,54333,6437,22020
33,330-340,355,23724,690,1584,18178,54333,6439,22020
34,340-350,611,24335,690,1584,18452,54333,6576,22020
35,350-360,425,24760,690,1584,18452,54333,6581,22020
36,360-370,532,25292,690,1584,18514,54333,6612,22020
37,370-380,426,25718,690,1584,18519,54333,6618,22020
38,380-390,468,26186,690,1584,18545,54333,6624,22020
39,390-400,367,26553,690,1584,18558,54333,6635,22020
40,400-410,155,26708,690,1584,18558,54333,6635,22020
41,410-420,172,26880,690,1584,18558,54333,6635,22020
42,420-430,461,27341,690,1584,18569,54333,6636,22020
43,430-440,409,27750,690,1584,18569,54333,6636,22020
44,440-450,1139,28889,694,1584,18704,54333,6695,22020
45,450-460,1275,30164,695,1584,18788,54333,6726,22020
46,460-470,1311,31475,695,1584,18792,54333,6729,22020
47,470-480,867,32342,697,1584,18844,54333,6752,22020
48,480-490,582,32924,697,1584,18856,54333,6760,22020
49,490-500,1036,33960,697,1584,18857,54333,6762,22020
50,500-510,822,34782,697,1584,18958,54333,6811,22020
51,510-520,854,35636,697,1584,18963,54333,6812,22020
52,520-530,1428,37064,697,1584,18972,54333,6823,22020
53,530-540,785,37849,697,1584,18987,54333,6827,22020
54,540-550,596,38445,697,1584,18987,54333,6827,22020
55,550-560,786,39231,697,1584,18987,54333,6827,22020
56,560-570,925,40156,697,1584,18994,54333,6830,22020
57,570-580,669,40825,697,1584,18994,54333,6830,22020
58,580-590,800,41625,697,1584,18996,54333,6831,22020
59,590-600,731,42356,697,1584,18999,54333,6833,22020
60,600-610,422,42778,697,1584,19006,54333,6841,22020
61,610-620,633,43411,697,1584,19009,54333,6842,22020
62,620-630,490,43901,698,1584,19036,54333,6852,22020
63,630-640,788,44689,698,1584,19051,54333,6864,22020
64,640-650,709,45398,698,1584,19064,54333,6895,22020
65,650-660,643,46041,698,1584,19064,54333,6895,22020
66,660-670,512,46553,698,1584,19065,54333,6909,22020
67,670-680,614,47167,698,1584,19069,54333,6912,22020
68,680-690,459,47626,698,1584,19069,54333,6912,22020
69,690-700,606,48232,698,1584,19080,54333,6918,22020
70,700-710,972,49204,698,1584,19081,54333,6919,22020
71,710-720,547,49751,698,1584,19081,54333,6919,22020
72,720-730,421,50172,698,1584,19085,54333,6923,22020
73,730-740,363,50535,698,1584,19097,54333,6925,22020
74,740-750,362,50897,698,1584,19106,54333,6929,22020
75,750-760,455,51352,698,1584,19106,54333,6931,22020
76,760-770,591,51943,698,1584,19106,54333,6931,22020
77,770-780,986,52929,698,1584,19106,54333,6931,22020
78,780-790,746,53675,698,1584,19106,54333,6933,22020
79,790-800,622,54297,698,1584,19106,54333,6933,22020
80,800-810,468,54765,698,1584,19108,54333,6934,22020
81,810-820,540,55305,698,1584,19108,54333,6934,22020
82,820-830,545,55850,698,1584,19124,54333,6942,22020
83,830-840,299,56149,698,1584,19124,54333,6942,22020
84,840-850,609,56758,698,1584,19124,54333,6942,22020
85,850-860,364,57122,698,1584,19128,54333,6947,22020
86,860-870,383,57505,698,1584,19128,54333,6947,22020
87,870-880,326,57831,698,1584,19129,54333,6948,22020
88,880-890,545,58376,698,1584,19129,54333,6949,22020
