frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,462,462,256,2257,-1,-1,2771,106075
1, 10- 20,335,797,256,2257,-1,-1,2791,106075
2, 20- 30,47,844,298,2257,-1,-1,3375,106075
3, 30- 40,27,871,298,2257,-1,-1,3375,106075
4, 40- 50,25,896,301,2257,-1,-1,3428,106075
5, 50- 60,20,916,301,2257,-1,-1,3428,106075
6, 60- 70,10,926,305,2257,-1,-1,3556,106075
7, 70- 80,12,938,305,2257,-1,-1,3556,106075
8, 80- 90,31,969,305,2257,-1,-1,3556,106075
9, 90-100,23,992,305,2257,-1,-1,3565,106075
10,100-110,68,1060,309,2257,-1,-1,3823,106075
11,110-120,5,1065,309,2257,-1,-1,3823,106075
12,120-130,4,1069,309,2257,-1,-1,3823,106075
13,130-140,8,1077,309,2257,-1,-1,3823,106075
14,140-150,5,1082,309,2257,-1,-1,3823,106075
15,150-160,8,1090,309,2257,-1,-1,3823,106075
16,160-170,26,1116,309,2257,-1,-1,3823,106075
17,170-180,4,1120,309,2257,-1,-1,3823,106075
18,180-190,11,1131,309,2257,-1,-1,3823,106075
19,190-200,5,1136,309,2257,-1,-1,3823,106075
20,200-210,2,1138,309,2257,-1,-1,3823,106075
21,210-220,61,1199,329,2257,-1,-1,4355,106075
22,220-230,9,1208,346,2257,-1,-1,4497,106075
23,230-240,4,1212,346,2257,-1,-1,4497,106075
24,240-250,9,1221,346,2257,-1,-1,4497,106075
25,250-260,5,1226,346,2257,-1,-1,4497,106075
26,260-270,13,1239,346,2257,-1,-1,4497,106075
27,270-280,8,1247,348,2257,-1,-1,4499,106075
28,280-290,3,1250,348,2257,-1,-1,4499,106075
29,290-300,3,1253,348,2257,-1,-1,4499,106075
30,300-310,1,1254,348,2257,-1,-1,4499,106075
31,310-320,1,1255,348,2257,-1,-1,4499,106075
32,320-330,20,1275,348,2257,-1,-1,4499,106075
33,330-340,24,1299,348,2257,-1,-1,4499,106075
34,340-350,1,1300,348,2257,-1,-1,4499,106075
35,350-360,5,1305,348,2257,-1,-1,4499,106075
36,360-370,297,1602,364,2257,-1,-1,5031,106075
37,370-380,13,1615,364,2257,-1,-1,5076,106075
38,380-390,0,1615,364,2257,-1,-1,5076,106075
39,390-400,18,1633,364,2257,-1,-1,5085,106075
40,400-410,53,1686,370,2257,-1,-1,5405,106075
41,410-420,4,1690,373,2257,-1,-1,5450,106075
42,420-430,5,1695,373,2257,-1,-1,5456,106075
43,430-440,0,1695,373,2257,-1,-1,5456,106075
44,440-450,1,1696,373,2257,-1,-1,5456,106075
45,450-460,1,1697,373,2257,-1,-1,5495,106075
46,460-470,2,1699,373,2257,-1,-1,5495,106075
47,470-480,0,1699,373,2257,-1,-1,5495,106075
48,480-490,0,1699,373,2257,-1,-1,5495,106075
49,490-500,1,1700,373,2257,-1,-1,5495,106075
50,500-510,1,1701,373,2257,-1,-1,5495,106075
51,510-520,3,1704,373,2257,-1,-1,5495,106075
52,520-530,1,1705,373,2257,-1,-1,5495,106075
53,530-540,1,1706,373,2257,-1,-1,5495,106075
54,540-550,2,1708,373,2257,-1,-1,5495,106075
55,550-560,1,1709,373,2257,-1,-1,5495,106075
56,560-570,1,1710,373,2257,-1,-1,5495,106075
57,570-580,2,1712,373,2257,-1,-1,5495,106075
58,580-590,1,1713,373,2257,-1,-1,5495,106075
59,590-600,0,1713,373,2257,-1,-1,5495,106075
60,600-610,1,1714,373,2257,-1,-1,5495,106075
61,610-620,0,1714,373,2257,-1,-1,5495,106075
62,620-630,1,1715,373,2257,-1,-1,5495,106075
63,630-640,3,1718,373,2257,-1,-1,5495,106075
64,640-650,1,1719,373,2257,-1,-1,5495,106075
65,650-660,16,1735,373,2257,-1,-1,5495,106075
66,660-670,36,1771,373,2257,-1,-1,5495,106075
67,670-680,2,1773,373,2257,-1,-1,5519,106075
68,680-690,22,1795,373,2257,-1,-1,5519,106075
69,690-700,1,1796,373,2257,-1,-1,5519,106075
70,700-710,0,1796,373,2257,-1,-1,5519,106075
71,710-720,0,1796,373,2257,-1,-1,5519,106075
72,720-730,1,1797,373,2257,-1,-1,5528,106075
73,730-740,2,1799,373,2257,-1,-1,5528,106075
74,740-750,51,1850,373,2257,-1,-1,5528,106075
75,750-760,4,1854,373,2257,-1,-1,5528,106075
76,760-770,0,1854,373,2257,-1,-1,5528,106075
77,770-780,2,1856,373,2257,-1,-1,5528,106075
78,780-790,2,1858,373,2257,-1,-1,5528,106075
79,790-800,4,1862,377,2257,-1,-1,5567,106075
80,800-810,1,1863,377,2257,-1,-1,5567,106075
81,810-820,8,1871,377,2257,-1,-1,5582,106075
82,820-830,0,1871,377,2257,-1,-1,5582,106075
83,830-840,2,1873,377,2257,-1,-1,5582,106075
84,840-850,2,1875,377,2257,-1,-1,5582,106075
85,850-860,2,1877,377,2257,-1,-1,5582,106075
86,860-870,1,1878,377,2257,-1,-1,5582,106075
87,870-880,2,1880,377,2257,-1,-1,5582,106075
88,880-890,2,1882,377,2257,-1,-1,5582,106075
89,890-900,1,1883,377,2257,-1,-1,5582,106075
90,900-910,0,1883,377,2257,-1,-1,5582,106075
91,910-920,1,1884,377,2257,-1,-1,5612,106075
92,920-930,0,1884,377,2257,-1,-1,5612,106075
93,930-940,15,1899,377,2257,-1,-1,5612,106075
94,940-950,1,1900,377,2257,-1,-1,5612,106075
95,950-960,1,1901,377,2257,-1,-1,5612,106075
96,960-970,0,1901,377,2257,-1,-1,5612,106075
97,970-980,3,1904,377,2257,-1,-1,5613,106075
98,980-990,1,1905,377,2257,-1,-1,5613,106075
99,990-1000,1,1906,377,2257,-1,-1,5613,106075
100,1000-1010,0,1906,377,2257,-1,-1,5613,106075
101,1010-1020,1,1907,377,2257,-1,-1,5613,106075
102,1020-1030,0,1907,377,2257,-1,-1,5613,106075
103,1030-1040,1,1908,377,2257,-1,-1,5613,106075
104,1040-1050,116,2024,377,2257,-1,-1,5613,106075
105,1050-1060,1,2025,377,2257,-1,-1,5613,106075
106,1060-1070,0,2025,377,2257,-1,-1,5613,106075
107,1070-1080,1,2026,377,2257,-1,-1,5613,106075
108,1080-1090,1,2027,377,2257,-1,-1,5613,106075
109,1090-1100,1,2028,377,2257,-1,-1,5613,106075
110,1100-1110,1,2029,377,2257,-1,-1,5613,106075
111,1110-1120,0,2029,377,2257,-1,-1,5613,106075
112,1120-1130,2,2031,377,2257,-1,-1,5613,106075
113,1130-1140,1,2032,377,2257,-1,-1,5613,106075
114,1140-1150,3,2035,379,2257,-1,-1,5627,106075
115,1150-1160,1,2036,379,2257,-1,-1,5627,106075
116,1160-1170,0,2036,379,2257,-1,-1,5627,106075
117,1170-1180,1,2037,379,2257,-1,-1,5627,106075
118,1180-1190,0,2037,379,2257,-1,-1,5627,106075
119,1190-1200,0,2037,379,2257,-1,-1,5627,106075
120,1200-1210,1,2038,379,2257,-1,-1,5627,106075
121,1210-1220,0,2038,379,2257,-1,-1,5627,106075
