frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,575,575,242,4129,3446,127684,1375,89995
1, 10- 20,211,786,255,4129,3830,127684,1581,89995
2, 20- 30,46,832,257,4129,3945,127684,1686,89995
3, 30- 40,362,1194,297,4129,5077,127684,2329,89995
4, 40- 50,32,1226,297,4129,5077,127684,2329,89995
5, 50- 60,26,1252,301,4129,5156,127684,2352,89995
6, 60- 70,11,1263,301,4129,5156,127684,2352,89995
7, 70- 80,51,1314,301,4129,5156,127684,2352,89995
8, 80- 90,4,1318,301,4129,5156,127684,2352,89995
9, 90-100,27,1345,301,4129,5156,127684,2352,89995
10,100-110,75,1420,310,4129,5475,127684,2554,89995
11,110-120,2,1422,310,4129,5475,127684,2554,89995
12,120-130,23,1445,310,4129,5486,127684,2561,89995
13,130-140,46,1491,310,4129,5486,127684,2561,89995
14,140-150,11,1502,310,4129,5486,127684,2561,89995
15,150-160,4,1506,310,4129,5486,127684,2561,89995
16,160-170,26,1532,310,4129,5486,127684,2561,89995
17,170-180,3,1535,310,4129,5486,127684,2561,89995
18,180-190,3,1538,310,4129,5486,127684,2561,89995
19,190-200,4,1542,310,4129,5547,127684,2593,89995
20,200-210,10,1552,310,4129,5576,127684,2619,89995
21,210-220,22,1574,310,4129,5576,127684,2619,89995
22,220-230,0,1574,310,4129,5576,127684,2619,89995
23,230-240,30,1604,310,4129,5576,127684,2620,89995
24,240-250,6,1610,310,4129,5576,127684,2620,89995
25,250-260,3,1613,310,4129,5576,127684,2620,89995
26,260-270,5,1618,310,4129,5576,127684,2620,89995
27,270-280,3,1621,323,4129,5956,127684,2745,89995
28,280-290,15,1636,339,4129,6248,127684,2924,89995
29,290-300,1,1637,339,4129,6248,127684,2924,89995
30,300-310,3,1640,339,4129,6248,127684,2924,89995
31,310-320,0,1640,339,4129,6248,127684,2924,89995
32,320-330,5,1645,339,4129,6248,127684,2924,89995
33,330-340,5,1650,339,4129,6248,127684,2924,89995
34,340-350,5,1655,339,4129,6248,127684,2924,89995
35,350-360,1,1656,339,4129,6248,127684,2924,89995
36,360-370,26,1682,339,4129,6248,127684,2924,89995
37,370-380,11,1693,339,4129,6260,127684,2928,89995
38,380-390,1,1694,339,4129,6260,127684,2928,89995
39,390-400,2,1696,339,4129,6260,127684,2928,89995
40,400-410,0,1696,339,4129,6260,127684,2928,89995
41,410-420,6,1702,339,4129,6264,127684,2931,89995
42,420-430,51,1753,339,4129,6269,127684,2938,89995
43,430-440,2,1755,339,4129,6269,127684,2938,89995
44,440-450,0,1755,339,4129,6269,127684,2938,89995
45,450-460,4,1759,339,4129,6269,127684,2938,89995
46,460-470,0,1759,339,4129,6269,127684,2938,89995
47,470-480,0,1759,339,4129,6269,127684,2938,89995
48,480-490,0,1759,339,4129,6269,127684,2938,89995
49,490-500,0,1759,339,4129,6269,127684,2938,89995
50,500-510,1,1760,339,4129,6269,127684,2938,89995
51,510-520,5,1765,339,4129,6269,127684,2938,89995
52,520-530,0,1765,339,4129,6269,127684,2938,89995
53,530-540,2,1767,339,4129,6269,127684,2938,89995
54,540-550,1,1768,339,4129,6269,127684,2938,89995
55,550-560,2,1770,339,4129,6269,127684,2938,89995
