frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,4199,4199,437,1092,6598,25232,3149,13809
1, 10- 20,1793,5992,445,1092,6912,25232,3312,13809
2, 20- 30,1178,7170,449,1092,6977,25232,3356,13809
3, 30- 40,2321,9491,449,1092,6993,25232,3369,13809
4, 40- 50,3381,12872,449,1092,7003,25232,3385,13809
5, 50- 60,4308,17180,449,1092,7020,25232,3405,13809
6, 60- 70,3258,20438,449,1092,7025,25232,3410,13809
7, 70- 80,3073,23511,449,1092,7046,25232,3422,13809
8, 80- 90,2582,26093,452,1092,7120,25232,3465,13809
9, 90-100,2769,28862,452,1092,7120,25232,3466,13809
10,100-110,2424,31286,452,1092,7153,25232,3484,13809
11,110-120,2512,33798,452,1092,7154,25232,3489,13809
12,120-130,2076,35874,452,1092,7154,25232,3490,13809
13,130-140,2661,38535,452,1092,7154,25232,3491,13809
14,140-150,2703,41238,452,1092,7155,25232,3492,13809
15,150-160,2031,43269,452,1092,7158,25232,3495,13809
16,160-170,2307,45576,452,1092,7162,25232,3498,13809
17,170-180,3179,48755,452,1092,7169,25232,3504,13809
18,180-190,3298,52053,452,1092,7169,25232,3504,13809
19,190-200,2304,54357,452,1092,7172,25232,3507,13809
20,200-210,2501,56858,452,1092,7172,25232,3508,13809
21,210-220,1860,58718,452,1092,7172,25232,3508,13809
22,220-230,2460,61178,452,1092,7172,25232,3508,13809
23,230-240,2205,63383,452,1092,7172,25232,3508,13809
24,240-250,1826,65209,453,1092,7176,25232,3510,13809
25,250-260,1698,66907,453,1092,7183,25232,3516,13809
26,260-270,2035,68942,453,1092,7183,25232,3516,13809
27,270-280,1810,70752,453,1092,7186,25232,3518,13809
28,280-290,1986,72738,453,1092,7186,25232,3518,13809
29,290-300,1587,74325,453,1092,7191,25232,3520,13809
30,300-310,1492,75817,453,1092,7191,25232,3521,13809
31,310-320,1585,77402,454,1092,7207,25232,3531,13809
32,320-330,1603,79005,454,1092,7207,25232,3531,13809
33,330-340,1756,80761,454,1092,7207,25232,3531,13809
34,340-350,2329,83090,454,1092,7207,25232,3531,13809
35,350-360,2485,85575,454,1092,7210,25232,3532,13809
36,360-370,2033,87608,454,1092,7210,25232,3532,13809
37,370-380,1758,89366,454,1092,7257,25232,3573,13809
38,380-390,1440,90806,454,1092,7257,25232,3571,13809
