frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,3666,3666,430,1025,-1,-1,4455,16703
1, 10- 20,963,4629,440,1025,-1,-1,4625,16703
2, 20- 30,1200,5829,445,1025,-1,-1,4684,16703
3, 30- 40,616,6445,445,1025,-1,-1,4708,16703
4, 40- 50,1363,7808,445,1025,-1,-1,4742,16703
5, 50- 60,2011,9819,445,1025,-1,-1,4771,16703
6, 60- 70,2398,12217,445,1025,-1,-1,4792,16703
7, 70- 80,1949,14166,445,1025,-1,-1,4799,16703
8, 80- 90,1520,15686,445,1025,-1,-1,4804,16703
9, 90-100,1454,17140,445,1025,-1,-1,4805,16703
10,100-110,1304,18444,445,1025,-1,-1,4806,16703
11,110-120,1622,20066,445,1025,-1,-1,4806,16703
12,120-130,1431,21497,445,1025,-1,-1,4806,16703
13,130-140,1069,22566,445,1025,-1,-1,4809,16703
14,140-150,2237,24803,445,1025,-1,-1,4813,16703
15,150-160,1640,26443,445,1025,-1,-1,4816,16703
16,160-170,1040,27483,445,1025,-1,-1,4818,16703
17,170-180,1547,29030,445,1025,-1,-1,4825,16703
18,180-190,1023,30053,445,1025,-1,-1,4829,16703
19,190-200,1128,31181,449,1025,-1,-1,4972,16703
20,200-210,791,31972,449,1025,-1,-1,4972,16703
21,210-220,1717,33689,449,1025,-1,-1,4973,16703
22,220-230,1365,35054,449,1025,-1,-1,4980,16703
23,230-240,1603,36657,450,1025,-1,-1,4993,16703
24,240-250,1450,38107,450,1025,-1,-1,5014,16703
25,250-260,1127,39234,450,1025,-1,-1,5014,16703
26,260-270,1502,40736,450,1025,-1,-1,5014,16703
27,270-280,1080,41816,450,1025,-1,-1,5014,16703
28,280-290,1108,42924,450,1025,-1,-1,5023,16703
29,290-300,1574,44498,450,1025,-1,-1,5023,16703
30,300-310,1661,46159,450,1025,-1,-1,5031,16703
31,310-320,1666,47825,450,1025,-1,-1,5036,16703
32,320-330,1332,49157,450,1025,-1,-1,5039,16703
33,330-340,1150,50307,452,1025,-1,-1,5045,16703
34,340-350,2219,52526,452,1025,-1,-1,5045,16703
35,350-360,1736,54262,452,1025,-1,-1,5045,16703
36,360-370,1833,56095,452,1025,-1,-1,5046,16703
37,370-380,1687,57782,452,1025,-1,-1,5046,16703
38,380-390,1390,59172,452,1025,-1,-1,5046,16703
39,390-400,1048,60220,452,1025,-1,-1,5047,16703
40,400-410,1125,61345,452,1025,-1,-1,5091,16703
41,410-420,1141,62486,452,1025,-1,-1,5091,16703
42,420-430,1495,63981,452,1025,-1,-1,5091,16703
43,430-440,1265,65246,452,1025,-1,-1,5091,16703
44,440-450,1084,66330,452,1025,-1,-1,5091,16703
45,450-460,1019,67349,452,1025,-1,-1,5091,16703
46,460-470,1281,68630,455,1025,-1,-1,5131,16703
47,470-480,1236,69866,455,1025,-1,-1,5131,16703
48,480-490,1298,71164,455,1025,-1,-1,5131,16703
49,490-500,997,72161,455,1025,-1,-1,5131,16703
50,500-510,1141,73302,455,1025,-1,-1,5131,16703
51,510-520,906,74208,455,1025,-1,-1,5131,16703
52,520-530,1019,75227,455,1025,-1,-1,5131,16703
53,530-540,1010,76237,455,1025,-1,-1,5131,16703
54,540-550,1263,77500,455,1025,-1,-1,5131,16703
55,550-560,946,78446,455,1025,-1,-1,5131,16703
56,560-570,1170,79616,455,1025,-1,-1,5131,16703
57,570-580,1030,80646,455,1025,-1,-1,5131,16703
58,580-590,1093,81739,455,1025,-1,-1,5149,16703
59,590-600,1117,82856,455,1025,-1,-1,5149,16703
60,600-610,986,83842,455,1025,-1,-1,5149,16703
61,610-620,831,84673,455,1025,-1,-1,5149,16703
62,620-630,1202,85875,455,1025,-1,-1,5149,16703
63,630-640,1022,86897,455,1025,-1,-1,5149,16703
64,640-650,883,87780,455,1025,-1,-1,5149,16703
65,650-660,1107,88887,455,1025,-1,-1,5149,16703
66,660-670,1290,90177,455,1025,-1,-1,5162,16703
67,670-680,1120,91297,455,1025,-1,-1,5162,16703
68,680-690,1229,92526,455,1025,-1,-1,5163,16703
69,690-700,997,93523,455,1025,-1,-1,5163,16703
70,700-710,952,94475,455,1025,-1,-1,5163,16703
71,710-720,1006,95481,455,1025,-1,-1,5163,16703
72,720-730,1003,96484,455,1025,-1,-1,5163,16703
73,730-740,842,97326,455,1025,-1,-1,5163,16703
74,740-750,1045,98371,455,1025,-1,-1,5163,16703
75,750-760,1130,99501,455,1025,-1,-1,5163,16703
76,760-770,1029,100530,455,1025,-1,-1,5163,16703
77,770-780,766,101296,455,1025,-1,-1,5163,16703
78,780-790,990,102286,455,1025,-1,-1,5163,16703
79,790-800,902,103188,455,1025,-1,-1,5164,16703
80,800-810,1095,104283,455,1025,-1,-1,5164,16703
81,810-820,1030,105313,455,1025,-1,-1,5164,16703
82,820-830,859,106172,455,1025,-1,-1,5164,16703
83,830-840,1033,107205,455,1025,-1,-1,5164,16703
84,840-850,751,107956,455,1025,-1,-1,5164,16703
85,850-860,1081,109037,455,1025,-1,-1,5164,16703
86,860-870,827,109864,458,1025,-1,-1,5188,16703
87,870-880,814,110678,458,1025,-1,-1,5188,16703
88,880-890,789,111467,458,1025,-1,-1,5188,16703
89,890-900,868,112335,458,1025,-1,-1,5188,16703
90,900-910,812,113147,458,1025,-1,-1,5188,16703
91,910-920,791,113938,458,1025,-1,-1,5188,16703
92,920-930,759,114697,458,1025,-1,-1,5188,16703
93,930-940,921,115618,458,1025,-1,-1,5188,16703
94,940-950,825,116443,458,1025,-1,-1,5194,16703
95,950-960,890,117333,458,1025,-1,-1,5194,16703
96,960-970,1109,118442,458,1025,-1,-1,5194,16703
97,970-980,1050,119492,458,1025,-1,-1,5194,16703
98,980-990,929,120421,458,1025,-1,-1,5194,16703
99,990-1000,918,121339,458,1025,-1,-1,5194,16703
100,1000-1010,856,122195,458,1025,-1,-1,5194,16703
101,1010-1020,859,123054,458,1025,-1,-1,5194,16703
102,1020-1030,1168,124222,458,1025,-1,-1,5194,16703
103,1030-1040,1045,125267,458,1025,-1,-1,5205,16703
104,1040-1050,823,126090,458,1025,-1,-1,5205,16703
105,1050-1060,739,126829,458,1025,-1,-1,5205,16703
106,1060-1070,852,127681,458,1025,-1,-1,5205,16703
107,1070-1080,806,128487,458,1025,-1,-1,5208,16703
108,1080-1090,846,129333,458,1025,-1,-1,5209,16703
109,1090-1100,826,130159,458,1025,-1,-1,5209,16703
110,1100-1110,746,130905,458,1025,-1,-1,5209,16703
111,1110-1120,776,131681,458,1025,-1,-1,5209,16703
112,1120-1130,686,132367,458,1025,-1,-1,5209,16703
113,1130-1140,754,133121,458,1025,-1,-1,5209,16703
114,1140-1150,813,133934,458,1025,-1,-1,5210,16703
115,1150-1160,654,134588,458,1025,-1,-1,5210,16703
116,1160-1170,812,135400,458,1025,-1,-1,5210,16703
117,1170-1180,754,136154,458,1025,-1,-1,5212,16703
118,1180-1190,609,136763,458,1025,-1,-1,5212,16703
119,1190-1200,728,137491,458,1025,-1,-1,5212,16703
120,1200-1210,810,138301,458,1025,-1,-1,5212,16703
121,1210-1220,692,138993,458,1025,-1,-1,5212,16703
122,1220-1230,634,139627,458,1025,-1,-1,5212,16703
123,1230-1240,651,140278,458,1025,-1,-1,5212,16703
124,1240-1250,743,141021,458,1025,-1,-1,5212,16703
125,1250-1260,655,141676,458,1025,-1,-1,5212,16703
126,1260-1270,763,142439,458,1025,-1,-1,5212,16703
127,1270-1280,640,143079,458,1025,-1,-1,5212,16703
128,1280-1290,833,143912,458,1025,-1,-1,5212,16703
129,1290-1300,702,144614,458,1025,-1,-1,5212,16703
130,1300-1310,821,145435,458,1025,-1,-1,5212,16703
131,1310-1320,1153,146588,458,1025,-1,-1,5212,16703
132,1320-1330,752,147340,458,1025,-1,-1,5212,16703
133,1330-1340,952,148292,458,1025,-1,-1,5212,16703
134,1340-1350,1875,150167,458,1025,-1,-1,5212,16703
135,1350-1360,1305,151472,458,1025,-1,-1,5212,16703
136,1360-1370,1234,152706,458,1025,-1,-1,5212,16703
137,1370-1380,925,153631,458,1025,-1,-1,5212,16703
138,1380-1390,866,154497,458,1025,-1,-1,5212,16703
139,1390-1400,744,155241,458,1025,-1,-1,5212,16703
140,1400-1410,1056,156297,458,1025,-1,-1,5212,16703
141,1410-1420,660,156957,458,1025,-1,-1,5212,16703
142,1420-1430,1077,158034,458,1025,-1,-1,5212,16703
143,1430-1440,1181,159215,458,1025,-1,-1,5212,16703
