frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,6582,6582,431,12019,7377,247808,4179,169111
1, 10- 20,2264,8846,432,12019,7538,247808,4310,169111
2, 20- 30,2252,11098,434,12019,7722,247808,4460,169111
3, 30- 40,1474,12572,434,12019,7733,247808,4478,169111
4, 40- 50,1008,13580,434,12019,7800,247808,4530,169111
5, 50- 60,1600,15180,434,12019,7802,247808,4530,169111
6, 60- 70,728,15908,434,12019,7805,247808,4532,169111
7, 70- 80,859,16767,434,12019,7825,247808,4554,169111
8, 80- 90,1062,17829,439,12019,7870,247808,4578,169111
9, 90-100,697,18526,439,12019,7894,247808,4595,169111
10,100-110,3183,21709,439,12019,7920,247808,4624,169111
11,110-120,3088,24797,439,12019,7937,247808,4636,169111
12,120-130,2017,26814,443,12019,7989,247808,4669,169111
13,130-140,1782,28596,443,12019,8007,247808,4692,169111
14,140-150,698,29294,443,12019,8007,247808,4692,169111
15,150-160,484,29778,443,12019,8011,247808,4696,169111
16,160-170,829,30607,443,12019,8011,247808,4696,169111
17,170-180,1154,31761,443,12019,8011,247808,4701,169111
18,180-190,895,32656,443,12019,8011,247808,4705,169111
19,190-200,1622,34278,443,12019,8016,247808,4712,169111
20,200-210,933,35211,443,12019,8016,247808,4713,169111
21,210-220,779,35990,443,12019,8040,247808,4729,169111
22,220-230,1365,37355,444,12019,8044,247808,4730,169111
23,230-240,1182,38537,444,12019,8044,247808,4730,169111
24,240-250,1086,39623,444,12019,8051,247808,4736,169111
25,250-260,1227,40850,444,12019,8052,247808,4739,169111
26,260-270,1045,41895,444,12019,8058,247808,4748,169111
27,270-280,1058,42953,444,12019,8085,247808,4765,169111
28,280-290,1074,44027,445,12019,8101,247808,4775,169111
29,290-300,1193,45220,445,12019,8107,247808,4778,169111
30,300-310,862,46082,445,12019,8109,247808,4782,169111
31,310-320,495,46577,445,12019,8110,247808,4785,169111
32,320-330,408,46985,445,12019,8111,247808,4786,169111
33,330-340,489,47474,445,12019,8111,247808,4788,169111
34,340-350,526,48000,445,12019,8152,247808,4815,169111
35,350-360,652,48652,447,12019,8194,247808,4834,169111
36,360-370,681,49333,447,12019,8196,247808,4835,169111
37,370-380,549,49882,447,12019,8196,247808,4835,169111
38,380-390,957,50839,447,12019,8196,247808,4835,169111
39,390-400,501,51340,447,12019,8196,247808,4835,169111
40,400-410,768,52108,447,12019,8196,247808,4835,169111
41,410-420,817,52925,447,12019,8196,247808,4837,169111
42,420-430,600,53525,447,12019,8196,247808,4837,169111
43,430-440,881,54406,447,12019,8206,247808,4841,169111
44,440-450,1218,55624,450,12019,8233,247808,4849,169111
45,450-460,958,56582,451,12019,8253,247808,4875,169111
46,460-470,425,57007,451,12019,8256,247808,4876,169111
47,470-480,469,57476,451,12019,8259,247808,4877,169111
48,480-490,785,58261,452,12019,8293,247808,4900,169111
49,490-500,640,58901,452,12019,8299,247808,4907,169111
50,500-510,664,59565,455,12019,8345,247808,4940,169111
51,510-520,387,59952,455,12019,8345,247808,4940,169111
52,520-530,462,60414,455,12019,8351,247808,4946,169111
53,530-540,829,61243,455,12019,8352,247808,4948,169111
54,540-550,648,61891,455,12019,8356,247808,4949,169111
55,550-560,755,62646,455,12019,8356,247808,4949,169111
56,560-570,803,63449,455,12019,8370,247808,4954,169111
57,570-580,642,64091,455,12019,8370,247808,4954,169111
58,580-590,454,64545,455,12019,8370,247808,4957,169111
59,590-600,650,65195,455,12019,8370,247808,4957,169111
60,600-610,527,65722,455,12019,8370,247808,4957,169111
61,610-620,621,66343,457,12019,8405,247808,4974,169111
62,620-630,759,67102,459,12019,8480,247808,4994,169111
63,630-640,669,67771,459,12019,8503,247808,5009,169111
64,640-650,1127,68898,459,12019,8503,247808,5009,169111
65,650-660,1074,69972,459,12019,8503,247808,5009,169111
66,660-670,315,70287,459,12019,8503,247808,5009,169111
67,670-680,867,71154,459,12019,8503,247808,5012,169111
68,680-690,768,71922,459,12019,8503,247808,5012,169111
69,690-700,755,72677,459,12019,8503,247808,5013,169111
70,700-710,387,73064,459,12019,8504,247808,5017,169111
71,710-720,580,73644,459,12019,8504,247808,5017,169111
72,720-730,518,74162,459,12019,8504,247808,5017,169111
73,730-740,1144,75306,459,12019,8504,247808,5017,169111
74,740-750,931,76237,459,12019,8504,247808,5017,169111
75,750-760,614,76851,459,12019,8504,247808,5019,169111
76,760-770,500,77351,459,12019,8528,247808,5039,169111
77,770-780,447,77798,459,12019,8528,247808,5039,169111
78,780-790,463,78261,459,12019,8528,247808,5039,169111
79,790-800,693,78954,459,12019,8529,247808,5041,169111
80,800-810,351,79305,459,12019,8529,247808,5041,169111
81,810-820,264,79569,459,12019,8529,247808,5041,169111
82,820-830,519,80088,459,12019,8529,247808,5042,169111
83,830-840,507,80595,459,12019,8529,247808,5042,169111
84,840-850,489,81084,459,12019,8539,247808,5049,169111
85,850-860,568,81652,460,12019,8573,247808,5060,169111
86,860-870,531,82183,460,12019,8573,247808,5060,169111
87,870-880,509,82692,460,12019,8574,247808,5062,169111
88,880-890,551,83243,460,12019,8574,247808,5062,169111
89,890-900,739,83982,504,12019,9283,247808,5377,169111
90,900-910,608,84590,505,12019,9327,247808,5390,169111
91,910-920,699,85289,505,12019,9328,247808,5392,169111
92,920-930,499,85788,505,12019,9328,247808,5392,169111
93,930-940,439,86227,505,12019,9328,247808,5392,169111
94,940-950,725,86952,559,12019,9637,247808,5520,169111
95,950-960,486,87438,559,12019,9646,247808,5526,169111
96,960-970,604,88042,561,12019,9668,247808,5534,169111
97,970-980,534,88576,561,12019,9668,247808,5534,169111
98,980-990,473,89049,561,12019,9668,247808,5534,169111
99,990-1000,256,89305,561,12019,9668,247808,5534,169111
100,1000-1010,335,89640,563,12019,9681,247808,5541,169111
101,1010-1020,463,90103,563,12019,9681,247808,5541,169111
102,1020-1030,524,90627,566,12019,9698,247808,5546,169111
103,1030-1040,535,91162,566,12019,9720,247808,5556,169111
104,1040-1050,363,91525,567,12019,9776,247808,5577,169111
105,1050-1060,310,91835,568,12019,9807,247808,5607,169111
106,1060-1070,458,92293,568,12019,9807,247808,5607,169111
107,1070-1080,1392,93685,585,12019,10409,247808,5953,169111
108,1080-1090,1325,95010,590,12019,10475,247808,5991,169111
109,1090-1100,897,95907,590,12019,10475,247808,5992,169111
110,1100-1110,385,96292,590,12019,10487,247808,6005,169111
111,1110-1120,349,96641,590,12019,10488,247808,6006,169111
112,1120-1130,600,97241,590,12019,10490,247808,6009,169111
113,1130-1140,815,98056,590,12019,10491,247808,6010,169111
114,1140-1150,704,98760,590,12019,10491,247808,6013,169111
115,1150-1160,407,99167,590,12019,10491,247808,6013,169111
116,1160-1170,415,99582,590,12019,10495,247808,6014,169111
117,1170-1180,464,100046,590,12019,10496,247808,6017,169111
