frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,6701,6701,411,3632,-1,-1,5223,72602
1, 10- 20,3199,9900,412,3632,-1,-1,5446,72602
2, 20- 30,2361,12261,416,3632,-1,-1,5546,72602
3, 30- 40,1883,14144,418,3632,-1,-1,5584,72602
4, 40- 50,2613,16757,431,3632,-1,-1,5746,72602
5, 50- 60,3825,20582,432,3632,-1,-1,5770,72602
6, 60- 70,1521,22103,433,3632,-1,-1,5800,72602
7, 70- 80,1711,23814,434,3632,-1,-1,5810,72602
8, 80- 90,346,24160,434,3632,-1,-1,5816,72602
9, 90-100,1224,25384,434,3632,-1,-1,5824,72602
10,100-110,1667,27051,434,3632,-1,-1,5857,72602
11,110-120,959,28010,436,3632,-1,-1,5905,72602
12,120-130,835,28845,436,3632,-1,-1,5906,72602
13,130-140,1328,30173,436,3632,-1,-1,5910,72602
14,140-150,306,30479,436,3632,-1,-1,5910,72602
15,150-160,499,30978,436,3632,-1,-1,5911,72602
16,160-170,377,31355,436,3632,-1,-1,5911,72602
17,170-180,1070,32425,436,3632,-1,-1,5917,72602
18,180-190,1554,33979,436,3632,-1,-1,5939,72602
19,190-200,1198,35177,436,3632,-1,-1,5941,72602
20,200-210,1219,36396,436,3632,-1,-1,5943,72602
21,210-220,1306,37702,436,3632,-1,-1,5945,72602
22,220-230,867,38569,437,3632,-1,-1,5959,72602
23,230-240,936,39505,437,3632,-1,-1,5962,72602
24,240-250,688,40193,437,3632,-1,-1,5968,72602
25,250-260,689,40882,437,3632,-1,-1,5972,72602
26,260-270,671,41553,446,3632,-1,-1,6037,72602
27,270-280,1185,42738,446,3632,-1,-1,6041,72602
28,280-290,674,43412,446,3632,-1,-1,6043,72602
29,290-300,827,44239,446,3632,-1,-1,6044,72602
30,300-310,770,45009,446,3632,-1,-1,6051,72602
31,310-320,494,45503,446,3632,-1,-1,6052,72602
32,320-330,625,46128,446,3632,-1,-1,6052,72602
33,330-340,1200,47328,446,3632,-1,-1,6053,72602
34,340-350,1200,48528,446,3632,-1,-1,6053,72602
35,350-360,1005,49533,446,3632,-1,-1,6053,72602
36,360-370,659,50192,446,3632,-1,-1,6055,72602
37,370-380,716,50908,446,3632,-1,-1,6058,72602
38,380-390,767,51675,446,3632,-1,-1,6065,72602
39,390-400,468,52143,447,3632,-1,-1,6078,72602
40,400-410,547,52690,447,3632,-1,-1,6078,72602
41,410-420,1891,54581,447,3632,-1,-1,6098,72602
42,420-430,423,55004,447,3632,-1,-1,6098,72602
43,430-440,456,55460,447,3632,-1,-1,6098,72602
44,440-450,415,55875,448,3632,-1,-1,6115,72602
45,450-460,331,56206,448,3632,-1,-1,6115,72602
46,460-470,334,56540,448,3632,-1,-1,6115,72602
47,470-480,737,57277,448,3632,-1,-1,6115,72602
48,480-490,768,58045,448,3632,-1,-1,6115,72602
49,490-500,845,58890,448,3632,-1,-1,6115,72602
50,500-510,730,59620,448,3632,-1,-1,6115,72602
51,510-520,470,60090,448,3632,-1,-1,6123,72602
52,520-530,928,61018,448,3632,-1,-1,6124,72602
53,530-540,788,61806,448,3632,-1,-1,6129,72602
54,540-550,547,62353,456,3632,-1,-1,6198,72602
55,550-560,669,63022,467,3632,-1,-1,6318,72602
56,560-570,499,63521,467,3632,-1,-1,6318,72602
57,570-580,263,63784,467,3632,-1,-1,6318,72602
58,580-590,379,64163,467,3632,-1,-1,6318,72602
59,590-600,416,64579,467,3632,-1,-1,6318,72602
60,600-610,538,65117,467,3632,-1,-1,6318,72602
61,610-620,378,65495,467,3632,-1,-1,6319,72602
62,620-630,465,65960,467,3632,-1,-1,6336,72602
63,630-640,447,66407,467,3632,-1,-1,6339,72602
64,640-650,607,67014,467,3632,-1,-1,6339,72602
65,650-660,717,67731,467,3632,-1,-1,6339,72602
66,660-670,350,68081,467,3632,-1,-1,6340,72602
67,670-680,795,68876,469,3632,-1,-1,6349,72602
68,680-690,854,69730,469,3632,-1,-1,6349,72602
69,690-700,686,70416,469,3632,-1,-1,6349,72602
70,700-710,787,71203,469,3632,-1,-1,6349,72602
71,710-720,928,72131,531,3632,-1,-1,6601,72602
72,720-730,999,73130,531,3632,-1,-1,6604,72602
73,730-740,680,73810,531,3632,-1,-1,6604,72602
74,740-750,279,74089,531,3632,-1,-1,6604,72602
75,750-760,669,74758,534,3632,-1,-1,6679,72602
76,760-770,668,75426,534,3632,-1,-1,6679,72602
77,770-780,618,76044,534,3632,-1,-1,6679,72602
78,780-790,900,76944,534,3632,-1,-1,6685,72602
79,790-800,735,77679,534,3632,-1,-1,6686,72602
80,800-810,788,78467,534,3632,-1,-1,6686,72602
81,810-820,803,79270,534,3632,-1,-1,6686,72602
82,820-830,421,79691,534,3632,-1,-1,6686,72602
83,830-840,199,79890,534,3632,-1,-1,6686,72602
84,840-850,402,80292,535,3632,-1,-1,6700,72602
85,850-860,515,80807,535,3632,-1,-1,6701,72602
86,860-870,685,81492,537,3632,-1,-1,6736,72602
87,870-880,493,81985,537,3632,-1,-1,6736,72602
88,880-890,324,82309,537,3632,-1,-1,6736,72602
89,890-900,342,82651,537,3632,-1,-1,6736,72602
90,900-910,334,82985,537,3632,-1,-1,6739,72602
91,910-920,449,83434,537,3632,-1,-1,6739,72602
92,920-930,365,83799,537,3632,-1,-1,6739,72602
93,930-940,191,83990,537,3632,-1,-1,6739,72602
94,940-950,755,84745,537,3632,-1,-1,6739,72602
95,950-960,556,85301,537,3632,-1,-1,6739,72602
96,960-970,493,85794,537,3632,-1,-1,6739,72602
97,970-980,299,86093,537,3632,-1,-1,6739,72602
98,980-990,91,86184,537,3632,-1,-1,6739,72602
99,990-1000,431,86615,537,3632,-1,-1,6742,72602
100,1000-1010,395,87010,537,3632,-1,-1,6742,72602
101,1010-1020,291,87301,537,3632,-1,-1,6742,72602
102,1020-1030,221,87522,537,3632,-1,-1,6742,72602
103,1030-1040,278,87800,537,3632,-1,-1,6742,72602
104,1040-1050,416,88216,537,3632,-1,-1,6743,72602
105,1050-1060,303,88519,537,3632,-1,-1,6743,72602
106,1060-1070,772,89291,537,3632,-1,-1,6743,72602
107,1070-1080,480,89771,537,3632,-1,-1,6744,72602
108,1080-1090,468,90239,538,3632,-1,-1,6768,72602
109,1090-1100,746,90985,538,3632,-1,-1,6790,72602
110,1100-1110,2029,93014,604,3632,-1,-1,7605,72602
111,1110-1120,791,93805,604,3632,-1,-1,7605,72602
112,1120-1130,539,94344,604,3632,-1,-1,7605,72602
113,1130-1140,1208,95552,609,3632,-1,-1,7667,72602
114,1140-1150,676,96228,609,3632,-1,-1,7667,72602
115,1150-1160,369,96597,609,3632,-1,-1,7667,72602
116,1160-1170,623,97220,609,3632,-1,-1,7667,72602
117,1170-1180,743,97963,609,3632,-1,-1,7667,72602
118,1180-1190,513,98476,609,3632,-1,-1,7667,72602
119,1190-1200,276,98752,609,3632,-1,-1,7667,72602
120,1200-1210,279,99031,609,3632,-1,-1,7667,72602
121,1210-1220,633,99664,609,3632,-1,-1,7667,72602
122,1220-1230,375,100039,609,3632,-1,-1,7669,72602
123,1230-1240,439,100478,609,3632,-1,-1,7669,72602
124,1240-1250,386,100864,609,3632,-1,-1,7675,72602
125,1250-1260,1963,102827,614,3632,-1,-1,7780,72602
126,1260-1270,1212,104039,614,3632,-1,-1,7784,72602
127,1270-1280,749,104788,614,3632,-1,-1,7800,72602
128,1280-1290,452,105240,614,3632,-1,-1,7800,72602
129,1290-1300,327,105567,614,3632,-1,-1,7800,72602
130,1300-1310,292,105859,614,3632,-1,-1,7800,72602
131,1310-1320,385,106244,614,3632,-1,-1,7800,72602
132,1320-1330,306,106550,614,3632,-1,-1,7800,72602
133,1330-1340,692,107242,615,3632,-1,-1,7870,72602
134,1340-1350,513,107755,615,3632,-1,-1,7871,72602
135,1350-1360,478,108233,615,3632,-1,-1,7871,72602
136,1360-1370,496,108729,617,3632,-1,-1,7880,72602
137,1370-1380,269,108998,617,3632,-1,-1,7880,72602
138,1380-1390,109,109107,617,3632,-1,-1,7880,72602
139,1390-1400,139,109246,617,3632,-1,-1,7880,72602
140,1400-1410,232,109478,617,3632,-1,-1,7880,72602
141,1410-1420,161,109639,617,3632,-1,-1,7880,72602
142,1420-1430,148,109787,618,3632,-1,-1,7915,72602
143,1430-1440,263,110050,618,3632,-1,-1,7916,72602
144,1440-1450,0,110050,618,3632,-1,-1,7916,72602
