frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,4904,4904,297,1542,-1,-1,6706,37837
1, 10- 20,2556,7460,374,1542,-1,-1,8594,37837
2, 20- 30,2074,9534,387,1542,-1,-1,9647,37837
3, 30- 40,2094,11628,401,1542,-1,-1,10834,37837
4, 40- 50,1017,12645,402,1542,-1,-1,10976,37837
5, 50- 60,1376,14021,406,1542,-1,-1,11177,37837
6, 60- 70,27,14048,406,1542,-1,-1,11177,37837
7, 70- 80,12,14060,406,1542,-1,-1,11177,37837
8, 80- 90,56,14116,406,1542,-1,-1,11179,37837
9, 90-100,33,14149,406,1542,-1,-1,11179,37837
10,100-110,9,14158,406,1542,-1,-1,11179,37837
11,110-120,7,14165,406,1542,-1,-1,11179,37837
12,120-130,15,14180,406,1542,-1,-1,11179,37837
13,130-140,4,14184,406,1542,-1,-1,11180,37837
14,140-150,9,14193,406,1542,-1,-1,11180,37837
15,150-160,164,14357,406,1542,-1,-1,11203,37837
16,160-170,183,14540,406,1542,-1,-1,11213,37837
17,170-180,114,14654,406,1542,-1,-1,11214,37837
18,180-190,62,14716,406,1542,-1,-1,11214,37837
19,190-200,8,14724,406,1542,-1,-1,11222,37837
20,200-210,214,14938,408,1542,-1,-1,11252,37837
21,210-220,23,14961,408,1542,-1,-1,11252,37837
22,220-230,21,14982,408,1542,-1,-1,11256,37837
23,230-240,2,14984,408,1542,-1,-1,11256,37837
24,240-250,3,14987,408,1542,-1,-1,11256,37837
25,250-260,49,15036,408,1542,-1,-1,11260,37837
26,260-270,6,15042,408,1542,-1,-1,11260,37837
27,270-280,32,15074,408,1542,-1,-1,11262,37837
28,280-290,3,15077,408,1542,-1,-1,11262,37837
29,290-300,5,15082,408,1542,-1,-1,11262,37837
30,300-310,5,15087,408,1542,-1,-1,11262,37837
31,310-320,1,15088,408,1542,-1,-1,11262,37837
32,320-330,12,15100,408,1542,-1,-1,11262,37837
33,330-340,8,15108,408,1542,-1,-1,11262,37837
34,340-350,1,15109,408,1542,-1,-1,11262,37837
35,350-360,3,15112,408,1542,-1,-1,11262,37837
36,360-370,0,15112,408,1542,-1,-1,11262,37837
37,370-380,1,15113,408,1542,-1,-1,11262,37837
38,380-390,6,15119,408,1542,-1,-1,11262,37837
39,390-400,3,15122,408,1542,-1,-1,11262,37837
40,400-410,6,15128,408,1542,-1,-1,11262,37837
41,410-420,1,15129,408,1542,-1,-1,11262,37837
42,420-430,8,15137,408,1542,-1,-1,11262,37837
43,430-440,2,15139,408,1542,-1,-1,11262,37837
44,440-450,3,15142,408,1542,-1,-1,11262,37837
45,450-460,22,15164,408,1542,-1,-1,11262,37837
46,460-470,2,15166,408,1542,-1,-1,11262,37837
47,470-480,13,15179,408,1542,-1,-1,11262,37837
48,480-490,6,15185,408,1542,-1,-1,11262,37837
49,490-500,1,15186,408,1542,-1,-1,11262,37837
50,500-510,0,15186,408,1542,-1,-1,11262,37837
51,510-520,2,15188,408,1542,-1,-1,11262,37837
52,520-530,1,15189,408,1542,-1,-1,11262,37837
53,530-540,0,15189,408,1542,-1,-1,11262,37837
54,540-550,5,15194,408,1542,-1,-1,11262,37837
55,550-560,3,15197,408,1542,-1,-1,11262,37837
56,560-570,0,15197,408,1542,-1,-1,11262,37837
57,570-580,1,15198,408,1542,-1,-1,11262,37837
58,580-590,0,15198,408,1542,-1,-1,11262,37837
59,590-600,8,15206,408,1542,-1,-1,11262,37837
60,600-610,0,15206,408,1542,-1,-1,11262,37837
61,610-620,0,15206,408,1542,-1,-1,11262,37837
62,620-630,1,15207,408,1542,-1,-1,11262,37837
63,630-640,1,15208,408,1542,-1,-1,11262,37837
64,640-650,0,15208,408,1542,-1,-1,11262,37837
65,650-660,0,15208,408,1542,-1,-1,11262,37837
66,660-670,71,15279,408,1542,-1,-1,11262,37837
67,670-680,4,15283,408,1542,-1,-1,11263,37837
68,680-690,3,15286,408,1542,-1,-1,11263,37837
69,690-700,4,15290,408,1542,-1,-1,11263,37837
70,700-710,0,15290,408,1542,-1,-1,11263,37837
71,710-720,3,15293,408,1542,-1,-1,11263,37837
72,720-730,8,15301,408,1542,-1,-1,11263,37837
73,730-740,5,15306,408,1542,-1,-1,11263,37837
74,740-750,1,15307,408,1542,-1,-1,11263,37837
75,750-760,1,15308,408,1542,-1,-1,11263,37837
76,760-770,1,15309,408,1542,-1,-1,11263,37837
77,770-780,0,15309,408,1542,-1,-1,11263,37837
78,780-790,0,15309,408,1542,-1,-1,11263,37837
79,790-800,9,15318,408,1542,-1,-1,11263,37837
80,800-810,0,15318,408,1542,-1,-1,11263,37837
81,810-820,0,15318,408,1542,-1,-1,11263,37837
82,820-830,0,15318,408,1542,-1,-1,11263,37837
83,830-840,0,15318,408,1542,-1,-1,11263,37837
84,840-850,0,15318,408,1542,-1,-1,11263,37837
85,850-860,1,15319,408,1542,-1,-1,11263,37837
86,860-870,0,15319,408,1542,-1,-1,11263,37837
87,870-880,0,15319,408,1542,-1,-1,11263,37837
88,880-890,2,15321,408,1542,-1,-1,11263,37837
89,890-900,528,15849,431,1542,-1,-1,11627,37837
90,900-910,211,16060,431,1542,-1,-1,11629,37837
91,910-920,220,16280,431,1542,-1,-1,11630,37837
92,920-930,25,16305,431,1542,-1,-1,11630,37837
93,930-940,191,16496,431,1542,-1,-1,11631,37837
94,940-950,23,16519,431,1542,-1,-1,11631,37837
95,950-960,30,16549,431,1542,-1,-1,11631,37837
96,960-970,11,16560,431,1542,-1,-1,11631,37837
97,970-980,14,16574,431,1542,-1,-1,11631,37837
98,980-990,25,16599,431,1542,-1,-1,11631,37837
99,990-1000,7,16606,431,1542,-1,-1,11631,37837
100,1000-1010,3,16609,431,1542,-1,-1,11631,37837
101,1010-1020,3,16612,431,1542,-1,-1,11631,37837
102,1020-1030,1,16613,431,1542,-1,-1,11631,37837
103,1030-1040,0,16613,431,1542,-1,-1,11631,37837
104,1040-1050,2,16615,431,1542,-1,-1,11631,37837
105,1050-1060,2,16617,431,1542,-1,-1,11631,37837
106,1060-1070,3,16620,431,1542,-1,-1,11631,37837
107,1070-1080,0,16620,431,1542,-1,-1,11631,37837
108,1080-1090,4,16624,431,1542,-1,-1,11631,37837
109,1090-1100,0,16624,431,1542,-1,-1,11631,37837
110,1100-1110,2,16626,431,1542,-1,-1,11631,37837
111,1110-1120,11,16637,431,1542,-1,-1,11631,37837
112,1120-1130,1,16638,431,1542,-1,-1,11631,37837
113,1130-1140,2,16640,431,1542,-1,-1,11631,37837
114,1140-1150,0,16640,431,1542,-1,-1,11631,37837
115,1150-1160,2,16642,431,1542,-1,-1,11632,37837
116,1160-1170,0,16642,431,1542,-1,-1,11632,37837
117,1170-1180,0,16642,431,1542,-1,-1,11632,37837
118,1180-1190,0,16642,431,1542,-1,-1,11632,37837
119,1190-1200,2,16644,431,1542,-1,-1,11632,37837
120,1200-1210,10,16654,431,1542,-1,-1,11632,37837
121,1210-1220,4,16658,431,1542,-1,-1,11632,37837
122,1220-1230,0,16658,431,1542,-1,-1,11632,37837
