frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,3990,3990,253,12019,6968,247808,4405,169111
1, 10- 20,2849,6839,334,12019,10215,247808,7362,169111
2, 20- 30,4049,10888,370,12019,11675,247808,8400,169111
3, 30- 40,565,11453,370,12019,11931,247808,8633,169111
4, 40- 50,618,12071,370,12019,12004,247808,8680,169111
5, 50- 60,940,13011,377,12019,12365,247808,8978,169111
6, 60- 70,1433,14444,378,12019,12850,247808,9273,169111
7, 70- 80,57,14501,378,12019,12851,247808,9274,169111
8, 80- 90,152,14653,378,12019,12873,247808,9283,169111
9, 90-100,40,14693,378,12019,12873,247808,9283,169111
10,100-110,33,14726,378,12019,12877,247808,9285,169111
11,110-120,31,14757,378,12019,12877,247808,9285,169111
12,120-130,33,14790,378,12019,12877,247808,9285,169111
13,130-140,140,14930,379,12019,12982,247808,9339,169111
14,140-150,21,14951,379,12019,12983,247808,9340,169111
15,150-160,12,14963,379,12019,12983,247808,9341,169111
16,160-170,13,14976,379,12019,12983,247808,9341,169111
17,170-180,24,15000,379,12019,12983,247808,9341,169111
18,180-190,18,15018,379,12019,12984,247808,9342,169111
19,190-200,14,15032,379,12019,12984,247808,9342,169111
20,200-210,16,15048,379,12019,12984,247808,9342,169111
21,210-220,4,15052,379,12019,12988,247808,9346,169111
22,220-230,9,15061,379,12019,12988,247808,9346,169111
23,230-240,107,15168,379,12019,13011,247808,9362,169111
24,240-250,187,15355,379,12019,13012,247808,9364,169111
25,250-260,110,15465,387,12019,13244,247808,9482,169111
26,260-270,49,15514,391,12019,13379,247808,9554,169111
27,270-280,3,15517,391,12019,13379,247808,9554,169111
28,280-290,12,15529,391,12019,13379,247808,9554,169111
29,290-300,14,15543,391,12019,13379,247808,9556,169111
30,300-310,361,15904,391,12019,13380,247808,9558,169111
31,310-320,50,15954,391,12019,13380,247808,9561,169111
32,320-330,9,15963,391,12019,13380,247808,9562,169111
33,330-340,5,15968,391,12019,13380,247808,9562,169111
34,340-350,3,15971,391,12019,13380,247808,9562,169111
35,350-360,12,15983,391,12019,13380,247808,9563,169111
36,360-370,10,15993,391,12019,13380,247808,9563,169111
37,370-380,6,15999,391,12019,13380,247808,9563,169111
38,380-390,12,16011,391,12019,13380,247808,9563,169111
39,390-400,10,16021,391,12019,13380,247808,9563,169111
40,400-410,39,16060,391,12019,13380,247808,9563,169111
41,410-420,9,16069,391,12019,13380,247808,9563,169111
42,420-430,10,16079,391,12019,13380,247808,9563,169111
43,430-440,8,16087,391,12019,13380,247808,9563,169111
44,440-450,2,16089,391,12019,13380,247808,9563,169111
45,450-460,5,16094,391,12019,13380,247808,9563,169111
46,460-470,8,16102,391,12019,13380,247808,9563,169111
47,470-480,6,16108,391,12019,13380,247808,9563,169111
48,480-490,5,16113,391,12019,13380,247808,9563,169111
49,490-500,8,16121,391,12019,13380,247808,9564,169111
50,500-510,5,16126,391,12019,13380,247808,9565,169111
51,510-520,7,16133,391,12019,13380,247808,9565,169111
52,520-530,4,16137,391,12019,13380,247808,9565,169111
53,530-540,3,16140,391,12019,13380,247808,9565,169111
54,540-550,7,16147,391,12019,13380,247808,9565,169111
55,550-560,25,16172,391,12019,13380,247808,9565,169111
56,560-570,4,16176,391,12019,13380,247808,9565,169111
57,570-580,18,16194,391,12019,13380,247808,9565,169111
58,580-590,3,16197,391,12019,13380,247808,9565,169111
59,590-600,7,16204,391,12019,13380,247808,9565,169111
60,600-610,4,16208,391,12019,13380,247808,9565,169111
61,610-620,5,16213,391,12019,13380,247808,9565,169111
62,620-630,3,16216,391,12019,13380,247808,9565,169111
63,630-640,15,16231,391,12019,13380,247808,9565,169111
64,640-650,3,16234,391,12019,13380,247808,9565,169111
65,650-660,2,16236,391,12019,13380,247808,9565,169111
66,660-670,5,16241,391,12019,13380,247808,9565,169111
67,670-680,0,16241,391,12019,13380,247808,9565,169111
68,680-690,14,16255,391,12019,13380,247808,9565,169111
69,690-700,2,16257,391,12019,13380,247808,9565,169111
70,700-710,4,16261,391,12019,13380,247808,9565,169111
71,710-720,8,16269,391,12019,13380,247808,9565,169111
72,720-730,5,16274,391,12019,13380,247808,9565,169111
73,730-740,0,16274,391,12019,13380,247808,9565,169111
74,740-750,7,16281,391,12019,13380,247808,9565,169111
75,750-760,3,16284,391,12019,13380,247808,9565,169111
76,760-770,6,16290,391,12019,13380,247808,9565,169111
77,770-780,2,16292,391,12019,13380,247808,9565,169111
78,780-790,1,16293,391,12019,13380,247808,9566,169111
79,790-800,9,16302,391,12019,13380,247808,9566,169111
80,800-810,2,16304,391,12019,13380,247808,9566,169111
81,810-820,4,16308,391,12019,13380,247808,9566,169111
82,820-830,4,16312,391,12019,13380,247808,9566,169111
83,830-840,13,16325,391,12019,13380,247808,9567,169111
84,840-850,8,16333,391,12019,13380,247808,9567,169111
85,850-860,2,16335,391,12019,13380,247808,9567,169111
86,860-870,6,16341,391,12019,13380,247808,9568,169111
87,870-880,6,16347,391,12019,13380,247808,9568,169111
88,880-890,4,16351,391,12019,13380,247808,9568,169111
89,890-900,8,16359,391,12019,13396,247808,9576,169111
90,900-910,7,16366,391,12019,13396,247808,9576,169111
91,910-920,2,16368,391,12019,13396,247808,9576,169111
92,920-930,1,16369,391,12019,13396,247808,9576,169111
93,930-940,3,16372,391,12019,13396,247808,9576,169111
94,940-950,2,16374,391,12019,13396,247808,9576,169111
95,950-960,16,16390,391,12019,13396,247808,9576,169111
96,960-970,2,16392,391,12019,13396,247808,9576,169111
97,970-980,3,16395,391,12019,13396,247808,9576,169111
98,980-990,4,16399,391,12019,13396,247808,9576,169111
99,990-1000,1,16400,391,12019,13396,247808,9576,169111
100,1000-1010,2,16402,391,12019,13396,247808,9576,169111
101,1010-1020,12,16414,391,12019,13396,247808,9576,169111
102,1020-1030,1,16415,391,12019,13396,247808,9576,169111
103,1030-1040,2,16417,391,12019,13396,247808,9576,169111
104,1040-1050,1,16418,391,12019,13396,247808,9576,169111
105,1050-1060,4,16422,391,12019,13396,247808,9576,169111
106,1060-1070,13,16435,391,12019,13396,247808,9576,169111
107,1070-1080,4,16439,391,12019,13396,247808,9576,169111
108,1080-1090,4,16443,391,12019,13396,247808,9576,169111
109,1090-1100,2,16445,391,12019,13396,247808,9576,169111
110,1100-1110,1,16446,391,12019,13396,247808,9576,169111
111,1110-1120,0,16446,391,12019,13396,247808,9576,169111
112,1120-1130,0,16446,391,12019,13396,247808,9576,169111
113,1130-1140,1,16447,391,12019,13396,247808,9576,169111
114,1140-1150,0,16447,391,12019,13396,247808,9576,169111
115,1150-1160,5,16452,391,12019,13396,247808,9576,169111
116,1160-1170,3,16455,391,12019,13396,247808,9576,169111
117,1170-1180,1,16456,391,12019,13396,247808,9576,169111
118,1180-1190,4,16460,391,12019,13396,247808,9578,169111
119,1190-1200,3,16463,391,12019,13396,247808,9578,169111
120,1200-1210,2,16465,391,12019,13396,247808,9578,169111
121,1210-1220,3,16468,391,12019,13396,247808,9578,169111
122,1220-1230,1,16469,391,12019,13396,247808,9578,169111
123,1230-1240,2,16471,391,12019,13396,247808,9578,169111
124,1240-1250,0,16471,391,12019,13396,247808,9578,169111
125,1250-1260,3,16474,391,12019,13396,247808,9578,169111
126,1260-1270,5,16479,391,12019,13396,247808,9578,169111
127,1270-1280,5,16484,391,12019,13396,247808,9578,169111
128,1280-1290,2,16486,391,12019,13396,247808,9578,169111
129,1290-1300,3,16489,391,12019,13396,247808,9578,169111
130,1300-1310,35,16524,393,12019,13439,247808,9611,169111
131,1310-1320,0,16524,393,12019,13439,247808,9611,169111
132,1320-1330,1,16525,393,12019,13439,247808,9611,169111
133,1330-1340,0,16525,393,12019,13439,247808,9611,169111
134,1340-1350,6,16531,393,12019,13439,247808,9611,169111
135,1350-1360,19,16550,393,12019,13439,247808,9611,169111
136,1360-1370,31,16581,393,12019,13487,247808,9636,169111
137,1370-1380,5,16586,393,12019,13487,247808,9636,169111
138,1380-1390,8,16594,393,12019,13487,247808,9636,169111
139,1390-1400,5,16599,393,12019,13487,247808,9636,169111
140,1400-1410,5,16604,393,12019,13487,247808,9638,169111
141,1410-1420,1,16605,393,12019,13487,247808,9638,169111
142,1420-1430,0,16605,393,12019,13487,247808,9638,169111
143,1430-1440,6,16611,393,12019,13487,247808,9639,169111
