frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1561,1561,302,1003,-1,-1,4852,21287
1, 10- 20,62,1623,303,1003,-1,-1,4865,21287
2, 20- 30,104,1727,305,1003,-1,-1,4888,21287
3, 30- 40,305,2032,319,1003,-1,-1,5049,21287
4, 40- 50,463,2495,339,1003,-1,-1,5468,21287
5, 50- 60,753,3248,345,1003,-1,-1,5817,21287
6, 60- 70,114,3362,345,1003,-1,-1,5833,21287
7, 70- 80,782,4144,351,1003,-1,-1,6091,21287
8, 80- 90,16,4160,351,1003,-1,-1,6091,21287
9, 90-100,5,4165,351,1003,-1,-1,6093,21287
10,100-110,9,4174,351,1003,-1,-1,6093,21287
11,110-120,19,4193,351,1003,-1,-1,6093,21287
12,120-130,51,4244,351,1003,-1,-1,6108,21287
13,130-140,804,5048,354,1003,-1,-1,6238,21287
14,140-150,242,5290,356,1003,-1,-1,6453,21287
15,150-160,126,5416,356,1003,-1,-1,6500,21287
16,160-170,338,5754,369,1003,-1,-1,6738,21287
17,170-180,75,5829,369,1003,-1,-1,6740,21287
18,180-190,109,5938,369,1003,-1,-1,6747,21287
19,190-200,72,6010,369,1003,-1,-1,6755,21287
20,200-210,67,6077,369,1003,-1,-1,6757,21287
21,210-220,125,6202,370,1003,-1,-1,6783,21287
22,220-230,287,6489,371,1003,-1,-1,7310,21287
23,230-240,108,6597,371,1003,-1,-1,7315,21287
24,240-250,38,6635,371,1003,-1,-1,7317,21287
25,250-260,66,6701,371,1003,-1,-1,7318,21287
26,260-270,60,6761,371,1003,-1,-1,7320,21287
27,270-280,82,6843,371,1003,-1,-1,7324,21287
28,280-290,75,6918,371,1003,-1,-1,7324,21287
29,290-300,129,7047,371,1003,-1,-1,7339,21287
30,300-310,86,7133,371,1003,-1,-1,7341,21287
31,310-320,17,7150,371,1003,-1,-1,7341,21287
32,320-330,59,7209,371,1003,-1,-1,7341,21287
33,330-340,24,7233,371,1003,-1,-1,7344,21287
34,340-350,98,7331,372,1003,-1,-1,7348,21287
35,350-360,28,7359,372,1003,-1,-1,7348,21287
36,360-370,16,7375,372,1003,-1,-1,7358,21287
37,370-380,26,7401,372,1003,-1,-1,7358,21287
38,380-390,28,7429,372,1003,-1,-1,7358,21287
39,390-400,32,7461,372,1003,-1,-1,7358,21287
40,400-410,14,7475,372,1003,-1,-1,7361,21287
41,410-420,31,7506,372,1003,-1,-1,7361,21287
42,420-430,15,7521,372,1003,-1,-1,7361,21287
43,430-440,6,7527,372,1003,-1,-1,7362,21287
44,440-450,21,7548,372,1003,-1,-1,7362,21287
45,450-460,28,7576,372,1003,-1,-1,7362,21287
46,460-470,17,7593,372,1003,-1,-1,7362,21287
47,470-480,23,7616,372,1003,-1,-1,7362,21287
48,480-490,28,7644,372,1003,-1,-1,7362,21287
49,490-500,42,7686,372,1003,-1,-1,7362,21287
