frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1561,1561,302,1342,5847,40329,3061,24471
1, 10- 20,62,1623,303,1342,5864,40329,3070,24471
2, 20- 30,104,1727,305,1342,5903,40329,3090,24471
3, 30- 40,305,2032,319,1342,6190,40329,3228,24471
4, 40- 50,463,2495,339,1342,6762,40329,3520,24471
5, 50- 60,753,3248,345,1342,7183,40329,3776,24471
6, 60- 70,114,3362,345,1342,7211,40329,3793,24471
7, 70- 80,782,4144,351,1342,7586,40329,3994,24471
8, 80- 90,16,4160,351,1342,7586,40329,3994,24471
9, 90-100,5,4165,351,1342,7591,40329,3996,24471
10,100-110,9,4174,351,1342,7591,40329,3996,24471
11,110-120,19,4193,351,1342,7591,40329,3996,24471
12,120-130,51,4244,351,1342,7604,40329,4006,24471
13,130-140,804,5048,354,1342,7717,40329,4071,24471
14,140-150,242,5290,356,1342,7781,40329,4190,24471
15,150-160,126,5416,356,1342,7808,40329,4221,24471
16,160-170,338,5754,369,1342,8122,40329,4395,24471
17,170-180,75,5829,369,1342,8122,40329,4397,24471
18,180-190,109,5938,369,1342,8128,40329,4404,24471
19,190-200,72,6010,369,1342,8147,40329,4410,24471
20,200-210,67,6077,369,1342,8149,40329,4412,24471
21,210-220,125,6202,370,1342,8176,40329,4432,24471
22,220-230,287,6489,371,1342,8223,40329,4710,24471
23,230-240,108,6597,371,1342,8225,40329,4714,24471
24,240-250,38,6635,371,1342,8231,40329,4718,24471
25,250-260,66,6701,371,1342,8231,40329,4719,24471
26,260-270,60,6761,371,1342,8232,40329,4721,24471
27,270-280,82,6843,371,1342,8237,40329,4725,24471
28,280-290,75,6918,371,1342,8237,40329,4725,24471
29,290-300,129,7047,371,1342,8252,40329,4744,24471
30,300-310,86,7133,371,1342,8254,40329,4747,24471
31,310-320,17,7150,371,1342,8254,40329,4747,24471
32,320-330,59,7209,371,1342,8254,40329,4747,24471
33,330-340,24,7233,371,1342,8262,40329,4750,24471
34,340-350,98,7331,372,1342,8269,40329,4753,24471
35,350-360,28,7359,372,1342,8269,40329,4753,24471
36,360-370,16,7375,372,1342,8287,40329,4761,24471
37,370-380,26,7401,372,1342,8287,40329,4761,24471
38,380-390,28,7429,372,1342,8287,40329,4761,24471
39,390-400,32,7461,372,1342,8287,40329,4761,24471
40,400-410,14,7475,372,1342,8290,40329,4764,24471
41,410-420,31,7506,372,1342,8290,40329,4764,24471
42,420-430,15,7521,372,1342,8290,40329,4764,24471
43,430-440,6,7527,372,1342,8290,40329,4765,24471
44,440-450,21,7548,372,1342,8290,40329,4765,24471
45,450-460,28,7576,372,1342,8290,40329,4765,24471
46,460-470,17,7593,372,1342,8290,40329,4765,24471
47,470-480,23,7616,372,1342,8290,40329,4765,24471
48,480-490,28,7644,372,1342,8290,40329,4765,24471
49,490-500,42,7686,372,1342,8290,40329,4765,24471
50,500-510,16,7702,372,1342,8290,40329,4765,24471
51,510-520,11,7713,372,1342,8290,40329,4765,24471
52,520-530,24,7737,372,1342,8293,40329,4771,24471
53,530-540,18,7755,372,1342,8293,40329,4771,24471
54,540-550,32,7787,372,1342,8293,40329,4772,24471
