frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,1406,1406,258,889,-1,-1,3639,17735
1, 10- 20,545,1951,276,889,-1,-1,4138,17735
2, 20- 30,544,2495,277,889,-1,-1,4281,17735
3, 30- 40,398,2893,279,889,-1,-1,4537,17735
4, 40- 50,85,2978,289,889,-1,-1,4610,17735
5, 50- 60,93,3071,289,889,-1,-1,4644,17735
6, 60- 70,25,3096,289,889,-1,-1,4647,17735
7, 70- 80,37,3133,303,889,-1,-1,4776,17735
8, 80- 90,20,3153,303,889,-1,-1,4778,17735
9, 90-100,15,3168,303,889,-1,-1,4778,17735
10,100-110,10,3178,303,889,-1,-1,4782,17735
11,110-120,39,3217,303,889,-1,-1,4793,17735
12,120-130,67,3284,305,889,-1,-1,4825,17735
13,130-140,52,3336,305,889,-1,-1,4840,17735
14,140-150,11,3347,305,889,-1,-1,4840,17735
15,150-160,10,3357,306,889,-1,-1,4853,17735
16,160-170,30,3387,306,889,-1,-1,4859,17735
17,170-180,12,3399,306,889,-1,-1,4859,17735
18,180-190,13,3412,306,889,-1,-1,4859,17735
19,190-200,7,3419,306,889,-1,-1,4860,17735
20,200-210,8,3427,306,889,-1,-1,4860,17735
21,210-220,6,3433,306,889,-1,-1,4860,17735
22,220-230,6,3439,306,889,-1,-1,4860,17735
23,230-240,4,3443,306,889,-1,-1,4860,17735
24,240-250,8,3451,306,889,-1,-1,4860,17735
25,250-260,9,3460,306,889,-1,-1,4861,17735
26,260-270,5,3465,306,889,-1,-1,4861,17735
27,270-280,1,3466,306,889,-1,-1,4861,17735
28,280-290,5,3471,306,889,-1,-1,4862,17735
29,290-300,9,3480,306,889,-1,-1,4863,17735
30,300-310,8,3488,307,889,-1,-1,4871,17735
31,310-320,1,3489,307,889,-1,-1,4871,17735
32,320-330,3,3492,307,889,-1,-1,4871,17735
33,330-340,5,3497,307,889,-1,-1,4871,17735
34,340-350,2,3499,307,889,-1,-1,4871,17735
35,350-360,0,3499,307,889,-1,-1,4871,17735
36,360-370,3,3502,307,889,-1,-1,4871,17735
37,370-380,1,3503,307,889,-1,-1,4871,17735
38,380-390,1,3504,307,889,-1,-1,4871,17735
39,390-400,2,3506,307,889,-1,-1,4872,17735
40,400-410,4,3510,307,889,-1,-1,4872,17735
41,410-420,4,3514,307,889,-1,-1,4873,17735
42,420-430,1,3515,307,889,-1,-1,4873,17735
43,430-440,8,3523,307,889,-1,-1,4873,17735
44,440-450,2,3525,307,889,-1,-1,4873,17735
45,450-460,2,3527,307,889,-1,-1,4873,17735
46,460-470,3,3530,307,889,-1,-1,4873,17735
47,470-480,3,3533,307,889,-1,-1,4873,17735
48,480-490,14,3547,307,889,-1,-1,4873,17735
49,490-500,3,3550,307,889,-1,-1,4873,17735
50,500-510,5,3555,307,889,-1,-1,4874,17735
51,510-520,8,3563,307,889,-1,-1,4874,17735
52,520-530,13,3576,307,889,-1,-1,4874,17735
53,530-540,2,3578,307,889,-1,-1,4874,17735
54,540-550,2,3580,307,889,-1,-1,4874,17735
55,550-560,1,3581,307,889,-1,-1,4874,17735
56,560-570,4,3585,307,889,-1,-1,4874,17735
57,570-580,2,3587,307,889,-1,-1,4878,17735
58,580-590,1,3588,307,889,-1,-1,4878,17735
59,590-600,1,3589,307,889,-1,-1,4878,17735
60,600-610,1,3590,307,889,-1,-1,4878,17735
61,610-620,2,3592,307,889,-1,-1,4878,17735
62,620-630,0,3592,307,889,-1,-1,4878,17735
63,630-640,2,3594,307,889,-1,-1,4880,17735
64,640-650,2,3596,307,889,-1,-1,4880,17735
65,650-660,6,3602,307,889,-1,-1,4881,17735
66,660-670,1,3603,307,889,-1,-1,4881,17735
67,670-680,6,3609,307,889,-1,-1,4881,17735
68,680-690,2,3611,307,889,-1,-1,4882,17735
69,690-700,1,3612,307,889,-1,-1,4882,17735
70,700-710,2,3614,307,889,-1,-1,4882,17735
71,710-720,0,3614,307,889,-1,-1,4882,17735
72,720-730,2,3616,307,889,-1,-1,4882,17735
73,730-740,3,3619,307,889,-1,-1,4882,17735
74,740-750,8,3627,307,889,-1,-1,4882,17735
75,750-760,0,3627,307,889,-1,-1,4882,17735
76,760-770,2,3629,307,889,-1,-1,4882,17735
77,770-780,6,3635,307,889,-1,-1,4882,17735
78,780-790,1,3636,307,889,-1,-1,4882,17735
79,790-800,6,3642,307,889,-1,-1,4882,17735
80,800-810,0,3642,307,889,-1,-1,4882,17735
81,810-820,1,3643,307,889,-1,-1,4882,17735
82,820-830,4,3647,307,889,-1,-1,4882,17735
83,830-840,1,3648,307,889,-1,-1,4882,17735
84,840-850,2,3650,307,889,-1,-1,4882,17735
85,850-860,1,3651,307,889,-1,-1,4882,17735
86,860-870,3,3654,307,889,-1,-1,4882,17735
87,870-880,0,3654,307,889,-1,-1,4882,17735
88,880-890,2,3656,307,889,-1,-1,4882,17735
89,890-900,0,3656,307,889,-1,-1,4882,17735
90,900-910,2,3658,307,889,-1,-1,4882,17735
91,910-920,2,3660,307,889,-1,-1,4883,17735
92,920-930,0,3660,307,889,-1,-1,4883,17735
93,930-940,1,3661,307,889,-1,-1,4883,17735
94,940-950,1,3662,307,889,-1,-1,4883,17735
95,950-960,4,3666,307,889,-1,-1,4883,17735
96,960-970,1,3667,307,889,-1,-1,4883,17735
97,970-980,4,3671,307,889,-1,-1,4889,17735
98,980-990,0,3671,307,889,-1,-1,4889,17735
99,990-1000,2,3673,307,889,-1,-1,4889,17735
100,1000-1010,2,3675,307,889,-1,-1,4889,17735
101,1010-1020,1,3676,307,889,-1,-1,4889,17735
102,1020-1030,2,3678,307,889,-1,-1,4889,17735
103,1030-1040,0,3678,307,889,-1,-1,4889,17735
104,1040-1050,0,3678,307,889,-1,-1,4889,17735
105,1050-1060,0,3678,307,889,-1,-1,4889,17735
106,1060-1070,1,3679,307,889,-1,-1,4889,17735
107,1070-1080,0,3679,307,889,-1,-1,4889,17735
