frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,5481,5481,313,2879,4942,74917,2767,56723
1, 10- 20,2306,7787,316,2879,5154,74917,2966,56723
2, 20- 30,2255,10042,322,2879,5229,74917,3030,56723
3, 30- 40,1434,11476,323,2879,5268,74917,3053,56723
4, 40- 50,893,12369,323,2879,5275,74917,3061,56723
5, 50- 60,773,13142,326,2879,5317,74917,3083,56723
6, 60- 70,636,13778,326,2879,5320,74917,3091,56723
7, 70- 80,786,14564,326,2879,5323,74917,3091,56723
8, 80- 90,689,15253,326,2879,5341,74917,3103,56723
9, 90-100,414,15667,326,2879,5342,74917,3104,56723
10,100-110,782,16449,327,2879,5438,74917,3249,56723
11,110-120,992,17441,327,2879,5439,74917,3253,56723
12,120-130,511,17952,327,2879,5439,74917,3257,56723
13,130-140,1006,18958,340,2879,5659,74917,3390,56723
14,140-150,1133,20091,342,2879,5707,74917,3438,56723
15,150-160,808,20899,345,2879,5753,74917,3482,56723
16,160-170,1163,22062,345,2879,5753,74917,3495,56723
17,170-180,878,22940,345,2879,5753,74917,3495,56723
18,180-190,600,23540,350,2879,5945,74917,3634,56723
19,190-200,309,23849,350,2879,5952,74917,3641,56723
20,200-210,87,23936,350,2879,5952,74917,3641,56723
21,210-220,122,24058,350,2879,5952,74917,3641,56723
22,220-230,69,24127,350,2879,5952,74917,3641,56723
23,230-240,62,24189,350,2879,5952,74917,3641,56723
24,240-250,28,24217,350,2879,5952,74917,3641,56723
25,250-260,25,24242,350,2879,5952,74917,3641,56723
26,260-270,146,24388,350,2879,5952,74917,3641,56723
27,270-280,167,24555,350,2879,5952,74917,3641,56723
28,280-290,61,24616,351,2879,5966,74917,3648,56723
29,290-300,23,24639,351,2879,5966,74917,3648,56723
30,300-310,25,24664,351,2879,5966,74917,3648,56723
31,310-320,27,24691,351,2879,5966,74917,3648,56723
32,320-330,18,24709,351,2879,5966,74917,3648,56723
33,330-340,90,24799,351,2879,5966,74917,3648,56723
34,340-350,28,24827,351,2879,5966,74917,3648,56723
35,350-360,21,24848,351,2879,5966,74917,3648,56723
36,360-370,20,24868,351,2879,5966,74917,3648,56723
37,370-380,28,24896,351,2879,5966,74917,3648,56723
38,380-390,10,24906,351,2879,5966,74917,3648,56723
39,390-400,79,24985,351,2879,5966,74917,3648,56723
40,400-410,16,25001,351,2879,5966,74917,3648,56723
41,410-420,17,25018,351,2879,5966,74917,3648,56723
42,420-430,16,25034,351,2879,5966,74917,3648,56723
43,430-440,8,25042,351,2879,5966,74917,3648,56723
44,440-450,6,25048,351,2879,5966,74917,3648,56723
45,450-460,59,25107,352,2879,5989,74917,3659,56723
46,460-470,14,25121,352,2879,5989,74917,3659,56723
47,470-480,11,25132,352,2879,5989,74917,3659,56723
48,480-490,14,25146,352,2879,5989,74917,3659,56723
49,490-500,8,25154,352,2879,5989,74917,3659,56723
50,500-510,8,25162,352,2879,5989,74917,3659,56723
51,510-520,22,25184,352,2879,5989,74917,3659,56723
52,520-530,50,25234,352,2879,5989,74917,3659,56723
53,530-540,9,25243,352,2879,5989,74917,3659,56723
54,540-550,13,25256,352,2879,5989,74917,3659,56723
55,550-560,6,25262,352,2879,5989,74917,3659,56723
56,560-570,8,25270,352,2879,5989,74917,3659,56723
57,570-580,15,25285,352,2879,5989,74917,3659,56723
58,580-590,35,25320,352,2879,5989,74917,3659,56723
59,590-600,8,25328,352,2879,5989,74917,3659,56723
60,600-610,10,25338,352,2879,6004,74917,3667,56723
61,610-620,9,25347,352,2879,6004,74917,3667,56723
62,620-630,6,25353,352,2879,6004,74917,3667,56723
63,630-640,9,25362,352,2879,6004,74917,3667,56723
64,640-650,1,25363,352,2879,6004,74917,3667,56723
65,650-660,19,25382,352,2879,6004,74917,3667,56723
66,660-670,14,25396,352,2879,6004,74917,3667,56723
67,670-680,17,25413,352,2879,6004,74917,3667,56723
68,680-690,6,25419,352,2879,6004,74917,3667,56723
69,690-700,16,25435,352,2879,6004,74917,3667,56723
70,700-710,7,25442,352,2879,6004,74917,3667,56723
71,710-720,9,25451,352,2879,6004,74917,3667,56723
72,720-730,1,25452,352,2879,6004,74917,3667,56723
73,730-740,21,25473,352,2879,6004,74917,3667,56723
74,740-750,6,25479,352,2879,6004,74917,3667,56723
75,750-760,10,25489,352,2879,6004,74917,3667,56723
76,760-770,9,25498,352,2879,6004,74917,3667,56723
77,770-780,6,25504,352,2879,6004,74917,3667,56723
78,780-790,7,25511,352,2879,6004,74917,3667,56723
79,790-800,13,25524,352,2879,6004,74917,3667,56723
80,800-810,13,25537,352,2879,6005,74917,3668,56723
81,810-820,3,25540,352,2879,6005,74917,3668,56723
82,820-830,3,25543,352,2879,6005,74917,3668,56723
83,830-840,2,25545,352,2879,6005,74917,3668,56723
84,840-850,10,25555,352,2879,6005,74917,3668,56723
85,850-860,6,25561,352,2879,6005,74917,3668,56723
86,860-870,3,25564,352,2879,6005,74917,3668,56723
87,870-880,4,25568,352,2879,6005,74917,3668,56723
88,880-890,5,25573,352,2879,6005,74917,3668,56723
89,890-900,7,25580,352,2879,6005,74917,3668,56723
90,900-910,7,25587,352,2879,6005,74917,3668,56723
91,910-920,1,25588,352,2879,6005,74917,3668,56723
92,920-930,8,25596,352,2879,6005,74917,3668,56723
93,930-940,0,25596,352,2879,6005,74917,3668,56723
94,940-950,2,25598,352,2879,6005,74917,3668,56723
95,950-960,9,25607,352,2879,6005,74917,3668,56723
