frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,5470,5470,324,2787,-1,-1,3728,59467
1, 10- 20,1552,7022,325,2787,-1,-1,3781,59467
2, 20- 30,2087,9109,325,2787,-1,-1,3812,59467
3, 30- 40,1535,10644,326,2787,-1,-1,3871,59467
4, 40- 50,1109,11753,327,2787,-1,-1,3887,59467
5, 50- 60,741,12494,335,2787,-1,-1,3988,59467
6, 60- 70,894,13388,338,2787,-1,-1,4112,59467
7, 70- 80,658,14046,339,2787,-1,-1,4145,59467
8, 80- 90,728,14774,339,2787,-1,-1,4163,59467
9, 90-100,607,15381,347,2787,-1,-1,4313,59467
10,100-110,1455,16836,354,2787,-1,-1,4420,59467
11,110-120,735,17571,357,2787,-1,-1,4478,59467
12,120-130,741,18312,357,2787,-1,-1,4490,59467
13,130-140,819,19131,358,2787,-1,-1,4510,59467
14,140-150,1585,20716,365,2787,-1,-1,4748,59467
15,150-160,1427,22143,366,2787,-1,-1,4870,59467
16,160-170,1305,23448,373,2787,-1,-1,5017,59467
17,170-180,1385,24833,392,2787,-1,-1,5289,59467
18,180-190,1261,26094,395,2787,-1,-1,5415,59467
19,190-200,1146,27240,395,2787,-1,-1,5415,59467
20,200-210,937,28177,395,2787,-1,-1,5424,59467
21,210-220,76,28253,395,2787,-1,-1,5424,59467
22,220-230,110,28363,395,2787,-1,-1,5424,59467
23,230-240,114,28477,395,2787,-1,-1,5424,59467
24,240-250,38,28515,395,2787,-1,-1,5424,59467
25,250-260,47,28562,395,2787,-1,-1,5424,59467
26,260-270,37,28599,395,2787,-1,-1,5424,59467
27,270-280,47,28646,395,2787,-1,-1,5424,59467
28,280-290,106,28752,395,2787,-1,-1,5424,59467
29,290-300,221,28973,395,2787,-1,-1,5424,59467
30,300-310,331,29304,395,2787,-1,-1,5424,59467
31,310-320,17,29321,395,2787,-1,-1,5424,59467
32,320-330,20,29341,395,2787,-1,-1,5424,59467
33,330-340,26,29367,395,2787,-1,-1,5424,59467
34,340-350,59,29426,395,2787,-1,-1,5427,59467
35,350-360,14,29440,395,2787,-1,-1,5427,59467
36,360-370,16,29456,395,2787,-1,-1,5427,59467
37,370-380,82,29538,395,2787,-1,-1,5427,59467
38,380-390,15,29553,395,2787,-1,-1,5427,59467
39,390-400,5,29558,395,2787,-1,-1,5427,59467
40,400-410,58,29616,395,2787,-1,-1,5435,59467
41,410-420,23,29639,395,2787,-1,-1,5435,59467
42,420-430,13,29652,395,2787,-1,-1,5435,59467
43,430-440,13,29665,395,2787,-1,-1,5435,59467
44,440-450,143,29808,395,2787,-1,-1,5435,59467
45,450-460,28,29836,395,2787,-1,-1,5435,59467
46,460-470,21,29857,395,2787,-1,-1,5435,59467
47,470-480,14,29871,395,2787,-1,-1,5436,59467
48,480-490,16,29887,395,2787,-1,-1,5436,59467
49,490-500,2,29889,395,2787,-1,-1,5436,59467
50,500-510,6,29895,395,2787,-1,-1,5436,59467
51,510-520,18,29913,395,2787,-1,-1,5436,59467
52,520-530,15,29928,395,2787,-1,-1,5436,59467
53,530-540,25,29953,395,2787,-1,-1,5436,59467
54,540-550,11,29964,395,2787,-1,-1,5436,59467
55,550-560,6,29970,395,2787,-1,-1,5436,59467
56,560-570,4,29974,395,2787,-1,-1,5436,59467
57,570-580,50,30024,395,2787,-1,-1,5436,59467
58,580-590,7,30031,395,2787,-1,-1,5436,59467
59,590-600,14,30045,395,2787,-1,-1,5436,59467
60,600-610,11,30056,395,2787,-1,-1,5436,59467
61,610-620,3,30059,395,2787,-1,-1,5436,59467
62,620-630,5,30064,395,2787,-1,-1,5436,59467
63,630-640,5,30069,395,2787,-1,-1,5436,59467
64,640-650,3,30072,395,2787,-1,-1,5436,59467
65,650-660,9,30081,395,2787,-1,-1,5436,59467
66,660-670,20,30101,395,2787,-1,-1,5436,59467
67,670-680,5,30106,395,2787,-1,-1,5436,59467
68,680-690,6,30112,395,2787,-1,-1,5436,59467
69,690-700,6,30118,395,2787,-1,-1,5436,59467
70,700-710,7,30125,395,2787,-1,-1,5436,59467
71,710-720,9,30134,395,2787,-1,-1,5436,59467
72,720-730,2,30136,395,2787,-1,-1,5436,59467
73,730-740,11,30147,395,2787,-1,-1,5436,59467
74,740-750,5,30152,395,2787,-1,-1,5436,59467
75,750-760,10,30162,395,2787,-1,-1,5436,59467
76,760-770,10,30172,395,2787,-1,-1,5436,59467
77,770-780,4,30176,395,2787,-1,-1,5436,59467
78,780-790,9,30185,395,2787,-1,-1,5436,59467
79,790-800,19,30204,395,2787,-1,-1,5436,59467
80,800-810,7,30211,395,2787,-1,-1,5436,59467
81,810-820,131,30342,395,2787,-1,-1,5436,59467
82,820-830,52,30394,395,2787,-1,-1,5436,59467
83,830-840,0,30394,395,2787,-1,-1,5436,59467
84,840-850,21,30415,395,2787,-1,-1,5436,59467
85,850-860,5,30420,395,2787,-1,-1,5436,59467
86,860-870,5,30425,395,2787,-1,-1,5436,59467
87,870-880,8,30433,395,2787,-1,-1,5436,59467
88,880-890,17,30450,395,2787,-1,-1,5436,59467
89,890-900,6,30456,395,2787,-1,-1,5436,59467
90,900-910,7,30463,395,2787,-1,-1,5436,59467
91,910-920,7,30470,395,2787,-1,-1,5436,59467
92,920-930,41,30511,395,2787,-1,-1,5439,59467
93,930-940,6,30517,395,2787,-1,-1,5439,59467
94,940-950,2,30519,395,2787,-1,-1,5439,59467
95,950-960,5,30524,395,2787,-1,-1,5439,59467
96,960-970,16,30540,395,2787,-1,-1,5439,59467
97,970-980,13,30553,395,2787,-1,-1,5439,59467
98,980-990,3,30556,395,2787,-1,-1,5439,59467
99,990-1000,37,30593,395,2787,-1,-1,5439,59467
100,1000-1010,4,30597,395,2787,-1,-1,5439,59467
101,1010-1020,2,30599,395,2787,-1,-1,5439,59467
102,1020-1030,4,30603,395,2787,-1,-1,5439,59467
103,1030-1040,7,30610,395,2787,-1,-1,5439,59467
104,1040-1050,1,30611,395,2787,-1,-1,5439,59467
105,1050-1060,0,30611,395,2787,-1,-1,5439,59467
106,1060-1070,4,30615,395,2787,-1,-1,5439,59467
107,1070-1080,6,30621,395,2787,-1,-1,5439,59467
108,1080-1090,5,30626,395,2787,-1,-1,5439,59467
109,1090-1100,5,30631,395,2787,-1,-1,5439,59467
110,1100-1110,1,30632,395,2787,-1,-1,5439,59467
111,1110-1120,4,30636,395,2787,-1,-1,5439,59467
112,1120-1130,10,30646,395,2787,-1,-1,5450,59467
113,1130-1140,10,30656,395,2787,-1,-1,5450,59467
114,1140-1150,4,30660,395,2787,-1,-1,5450,59467
115,1150-1160,14,30674,395,2787,-1,-1,5450,59467
116,1160-1170,24,30698,395,2787,-1,-1,5450,59467
117,1170-1180,9,30707,395,2787,-1,-1,5450,59467
118,1180-1190,4,30711,395,2787,-1,-1,5450,59467
119,1190-1200,1,30712,395,2787,-1,-1,5450,59467
120,1200-1210,3,30715,395,2787,-1,-1,5450,59467
121,1210-1220,4,30719,395,2787,-1,-1,5450,59467
122,1220-1230,2,30721,395,2787,-1,-1,5450,59467
123,1230-1240,6,30727,395,2787,-1,-1,5450,59467
124,1240-1250,3,30730,395,2787,-1,-1,5450,59467
125,1250-1260,10,30740,395,2787,-1,-1,5450,59467
126,1260-1270,3,30743,395,2787,-1,-1,5450,59467
127,1270-1280,2,30745,395,2787,-1,-1,5450,59467
128,1280-1290,23,30768,396,2787,-1,-1,5466,59467
129,1290-1300,1,30769,396,2787,-1,-1,5466,59467
130,1300-1310,8,30777,396,2787,-1,-1,5466,59467
131,1310-1320,31,30808,396,2787,-1,-1,5466,59467
132,1320-1330,7,30815,396,2787,-1,-1,5466,59467
133,1330-1340,5,30820,396,2787,-1,-1,5466,59467
134,1340-1350,7,30827,396,2787,-1,-1,5466,59467
135,1350-1360,2,30829,396,2787,-1,-1,5466,59467
136,1360-1370,1,30830,396,2787,-1,-1,5466,59467
137,1370-1380,1,30831,396,2787,-1,-1,5466,59467
138,1380-1390,8,30839,396,2787,-1,-1,5466,59467
139,1390-1400,5,30844,396,2787,-1,-1,5466,59467
140,1400-1410,29,30873,396,2787,-1,-1,5466,59467
141,1410-1420,6,30879,396,2787,-1,-1,5466,59467
142,1420-1430,3,30882,396,2787,-1,-1,5466,59467
143,1430-1440,28,30910,396,2787,-1,-1,5466,59467
144,1440-1450,0,30910,396,2787,-1,-1,5466,59467
