frame,range,num_inputs,cumulative,function_covered,function_total,line_covered,line_total,branch_covered,branch_total
0,  0- 10,2554,2554,148,427,-1,-1,2473,8811
1, 10- 20,1248,3802,151,427,-1,-1,2688,8811
2, 20- 30,1829,5631,154,427,-1,-1,2849,8811
3, 30- 40,1887,7518,163,427,-1,-1,3076,8811
4, 40- 50,1057,8575,168,427,-1,-1,3305,8811
5, 50- 60,1006,9581,171,427,-1,-1,3519,8811
6, 60- 70,1503,11084,172,427,-1,-1,3611,8811
7, 70- 80,1562,12646,172,427,-1,-1,3702,8811
8, 80- 90,1104,13750,173,427,-1,-1,3757,8811
9, 90-100,1209,14959,176,427,-1,-1,3870,8811
10,100-110,1136,16095,176,427,-1,-1,3914,8811
11,110-120,1540,17635,176,427,-1,-1,3915,8811
12,120-130,1118,18753,176,427,-1,-1,3918,8811
13,130-140,1235,19988,176,427,-1,-1,3920,8811
14,140-150,1169,21157,176,427,-1,-1,3923,8811
15,150-160,437,21594,176,427,-1,-1,3923,8811
16,160-170,61,21655,176,427,-1,-1,3923,8811
17,170-180,46,21701,176,427,-1,-1,3923,8811
18,180-190,33,21734,176,427,-1,-1,3923,8811
19,190-200,21,21755,176,427,-1,-1,3923,8811
20,200-210,32,21787,176,427,-1,-1,3923,8811
21,210-220,13,21800,176,427,-1,-1,3923,8811
22,220-230,11,21811,176,427,-1,-1,3924,8811
23,230-240,36,21847,176,427,-1,-1,3924,8811
24,240-250,14,21861,176,427,-1,-1,3924,8811
25,250-260,11,21872,176,427,-1,-1,3924,8811
26,260-270,46,21918,176,427,-1,-1,3924,8811
27,270-280,14,21932,176,427,-1,-1,3924,8811
28,280-290,12,21944,176,427,-1,-1,3924,8811
29,290-300,8,21952,176,427,-1,-1,3924,8811
30,300-310,7,21959,176,427,-1,-1,3924,8811
31,310-320,8,21967,176,427,-1,-1,3924,8811
32,320-330,5,21972,176,427,-1,-1,3924,8811
33,330-340,29,22001,176,427,-1,-1,3925,8811
34,340-350,10,22011,176,427,-1,-1,3925,8811
35,350-360,35,22046,176,427,-1,-1,3925,8811
36,360-370,9,22055,176,427,-1,-1,3925,8811
37,370-380,1,22056,176,427,-1,-1,3925,8811
38,380-390,13,22069,176,427,-1,-1,3925,8811
39,390-400,1,22070,176,427,-1,-1,3925,8811
40,400-410,2,22072,176,427,-1,-1,3926,8811
41,410-420,5,22077,176,427,-1,-1,3930,8811
42,420-430,3,22080,176,427,-1,-1,3930,8811
43,430-440,4,22084,176,427,-1,-1,3930,8811
44,440-450,7,22091,176,427,-1,-1,3930,8811
45,450-460,4,22095,176,427,-1,-1,3930,8811
46,460-470,2,22097,176,427,-1,-1,3930,8811
47,470-480,10,22107,176,427,-1,-1,3930,8811
48,480-490,5,22112,176,427,-1,-1,3930,8811
49,490-500,4,22116,176,427,-1,-1,3930,8811
50,500-510,3,22119,176,427,-1,-1,3930,8811
51,510-520,1,22120,176,427,-1,-1,3930,8811
52,520-530,2,22122,176,427,-1,-1,3930,8811
53,530-540,7,22129,176,427,-1,-1,3930,8811
54,540-550,2,22131,176,427,-1,-1,3930,8811
55,550-560,6,22137,176,427,-1,-1,3930,8811
56,560-570,1,22138,176,427,-1,-1,3930,8811
57,570-580,1,22139,176,427,-1,-1,3930,8811
58,580-590,3,22142,176,427,-1,-1,3930,8811
59,590-600,1,22143,176,427,-1,-1,3930,8811
60,600-610,3,22146,176,427,-1,-1,3930,8811
61,610-620,3,22149,176,427,-1,-1,3930,8811
62,620-630,1,22150,176,427,-1,-1,3930,8811
63,630-640,1,22151,176,427,-1,-1,3930,8811
64,640-650,2,22153,176,427,-1,-1,3930,8811
65,650-660,8,22161,176,427,-1,-1,3930,8811
66,660-670,9,22170,176,427,-1,-1,3931,8811
67,670-680,0,22170,176,427,-1,-1,3931,8811
68,680-690,6,22176,176,427,-1,-1,3931,8811
69,690-700,1,22177,176,427,-1,-1,3931,8811
70,700-710,3,22180,176,427,-1,-1,3931,8811
71,710-720,1,22181,176,427,-1,-1,3931,8811
72,720-730,1,22182,176,427,-1,-1,3931,8811
73,730-740,2,22184,176,427,-1,-1,3931,8811
74,740-750,4,22188,176,427,-1,-1,3931,8811
75,750-760,0,22188,176,427,-1,-1,3931,8811
76,760-770,3,22191,176,427,-1,-1,3931,8811
77,770-780,0,22191,176,427,-1,-1,3931,8811
78,780-790,0,22191,176,427,-1,-1,3931,8811
79,790-800,0,22191,176,427,-1,-1,3931,8811
80,800-810,0,22191,176,427,-1,-1,3931,8811
81,810-820,0,22191,176,427,-1,-1,3931,8811
82,820-830,0,22191,176,427,-1,-1,3931,8811
83,830-840,3,22194,176,427,-1,-1,3931,8811
84,840-850,2,22196,176,427,-1,-1,3931,8811
85,850-860,20,22216,176,427,-1,-1,3931,8811
86,860-870,2,22218,176,427,-1,-1,3931,8811
87,870-880,0,22218,176,427,-1,-1,3931,8811
88,880-890,0,22218,176,427,-1,-1,3931,8811
89,890-900,2,22220,176,427,-1,-1,3931,8811
90,900-910,1,22221,176,427,-1,-1,3931,8811
91,910-920,0,22221,176,427,-1,-1,3931,8811
92,920-930,1,22222,176,427,-1,-1,3931,8811
93,930-940,49,22271,176,427,-1,-1,3932,8811
